Pixels #,Intensity (a.u.)
0.00000e+00,8.50240e-03
1.00000e+00,8.73574e-03
2.00000e+00,8.94456e-03
3.00000e+00,9.04445e-03
4.00000e+00,9.23707e-03
5.00000e+00,9.49439e-03
6.00000e+00,9.79732e-03
7.00000e+00,1.00113e-02
8.00000e+00,1.02218e-02
9.00000e+00,1.04850e-02
1.00000e+01,1.08437e-02
1.10000e+01,1.12306e-02
1.20000e+01,1.15829e-02
1.30000e+01,1.18010e-02
1.40000e+01,1.19495e-02
1.50000e+01,1.20272e-02
1.60000e+01,1.21362e-02
1.70000e+01,1.22604e-02
1.80000e+01,1.24187e-02
1.90000e+01,1.26300e-02
2.00000e+01,1.29239e-02
2.10000e+01,1.32512e-02
2.20000e+01,1.36239e-02
2.30000e+01,1.39342e-02
2.40000e+01,1.43372e-02
2.50000e+01,1.47710e-02
2.60000e+01,1.52707e-02
2.70000e+01,1.56982e-02
2.80000e+01,1.60703e-02
2.90000e+01,1.64277e-02
3.00000e+01,1.67667e-02
3.10000e+01,1.71296e-02
3.20000e+01,1.74936e-02
3.30000e+01,1.78641e-02
3.40000e+01,1.81790e-02
3.50000e+01,1.85108e-02
3.60000e+01,1.88235e-02
3.70000e+01,1.91587e-02
3.80000e+01,1.94943e-02
3.90000e+01,1.99610e-02
4.00000e+01,2.05434e-02
4.10000e+01,2.11120e-02
4.20000e+01,2.14750e-02
4.30000e+01,2.16036e-02
4.40000e+01,2.16026e-02
4.50000e+01,2.16017e-02
4.60000e+01,2.16279e-02
4.70000e+01,2.17848e-02
4.80000e+01,2.20209e-02
4.90000e+01,2.24114e-02
5.00000e+01,2.26588e-02
5.10000e+01,2.27722e-02
5.20000e+01,2.27343e-02
5.30000e+01,2.26219e-02
5.40000e+01,2.24929e-02
5.50000e+01,2.22760e-02
5.60000e+01,2.20296e-02
5.70000e+01,2.18015e-02
5.80000e+01,2.16798e-02
5.90000e+01,2.17406e-02
6.00000e+01,2.19732e-02
6.10000e+01,2.22630e-02
6.20000e+01,2.24687e-02
6.30000e+01,2.26846e-02
6.40000e+01,2.28499e-02
6.50000e+01,2.31238e-02
6.60000e+01,2.33364e-02
6.70000e+01,2.34630e-02
6.80000e+01,2.35760e-02
6.90000e+01,2.36266e-02
7.00000e+01,2.38356e-02
7.10000e+01,2.39457e-02
7.20000e+01,2.39974e-02
7.30000e+01,2.38736e-02
7.40000e+01,2.37905e-02
7.50000e+01,2.37900e-02
7.60000e+01,2.38074e-02
7.70000e+01,2.36964e-02
7.80000e+01,2.35284e-02
7.90000e+01,2.33920e-02
8.00000e+01,2.34200e-02
8.10000e+01,2.35531e-02
8.20000e+01,2.37801e-02
8.30000e+01,2.40458e-02
8.40000e+01,2.42935e-02
8.50000e+01,2.45512e-02
8.60000e+01,2.48140e-02
8.70000e+01,2.51080e-02
8.80000e+01,2.53095e-02
8.90000e+01,2.54160e-02
9.00000e+01,2.55470e-02
9.10000e+01,2.56463e-02
9.20000e+01,2.58853e-02
9.30000e+01,2.61626e-02
9.40000e+01,2.65538e-02
9.50000e+01,2.67005e-02
9.60000e+01,2.66764e-02
9.70000e+01,2.64858e-02
9.80000e+01,2.64547e-02
9.90000e+01,2.65725e-02
1.00000e+02,2.68585e-02
1.01000e+02,2.70840e-02
1.02000e+02,2.71501e-02
1.03000e+02,2.71004e-02
1.04000e+02,2.71513e-02
1.05000e+02,2.73282e-02
1.06000e+02,2.76028e-02
1.07000e+02,2.78337e-02
1.08000e+02,2.80179e-02
1.09000e+02,2.81153e-02
1.10000e+02,2.80509e-02
1.11000e+02,2.77854e-02
1.12000e+02,2.74575e-02
1.13000e+02,2.71204e-02
1.14000e+02,2.68649e-02
1.15000e+02,2.64914e-02
1.16000e+02,2.61312e-02
1.17000e+02,2.57912e-02
1.18000e+02,2.55533e-02
1.19000e+02,2.53661e-02
1.20000e+02,2.51739e-02
1.21000e+02,2.50128e-02
1.22000e+02,2.47797e-02
1.23000e+02,2.44177e-02
1.24000e+02,2.40462e-02
1.25000e+02,2.37304e-02
1.26000e+02,2.34475e-02
1.27000e+02,2.32415e-02
1.28000e+02,2.30396e-02
1.29000e+02,2.27665e-02
1.30000e+02,2.23031e-02
1.31000e+02,2.17212e-02
1.32000e+02,2.12197e-02
1.33000e+02,2.10050e-02
1.34000e+02,2.09721e-02
1.35000e+02,2.10199e-02
1.36000e+02,2.10199e-02
1.37000e+02,2.10051e-02
1.38000e+02,2.08483e-02
1.39000e+02,2.06222e-02
1.40000e+02,2.02761e-02
1.41000e+02,2.00385e-02
1.42000e+02,1.98837e-02
1.43000e+02,1.98171e-02
1.44000e+02,1.98015e-02
1.45000e+02,1.98393e-02
1.46000e+02,1.99941e-02
1.47000e+02,2.01476e-02
1.48000e+02,2.02870e-02
1.49000e+02,2.03004e-02
1.50000e+02,2.01776e-02
1.51000e+02,1.98457e-02
1.52000e+02,1.94983e-02
1.53000e+02,1.93000e-02
1.54000e+02,1.91961e-02
1.55000e+02,1.91116e-02
1.56000e+02,1.88767e-02
1.57000e+02,1.86188e-02
1.58000e+02,1.84380e-02
1.59000e+02,1.82335e-02
1.60000e+02,1.80415e-02
1.61000e+02,1.76805e-02
1.62000e+02,1.73859e-02
1.63000e+02,1.71391e-02
1.64000e+02,1.70699e-02
1.65000e+02,1.70323e-02
1.66000e+02,1.70060e-02
1.67000e+02,1.69221e-02
1.68000e+02,1.69008e-02
1.69000e+02,1.68586e-02
1.70000e+02,1.68502e-02
1.71000e+02,1.67258e-02
1.72000e+02,1.65577e-02
1.73000e+02,1.63100e-02
1.74000e+02,1.59820e-02
1.75000e+02,1.56285e-02
1.76000e+02,1.52526e-02
1.77000e+02,1.48470e-02
1.78000e+02,1.44634e-02
1.79000e+02,1.40744e-02
1.80000e+02,1.37847e-02
1.81000e+02,1.34724e-02
1.82000e+02,1.31787e-02
1.83000e+02,1.28870e-02
1.84000e+02,1.26421e-02
1.85000e+02,1.23657e-02
1.86000e+02,1.20932e-02
1.87000e+02,1.18591e-02
1.88000e+02,1.17458e-02
1.89000e+02,1.16509e-02
1.90000e+02,1.15139e-02
1.91000e+02,1.13573e-02
1.92000e+02,1.11410e-02
1.93000e+02,1.09683e-02
1.94000e+02,1.08267e-02
