Pixels #,Intensity (a.u.)
0.00000e+00,8.99128e-03
1.00000e+00,9.21827e-03
2.00000e+00,9.50049e-03
3.00000e+00,9.70352e-03
4.00000e+00,9.95510e-03
5.00000e+00,1.02330e-02
6.00000e+00,1.05794e-02
7.00000e+00,1.09617e-02
8.00000e+00,1.13805e-02
9.00000e+00,1.18486e-02
1.00000e+01,1.23162e-02
1.10000e+01,1.27128e-02
1.20000e+01,1.30826e-02
1.30000e+01,1.33390e-02
1.40000e+01,1.35833e-02
1.50000e+01,1.36582e-02
1.60000e+01,1.36616e-02
1.70000e+01,1.36591e-02
1.80000e+01,1.37354e-02
1.90000e+01,1.40060e-02
2.00000e+01,1.44645e-02
2.10000e+01,1.49462e-02
2.20000e+01,1.54093e-02
2.30000e+01,1.56933e-02
2.40000e+01,1.59979e-02
2.50000e+01,1.62931e-02
2.60000e+01,1.66652e-02
2.70000e+01,1.69147e-02
2.80000e+01,1.71069e-02
2.90000e+01,1.73338e-02
3.00000e+01,1.76911e-02
3.10000e+01,1.80928e-02
3.20000e+01,1.84967e-02
3.30000e+01,1.88043e-02
3.40000e+01,1.90595e-02
3.50000e+01,1.92451e-02
3.60000e+01,1.94491e-02
3.70000e+01,1.96909e-02
3.80000e+01,2.00029e-02
3.90000e+01,2.04717e-02
4.00000e+01,2.10187e-02
4.10000e+01,2.15651e-02
4.20000e+01,2.19560e-02
4.30000e+01,2.22054e-02
4.40000e+01,2.22575e-02
4.50000e+01,2.22550e-02
4.60000e+01,2.22526e-02
4.70000e+01,2.22907e-02
4.80000e+01,2.23329e-02
4.90000e+01,2.25352e-02
5.00000e+01,2.27205e-02
5.10000e+01,2.29654e-02
5.20000e+01,2.31511e-02
5.30000e+01,2.32222e-02
5.40000e+01,2.32080e-02
5.50000e+01,2.31497e-02
5.60000e+01,2.30942e-02
5.70000e+01,2.30480e-02
5.80000e+01,2.30207e-02
5.90000e+01,2.30349e-02
6.00000e+01,2.30577e-02
6.10000e+01,2.30449e-02
6.20000e+01,2.29536e-02
6.30000e+01,2.29799e-02
6.40000e+01,2.30116e-02
6.50000e+01,2.31282e-02
6.60000e+01,2.30905e-02
6.70000e+01,2.30482e-02
6.80000e+01,2.30047e-02
6.90000e+01,2.29279e-02
7.00000e+01,2.28883e-02
7.10000e+01,2.27374e-02
7.20000e+01,2.26609e-02
7.30000e+01,2.25518e-02
7.40000e+01,2.26037e-02
7.50000e+01,2.26474e-02
7.60000e+01,2.26889e-02
7.70000e+01,2.26315e-02
7.80000e+01,2.25728e-02
7.90000e+01,2.26571e-02
8.00000e+01,2.29257e-02
8.10000e+01,2.32882e-02
8.20000e+01,2.36418e-02
8.30000e+01,2.39061e-02
8.40000e+01,2.41756e-02
8.50000e+01,2.43871e-02
8.60000e+01,2.45621e-02
8.70000e+01,2.46295e-02
8.80000e+01,2.46288e-02
8.90000e+01,2.46764e-02
9.00000e+01,2.49063e-02
9.10000e+01,2.52028e-02
9.20000e+01,2.55524e-02
9.30000e+01,2.58290e-02
9.40000e+01,2.61538e-02
9.50000e+01,2.63353e-02
9.60000e+01,2.64361e-02
9.70000e+01,2.63866e-02
9.80000e+01,2.63215e-02
9.90000e+01,2.62319e-02
1.00000e+02,2.61768e-02
1.01000e+02,2.61691e-02
1.02000e+02,2.61849e-02
1.03000e+02,2.61961e-02
1.04000e+02,2.63075e-02
1.05000e+02,2.65035e-02
1.06000e+02,2.69248e-02
1.07000e+02,2.74669e-02
1.08000e+02,2.80327e-02
1.09000e+02,2.84783e-02
1.10000e+02,2.85476e-02
1.11000e+02,2.81846e-02
1.12000e+02,2.77005e-02
1.13000e+02,2.72350e-02
1.14000e+02,2.69861e-02
1.15000e+02,2.67524e-02
1.16000e+02,2.65954e-02
1.17000e+02,2.63957e-02
1.18000e+02,2.62631e-02
1.19000e+02,2.61269e-02
1.20000e+02,2.59603e-02
1.21000e+02,2.57332e-02
1.22000e+02,2.54550e-02
1.23000e+02,2.50900e-02
1.24000e+02,2.47877e-02
1.25000e+02,2.45869e-02
1.26000e+02,2.45262e-02
1.27000e+02,2.44749e-02
1.28000e+02,2.43738e-02
1.29000e+02,2.41529e-02
1.30000e+02,2.37593e-02
1.31000e+02,2.32702e-02
1.32000e+02,2.28459e-02
1.33000e+02,2.25605e-02
1.34000e+02,2.23849e-02
1.35000e+02,2.23501e-02
1.36000e+02,2.23501e-02
1.37000e+02,2.23501e-02
1.38000e+02,2.22735e-02
1.39000e+02,2.21298e-02
1.40000e+02,2.18736e-02
1.41000e+02,2.16257e-02
1.42000e+02,2.14377e-02
1.43000e+02,2.13561e-02
1.44000e+02,2.14302e-02
1.45000e+02,2.15262e-02
1.46000e+02,2.16881e-02
1.47000e+02,2.18250e-02
1.48000e+02,2.20216e-02
1.49000e+02,2.21951e-02
1.50000e+02,2.23393e-02
1.51000e+02,2.23489e-02
1.52000e+02,2.23168e-02
1.53000e+02,2.23520e-02
1.54000e+02,2.23005e-02
1.55000e+02,2.22149e-02
1.56000e+02,2.19631e-02
1.57000e+02,2.18318e-02
1.58000e+02,2.17950e-02
1.59000e+02,2.18327e-02
1.60000e+02,2.19083e-02
1.61000e+02,2.18864e-02
1.62000e+02,2.18195e-02
1.63000e+02,2.16495e-02
1.64000e+02,2.15002e-02
1.65000e+02,2.14039e-02
1.66000e+02,2.13609e-02
1.67000e+02,2.13573e-02
1.68000e+02,2.13591e-02
1.69000e+02,2.13764e-02
1.70000e+02,2.13003e-02
1.71000e+02,2.11172e-02
1.72000e+02,2.08797e-02
1.73000e+02,2.06338e-02
1.74000e+02,2.03557e-02
1.75000e+02,2.00045e-02
1.76000e+02,1.96188e-02
1.77000e+02,1.92581e-02
1.78000e+02,1.89315e-02
1.79000e+02,1.86536e-02
1.80000e+02,1.83713e-02
1.81000e+02,1.79779e-02
1.82000e+02,1.75090e-02
1.83000e+02,1.70594e-02
1.84000e+02,1.66975e-02
1.85000e+02,1.63220e-02
1.86000e+02,1.59064e-02
1.87000e+02,1.55253e-02
1.88000e+02,1.52376e-02
1.89000e+02,1.50499e-02
1.90000e+02,1.49127e-02
1.91000e+02,1.48480e-02
1.92000e+02,1.47633e-02
1.93000e+02,1.46512e-02
1.94000e+02,1.44889e-02
1.95000e+02,1.42480e-02
1.96000e+02,1.39413e-02
1.97000e+02,1.35500e-02
1.98000e+02,1.32059e-02
1.99000e+02,1.29707e-02
2.00000e+02,1.28626e-02
2.01000e+02,1.28947e-02
2.02000e+02,1.30985e-02
2.03000e+02,1.33778e-02
2.04000e+02,1.37361e-02
2.05000e+02,1.41265e-02
2.06000e+02,1.43938e-02
2.07000e+02,1.45014e-02
2.08000e+02,1.44328e-02
2.09000e+02,1.44453e-02
2.10000e+02,1.45330e-02
2.11000e+02,1.46607e-02
2.12000e+02,1.46998e-02
2.13000e+02,1.46930e-02
2.14000e+02,1.47880e-02
2.15000e+02,1.49442e-02
2.16000e+02,1.50645e-02
2.17000e+02,1.50350e-02
2.18000e+02,1.49695e-02
2.19000e+02,1.49605e-02
