Pixels #,Intensity (a.u.)
0.00000e+00,2.23842e-02
1.00000e+00,2.23550e-02
2.00000e+00,2.22806e-02
3.00000e+00,2.20393e-02
4.00000e+00,2.18626e-02
5.00000e+00,2.18123e-02
6.00000e+00,2.19319e-02
7.00000e+00,2.20544e-02
8.00000e+00,2.21449e-02
9.00000e+00,2.21642e-02
1.00000e+01,2.21535e-02
1.10000e+01,2.21136e-02
1.20000e+01,2.21538e-02
1.30000e+01,2.21816e-02
1.40000e+01,2.21746e-02
1.50000e+01,2.20013e-02
1.60000e+01,2.18186e-02
1.70000e+01,2.16275e-02
1.80000e+01,2.15071e-02
1.90000e+01,2.14553e-02
2.00000e+01,2.15271e-02
2.10000e+01,2.16042e-02
2.20000e+01,2.16917e-02
2.30000e+01,2.16962e-02
2.40000e+01,2.17249e-02
2.50000e+01,2.17264e-02
2.60000e+01,2.17675e-02
2.70000e+01,2.18635e-02
2.80000e+01,2.20003e-02
2.90000e+01,2.21833e-02
3.00000e+01,2.24152e-02
3.10000e+01,2.26509e-02
3.20000e+01,2.28430e-02
3.30000e+01,2.29218e-02
3.40000e+01,2.29342e-02
3.50000e+01,2.29129e-02
3.60000e+01,2.28458e-02
3.70000e+01,2.27858e-02
3.80000e+01,2.27345e-02
3.90000e+01,2.27902e-02
4.00000e+01,2.28688e-02
4.10000e+01,2.29384e-02
4.20000e+01,2.28916e-02
4.30000e+01,2.27421e-02
4.40000e+01,2.24995e-02
4.50000e+01,2.22302e-02
4.60000e+01,2.20149e-02
4.70000e+01,2.19892e-02
4.80000e+01,2.20696e-02
4.90000e+01,2.23367e-02
5.00000e+01,2.25575e-02
5.10000e+01,2.27410e-02
5.20000e+01,2.27757e-02
5.30000e+01,2.26847e-02
5.40000e+01,2.25126e-02
5.50000e+01,2.22911e-02
5.60000e+01,2.20178e-02
5.70000e+01,2.18125e-02
5.80000e+01,2.17241e-02
5.90000e+01,2.17708e-02
6.00000e+01,2.18119e-02
6.10000e+01,2.18273e-02
6.20000e+01,2.18132e-02
6.30000e+01,2.19126e-02
6.40000e+01,2.20027e-02
6.50000e+01,2.20168e-02
6.60000e+01,2.18973e-02
6.70000e+01,2.16990e-02
6.80000e+01,2.16614e-02
6.90000e+01,2.16446e-02
7.00000e+01,2.18155e-02
7.10000e+01,2.18590e-02
7.20000e+01,2.18974e-02
7.30000e+01,2.17856e-02
7.40000e+01,2.17381e-02
7.50000e+01,2.17188e-02
7.60000e+01,2.17016e-02
7.70000e+01,2.16625e-02
7.80000e+01,2.16083e-02
7.90000e+01,2.16605e-02
8.00000e+01,2.18798e-02
8.10000e+01,2.21950e-02
8.20000e+01,2.25079e-02
8.30000e+01,2.28143e-02
8.40000e+01,2.31109e-02
8.50000e+01,2.33635e-02
8.60000e+01,2.35418e-02
8.70000e+01,2.36471e-02
8.80000e+01,2.37211e-02
8.90000e+01,2.38443e-02
9.00000e+01,2.40650e-02
9.10000e+01,2.42523e-02
9.20000e+01,2.45536e-02
9.30000e+01,2.49445e-02
9.40000e+01,2.54973e-02
9.50000e+01,2.58521e-02
9.60000e+01,2.59760e-02
9.70000e+01,2.58063e-02
9.80000e+01,2.56207e-02
9.90000e+01,2.54671e-02
1.00000e+02,2.55440e-02
1.01000e+02,2.57372e-02
1.02000e+02,2.58845e-02
1.03000e+02,2.58314e-02
1.04000e+02,2.57822e-02
1.05000e+02,2.58974e-02
1.06000e+02,2.62597e-02
1.07000e+02,2.66144e-02
1.08000e+02,2.68963e-02
1.09000e+02,2.70031e-02
1.10000e+02,2.69386e-02
1.11000e+02,2.66424e-02
1.12000e+02,2.63061e-02
1.13000e+02,2.59562e-02
1.14000e+02,2.57208e-02
1.15000e+02,2.54953e-02
1.16000e+02,2.53883e-02
1.17000e+02,2.53146e-02
1.18000e+02,2.51642e-02
1.19000e+02,2.48853e-02
1.20000e+02,2.45190e-02
1.21000e+02,2.41760e-02
1.22000e+02,2.38457e-02
1.23000e+02,2.34974e-02
1.24000e+02,2.31872e-02
1.25000e+02,2.29464e-02
1.26000e+02,2.28165e-02
1.27000e+02,2.27727e-02
1.28000e+02,2.26578e-02
1.29000e+02,2.24301e-02
1.30000e+02,2.20954e-02
1.31000e+02,2.17378e-02
1.32000e+02,2.14477e-02
1.33000e+02,2.13340e-02
1.34000e+02,2.12753e-02
1.35000e+02,2.12618e-02
1.36000e+02,2.12521e-02
1.37000e+02,2.12345e-02
1.38000e+02,2.11312e-02
1.39000e+02,2.10214e-02
1.40000e+02,2.07417e-02
1.41000e+02,2.04336e-02
1.42000e+02,2.01285e-02
1.43000e+02,1.99676e-02
1.44000e+02,1.99297e-02
1.45000e+02,1.99435e-02
1.46000e+02,2.00008e-02
1.47000e+02,2.00657e-02
1.48000e+02,2.01276e-02
1.49000e+02,2.01471e-02
1.50000e+02,2.01137e-02
1.51000e+02,2.00044e-02
1.52000e+02,1.98925e-02
1.53000e+02,1.98848e-02
1.54000e+02,1.99322e-02
1.55000e+02,2.00094e-02
1.56000e+02,2.00821e-02
1.57000e+02,2.01814e-02
1.58000e+02,2.02967e-02
1.59000e+02,2.01973e-02
1.60000e+02,2.00122e-02
1.61000e+02,1.96990e-02
1.62000e+02,1.94699e-02
1.63000e+02,1.92352e-02
1.64000e+02,1.90639e-02
1.65000e+02,1.89535e-02
