Sample,Beer,beer_string,Brewery,Brewery Location,ABV,Style,IBU,Hops,Untappd Rating,Untappd Tags,light_bodied,hoppy,clean,smooth
1,Dark Majik,dark-majik,Lough Gill,"Sligo, Ireland",11,Imperial Irish Oatmeal Coffee Stout,0,,3.91,Coffee; Smooth; Rich; Sweet; Boozy,0,0,0,1
2,Sneaky AF,sneaky-af,Del Cielo Brewing Co,"Martinez, CA",10,Triple IPA,0,"CTZ, El Dorado, Summit, Idaho 7",3.99,Balanced; Aromatic; Light Bodied; Earth; Piney,1,0,0,0
3,Big Love,big-love,Almanac,"Alameda, CA",9,Hazy  Double IPA,0,"Mosaic, Centennial, Citra",3.88,Hoppy; Citrus; Smooth; Strong; Light Bodied,1,1,0,1
4,Gnomes gone rogue,gnomes-gone-rogue,Original Pattern,"Oakland, CA",8.1,Hazy Double  IPA,0,"NZ Rakau, Mosaic, Citra",4.13,Hazy; Juicy; Hoppy; Pineapple; Malty,0,1,0,0
5,Otto’s Jacket,ottos-jacket,Cellarmaker,"Oakland, CA",7,West Coast IPA,58,"Citra, Mosaic, HBC 586, Motueka",3.99,Piney; Hoppy; Light Bodied; Tropical; Clean,1,1,1,0
6,Love,love,Almanac,"Alameda, CA",6.1,Hazy IPA,0,"Sabro, Citra, Mosaic",3.88,Hazy; Juicy; Smooth; Hoppy; Tropical,0,1,0,1
7,Colour Me Murphy,colour-me-murphy,Original Pattern Brewing,"Oakland, CA",6,Irish Red Ale,0,,3.86,"Malty, Smooth, Caramel, Sweet Dry",0,0,0,1
8,Kimchi Sour,kimchi-sour,Dokkaebier,"Oakland, CA",6.6,Sour,14,,3.56,Ginger; Tart; Light Bodied; Spicy; Smoky,1,0,0,0
9,Hunky Jesus,hunky-jesus,Laughing Monk,"San Francisco, CA",5.5,Blood orange pale ale,0,,3.71,"Clean, Citrus, Orange, Dry, Hoppy",0,1,1,0
10,PILS,pils,Temescal Brewing,"Oakland, CA",5,Pilsner,3.71,,3.71,Light Bodied; Crisp; Citrusy; Hoppy; Grainy,1,1,0,0
11,Even MORE IRISH Jesus,even-more-irish-jesus,Evil Twin Brewing,"North Haven, CT",4.7,Dry Stout,0,,3.64,Dark; Smooth; Coffee; Thin; Flat,0,0,0,1
12,Kolschtastic,kolschtastic,Gigantic Brewing Co,"Portland, OR",5.2,Kolsch,25,Mt Hood,3.6, Light Bodied; Clean; Floral; Sweet; Hoppy,1,1,1,0
13,Helles (long nights edition),helles,Wayfinder,"Portland, OR",4.9,lager,20,,3.9,Light Bodied; Clean; Crisp; Bright; Floral,1,0,1,0
14,Party Wave,party-wave,Headlands,"Lafayette, CA",4.2,light lager,14,Columbus,3.83,Light Bodied; Smooth; Effervescent; Straw-like; Watery,1,0,0,1
