Pixels #,Intensity (a.u.)
0.00000e+00,1.01916e-02
1.00000e+00,1.01795e-02
2.00000e+00,1.01829e-02
3.00000e+00,1.01801e-02
4.00000e+00,1.01672e-02
5.00000e+00,1.01539e-02
6.00000e+00,1.01473e-02
7.00000e+00,1.01583e-02
8.00000e+00,1.01736e-02
9.00000e+00,1.01814e-02
1.00000e+01,1.01711e-02
1.10000e+01,1.01419e-02
1.20000e+01,1.01146e-02
1.30000e+01,1.00939e-02
1.40000e+01,1.00773e-02
1.50000e+01,1.00594e-02
1.60000e+01,1.00422e-02
1.70000e+01,1.00223e-02
1.80000e+01,1.00234e-02
1.90000e+01,1.00432e-02
2.00000e+01,1.00723e-02
2.10000e+01,1.00985e-02
2.20000e+01,1.01221e-02
2.30000e+01,1.01383e-02
2.40000e+01,1.01522e-02
2.50000e+01,1.01456e-02
2.60000e+01,1.01421e-02
2.70000e+01,1.01357e-02
2.80000e+01,1.01323e-02
2.90000e+01,1.01304e-02
3.00000e+01,1.01229e-02
3.10000e+01,1.01248e-02
3.20000e+01,1.01297e-02
3.30000e+01,1.01536e-02
3.40000e+01,1.01957e-02
3.50000e+01,1.02562e-02
3.60000e+01,1.03229e-02
3.70000e+01,1.03897e-02
3.80000e+01,1.04484e-02
3.90000e+01,1.05001e-02
4.00000e+01,1.05194e-02
4.10000e+01,1.05178e-02
4.20000e+01,1.04850e-02
4.30000e+01,1.04435e-02
4.40000e+01,1.03917e-02
4.50000e+01,1.03453e-02
4.60000e+01,1.02994e-02
4.70000e+01,1.02611e-02
4.80000e+01,1.02221e-02
4.90000e+01,1.01966e-02
5.00000e+01,1.01552e-02
5.10000e+01,1.00909e-02
5.20000e+01,1.00190e-02
5.30000e+01,9.92580e-03
5.40000e+01,9.83378e-03
5.50000e+01,9.75090e-03
5.60000e+01,9.69073e-03
5.70000e+01,9.66920e-03
5.80000e+01,9.68053e-03
5.90000e+01,9.69587e-03
6.00000e+01,9.71012e-03
6.10000e+01,9.72641e-03
6.20000e+01,9.76448e-03
6.30000e+01,9.82602e-03
6.40000e+01,9.88952e-03
6.50000e+01,9.94973e-03
6.60000e+01,9.97580e-03
6.70000e+01,9.96712e-03
6.80000e+01,9.94968e-03
6.90000e+01,9.94353e-03
7.00000e+01,9.93503e-03
7.10000e+01,9.93367e-03
7.20000e+01,9.90398e-03
7.30000e+01,9.87582e-03
7.40000e+01,9.84892e-03
7.50000e+01,9.84174e-03
7.60000e+01,9.83536e-03
7.70000e+01,9.83954e-03
7.80000e+01,9.85016e-03
7.90000e+01,9.89142e-03
8.00000e+01,9.92419e-03
8.10000e+01,9.95767e-03
8.20000e+01,9.97681e-03
8.30000e+01,9.96745e-03
8.40000e+01,9.95019e-03
8.50000e+01,9.95384e-03
8.60000e+01,9.95954e-03
8.70000e+01,9.96000e-03
8.80000e+01,9.94091e-03
8.90000e+01,9.93643e-03
9.00000e+01,9.94851e-03
9.10000e+01,1.00019e-02
9.20000e+01,1.00862e-02
9.30000e+01,1.01719e-02
9.40000e+01,1.02201e-02
9.50000e+01,1.02411e-02
9.60000e+01,1.02292e-02
9.70000e+01,1.02266e-02
9.80000e+01,1.02302e-02
9.90000e+01,1.02430e-02
1.00000e+02,1.02376e-02
1.01000e+02,1.02195e-02
1.02000e+02,1.02041e-02
1.03000e+02,1.01983e-02
1.04000e+02,1.01789e-02
1.05000e+02,1.01607e-02
1.06000e+02,1.01152e-02
1.07000e+02,1.00500e-02
1.08000e+02,9.98483e-03
1.09000e+02,9.94510e-03
1.10000e+02,9.95263e-03
1.11000e+02,9.96529e-03
1.12000e+02,9.99223e-03
1.13000e+02,1.00220e-02
1.14000e+02,1.00566e-02
1.15000e+02,1.00872e-02
1.16000e+02,1.01143e-02
1.17000e+02,1.01151e-02
1.18000e+02,1.00725e-02
1.19000e+02,9.97209e-03
1.20000e+02,9.86467e-03
1.21000e+02,9.73471e-03
1.22000e+02,9.61556e-03
1.23000e+02,9.49979e-03
1.24000e+02,9.38850e-03
1.25000e+02,9.26733e-03
1.26000e+02,9.14905e-03
1.27000e+02,9.04243e-03
1.28000e+02,8.96875e-03
1.29000e+02,8.92300e-03
1.30000e+02,8.88699e-03
1.31000e+02,8.86076e-03
1.32000e+02,8.81676e-03
1.33000e+02,8.78240e-03
1.34000e+02,8.74319e-03
1.35000e+02,8.73333e-03
1.36000e+02,8.72552e-03
1.37000e+02,8.71766e-03
1.38000e+02,8.69848e-03
1.39000e+02,8.69156e-03
1.40000e+02,8.67932e-03
1.41000e+02,8.69062e-03
1.42000e+02,8.68969e-03
1.43000e+02,8.69575e-03
1.44000e+02,8.66690e-03
1.45000e+02,8.63028e-03
1.46000e+02,8.57324e-03
1.47000e+02,8.49811e-03
1.48000e+02,8.41402e-03
1.49000e+02,8.35757e-03
1.50000e+02,8.32542e-03
1.51000e+02,8.31800e-03
1.52000e+02,8.34129e-03
1.53000e+02,8.38082e-03
1.54000e+02,8.41822e-03
1.55000e+02,8.47429e-03
1.56000e+02,8.57040e-03
1.57000e+02,8.69645e-03
1.58000e+02,8.83414e-03
1.59000e+02,8.97884e-03
1.60000e+02,9.13125e-03
1.61000e+02,9.27245e-03
1.62000e+02,9.39633e-03
1.63000e+02,9.52365e-03
1.64000e+02,9.64429e-03
1.65000e+02,9.75040e-03
1.66000e+02,9.84423e-03
1.67000e+02,9.92334e-03
1.68000e+02,9.98055e-03
1.69000e+02,1.00141e-02
1.70000e+02,1.00496e-02
1.71000e+02,1.01220e-02
1.72000e+02,1.02062e-02
1.73000e+02,1.03019e-02
1.74000e+02,1.03887e-02
1.75000e+02,1.04653e-02
1.76000e+02,1.05254e-02
1.77000e+02,1.05818e-02
1.78000e+02,1.06207e-02
1.79000e+02,1.06301e-02
1.80000e+02,1.06216e-02
1.81000e+02,1.05901e-02
1.82000e+02,1.05497e-02
1.83000e+02,1.04930e-02
1.84000e+02,1.04317e-02
1.85000e+02,1.03935e-02
1.86000e+02,1.03924e-02
1.87000e+02,1.04530e-02
1.88000e+02,1.05621e-02
1.89000e+02,1.06771e-02
1.90000e+02,1.07686e-02
1.91000e+02,1.08429e-02
1.92000e+02,1.09311e-02
1.93000e+02,1.10491e-02
1.94000e+02,1.11795e-02
1.95000e+02,1.13185e-02
1.96000e+02,1.14264e-02
1.97000e+02,1.15053e-02
1.98000e+02,1.15666e-02
1.99000e+02,1.16370e-02
2.00000e+02,1.17117e-02
2.01000e+02,1.18061e-02
2.02000e+02,1.19131e-02
2.03000e+02,1.20178e-02
2.04000e+02,1.21102e-02
2.05000e+02,1.21988e-02
2.06000e+02,1.22922e-02
2.07000e+02,1.23865e-02
2.08000e+02,1.24907e-02
2.09000e+02,1.25557e-02
2.10000e+02,1.25945e-02
2.11000e+02,1.26040e-02
2.12000e+02,1.26114e-02
2.13000e+02,1.26109e-02
2.14000e+02,1.26291e-02
2.15000e+02,1.26693e-02
2.16000e+02,1.27389e-02
2.17000e+02,1.28306e-02
2.18000e+02,1.29904e-02
2.19000e+02,1.31680e-02
2.20000e+02,1.33634e-02
2.21000e+02,1.35523e-02
2.22000e+02,1.37363e-02
2.23000e+02,1.39330e-02
2.24000e+02,1.41213e-02
2.25000e+02,1.42785e-02
2.26000e+02,1.44018e-02
2.27000e+02,1.44836e-02
2.28000e+02,1.45371e-02
2.29000e+02,1.45464e-02
2.30000e+02,1.45081e-02
2.31000e+02,1.44378e-02
2.32000e+02,1.43307e-02
2.33000e+02,1.42239e-02
2.34000e+02,1.41073e-02
2.35000e+02,1.40009e-02
2.36000e+02,1.39003e-02
2.37000e+02,1.38249e-02
2.38000e+02,1.37822e-02
2.39000e+02,1.38029e-02
2.40000e+02,1.38629e-02
2.41000e+02,1.39492e-02
2.42000e+02,1.40305e-02
2.43000e+02,1.41341e-02
2.44000e+02,1.42473e-02
2.45000e+02,1.43798e-02
2.46000e+02,1.45222e-02
2.47000e+02,1.46553e-02
2.48000e+02,1.47497e-02
2.49000e+02,1.48372e-02
2.50000e+02,1.49186e-02
2.51000e+02,1.49884e-02
2.52000e+02,1.50354e-02
2.53000e+02,1.50491e-02
2.54000e+02,1.50047e-02
2.55000e+02,1.48990e-02
2.56000e+02,1.47617e-02
2.57000e+02,1.46170e-02
2.58000e+02,1.44738e-02
2.59000e+02,1.43254e-02
2.60000e+02,1.41888e-02
2.61000e+02,1.40624e-02
2.62000e+02,1.39735e-02
2.63000e+02,1.39404e-02
2.64000e+02,1.39599e-02
2.65000e+02,1.40076e-02
2.66000e+02,1.40752e-02
2.67000e+02,1.41237e-02
2.68000e+02,1.41688e-02
2.69000e+02,1.41994e-02
2.70000e+02,1.42274e-02
2.71000e+02,1.42453e-02
2.72000e+02,1.42503e-02
2.73000e+02,1.42667e-02
2.74000e+02,1.42876e-02
2.75000e+02,1.43125e-02
2.76000e+02,1.43417e-02
2.77000e+02,1.43610e-02
2.78000e+02,1.43907e-02
2.79000e+02,1.44225e-02
2.80000e+02,1.44524e-02
2.81000e+02,1.44898e-02
2.82000e+02,1.45241e-02
2.83000e+02,1.45642e-02
2.84000e+02,1.45676e-02
2.85000e+02,1.45190e-02
2.86000e+02,1.44271e-02
2.87000e+02,1.42830e-02
2.88000e+02,1.41187e-02
2.89000e+02,1.39688e-02
2.90000e+02,1.38442e-02
2.91000e+02,1.37403e-02
2.92000e+02,1.36209e-02
2.93000e+02,1.35089e-02
2.94000e+02,1.34248e-02
2.95000e+02,1.33814e-02
2.96000e+02,1.33661e-02
2.97000e+02,1.33631e-02
2.98000e+02,1.33513e-02
2.99000e+02,1.33125e-02
3.00000e+02,1.32194e-02
3.01000e+02,1.31006e-02
3.02000e+02,1.29804e-02
3.03000e+02,1.28641e-02
3.04000e+02,1.27467e-02
3.05000e+02,1.26414e-02
3.06000e+02,1.25494e-02
3.07000e+02,1.24486e-02
3.08000e+02,1.23642e-02
3.09000e+02,1.23080e-02
3.10000e+02,1.22598e-02
