Pixels #,Intensity (a.u.)
0.00000e+00,1.13066e-02
1.00000e+00,1.13027e-02
2.00000e+00,1.13904e-02
3.00000e+00,1.14962e-02
4.00000e+00,1.15947e-02
5.00000e+00,1.16461e-02
6.00000e+00,1.17198e-02
7.00000e+00,1.17514e-02
8.00000e+00,1.18058e-02
9.00000e+00,1.18017e-02
1.00000e+01,1.17828e-02
1.10000e+01,1.17329e-02
1.20000e+01,1.18402e-02
1.30000e+01,1.21159e-02
1.40000e+01,1.24409e-02
1.50000e+01,1.26487e-02
1.60000e+01,1.27218e-02
1.70000e+01,1.27632e-02
1.80000e+01,1.28322e-02
1.90000e+01,1.29846e-02
2.00000e+01,1.31852e-02
2.10000e+01,1.34097e-02
2.20000e+01,1.35256e-02
2.30000e+01,1.35397e-02
2.40000e+01,1.34393e-02
2.50000e+01,1.33434e-02
2.60000e+01,1.33090e-02
2.70000e+01,1.33863e-02
2.80000e+01,1.35317e-02
2.90000e+01,1.36345e-02
3.00000e+01,1.36932e-02
3.10000e+01,1.36943e-02
3.20000e+01,1.36418e-02
3.30000e+01,1.35309e-02
3.40000e+01,1.33691e-02
3.50000e+01,1.32500e-02
3.60000e+01,1.31598e-02
3.70000e+01,1.31516e-02
3.80000e+01,1.32302e-02
3.90000e+01,1.33796e-02
4.00000e+01,1.35400e-02
4.10000e+01,1.36182e-02
4.20000e+01,1.36488e-02
4.30000e+01,1.36299e-02
4.40000e+01,1.35834e-02
4.50000e+01,1.35138e-02
4.60000e+01,1.34819e-02
4.70000e+01,1.35405e-02
4.80000e+01,1.36601e-02
4.90000e+01,1.38180e-02
5.00000e+01,1.39255e-02
5.10000e+01,1.40675e-02
5.20000e+01,1.42909e-02
5.30000e+01,1.45824e-02
5.40000e+01,1.48514e-02
5.50000e+01,1.50470e-02
5.60000e+01,1.52094e-02
5.70000e+01,1.52854e-02
5.80000e+01,1.53056e-02
5.90000e+01,1.52707e-02
6.00000e+01,1.52295e-02
6.10000e+01,1.51590e-02
6.20000e+01,1.51598e-02
6.30000e+01,1.51807e-02
6.40000e+01,1.52897e-02
6.50000e+01,1.54625e-02
6.60000e+01,1.57165e-02
6.70000e+01,1.59819e-02
6.80000e+01,1.62068e-02
6.90000e+01,1.63902e-02
7.00000e+01,1.66244e-02
7.10000e+01,1.68132e-02
7.20000e+01,1.70269e-02
7.30000e+01,1.71685e-02
7.40000e+01,1.72858e-02
7.50000e+01,1.73341e-02
7.60000e+01,1.74014e-02
7.70000e+01,1.74826e-02
7.80000e+01,1.75909e-02
7.90000e+01,1.76074e-02
8.00000e+01,1.76009e-02
8.10000e+01,1.75233e-02
8.20000e+01,1.73959e-02
8.30000e+01,1.72915e-02
8.40000e+01,1.72865e-02
8.50000e+01,1.74186e-02
8.60000e+01,1.76883e-02
8.70000e+01,1.79494e-02
8.80000e+01,1.81236e-02
8.90000e+01,1.81812e-02
9.00000e+01,1.81640e-02
9.10000e+01,1.81752e-02
9.20000e+01,1.82175e-02
9.30000e+01,1.82775e-02
9.40000e+01,1.83652e-02
9.50000e+01,1.84665e-02
9.60000e+01,1.86129e-02
9.70000e+01,1.86914e-02
9.80000e+01,1.87642e-02
9.90000e+01,1.87408e-02
1.00000e+02,1.86987e-02
