Pixels #,Intensity (a.u.)
0.00000e+00,1.23355e-02
1.00000e+00,1.22864e-02
2.00000e+00,1.23458e-02
3.00000e+00,1.24721e-02
4.00000e+00,1.25864e-02
5.00000e+00,1.26296e-02
6.00000e+00,1.26414e-02
7.00000e+00,1.26067e-02
8.00000e+00,1.26405e-02
9.00000e+00,1.26865e-02
1.00000e+01,1.27409e-02
1.10000e+01,1.27438e-02
1.20000e+01,1.27663e-02
1.30000e+01,1.28437e-02
1.40000e+01,1.29577e-02
1.50000e+01,1.30335e-02
1.60000e+01,1.30198e-02
1.70000e+01,1.28979e-02
1.80000e+01,1.27388e-02
1.90000e+01,1.26654e-02
2.00000e+01,1.27138e-02
2.10000e+01,1.28707e-02
2.20000e+01,1.29859e-02
2.30000e+01,1.30213e-02
2.40000e+01,1.29074e-02
2.50000e+01,1.27600e-02
2.60000e+01,1.26775e-02
2.70000e+01,1.27086e-02
2.80000e+01,1.28448e-02
2.90000e+01,1.29107e-02
3.00000e+01,1.29517e-02
3.10000e+01,1.29277e-02
3.20000e+01,1.28952e-02
3.30000e+01,1.28318e-02
3.40000e+01,1.27521e-02
3.50000e+01,1.27310e-02
3.60000e+01,1.27103e-02
3.70000e+01,1.26833e-02
3.80000e+01,1.26398e-02
3.90000e+01,1.26517e-02
4.00000e+01,1.27223e-02
4.10000e+01,1.27910e-02
4.20000e+01,1.28567e-02
4.30000e+01,1.29072e-02
4.40000e+01,1.29239e-02
4.50000e+01,1.28611e-02
4.60000e+01,1.27434e-02
4.70000e+01,1.26843e-02
4.80000e+01,1.27619e-02
4.90000e+01,1.29319e-02
5.00000e+01,1.31093e-02
5.10000e+01,1.32452e-02
5.20000e+01,1.34071e-02
5.30000e+01,1.35991e-02
5.40000e+01,1.37755e-02
5.50000e+01,1.38947e-02
5.60000e+01,1.40170e-02
5.70000e+01,1.41276e-02
5.80000e+01,1.41580e-02
5.90000e+01,1.40978e-02
6.00000e+01,1.39982e-02
6.10000e+01,1.39903e-02
6.20000e+01,1.40799e-02
6.30000e+01,1.41971e-02
6.40000e+01,1.43523e-02
6.50000e+01,1.44815e-02
6.60000e+01,1.45983e-02
6.70000e+01,1.46582e-02
6.80000e+01,1.46945e-02
6.90000e+01,1.47388e-02
7.00000e+01,1.48542e-02
7.10000e+01,1.50481e-02
7.20000e+01,1.53016e-02
7.30000e+01,1.55093e-02
7.40000e+01,1.56880e-02
7.50000e+01,1.57956e-02
