Pixels #,Intensity (a.u.)
0.00000e+00,1.66123e-02
1.00000e+00,1.65551e-02
2.00000e+00,1.65834e-02
3.00000e+00,1.67096e-02
4.00000e+00,1.68349e-02
5.00000e+00,1.68618e-02
6.00000e+00,1.68182e-02
7.00000e+00,1.67490e-02
8.00000e+00,1.67897e-02
9.00000e+00,1.68759e-02
1.00000e+01,1.69636e-02
1.10000e+01,1.69886e-02
1.20000e+01,1.70243e-02
1.30000e+01,1.70805e-02
1.40000e+01,1.71449e-02
1.50000e+01,1.71663e-02
1.60000e+01,1.71282e-02
1.70000e+01,1.70325e-02
1.80000e+01,1.69235e-02
1.90000e+01,1.69022e-02
2.00000e+01,1.69949e-02
2.10000e+01,1.71519e-02
2.20000e+01,1.72657e-02
2.30000e+01,1.72738e-02
2.40000e+01,1.71850e-02
2.50000e+01,1.70985e-02
2.60000e+01,1.71005e-02
2.70000e+01,1.71901e-02
2.80000e+01,1.73061e-02
2.90000e+01,1.73452e-02
3.00000e+01,1.73773e-02
3.10000e+01,1.74327e-02
3.20000e+01,1.74782e-02
3.30000e+01,1.74517e-02
3.40000e+01,1.73345e-02
3.50000e+01,1.73147e-02
3.60000e+01,1.73429e-02
3.70000e+01,1.74019e-02
3.80000e+01,1.74124e-02
3.90000e+01,1.74377e-02
4.00000e+01,1.75250e-02
4.10000e+01,1.76020e-02
4.20000e+01,1.76677e-02
4.30000e+01,1.77024e-02
4.40000e+01,1.77278e-02
4.50000e+01,1.77292e-02
4.60000e+01,1.77128e-02
4.70000e+01,1.76994e-02
4.80000e+01,1.77188e-02
4.90000e+01,1.77310e-02
5.00000e+01,1.77616e-02
5.10000e+01,1.78830e-02
5.20000e+01,1.81748e-02
5.30000e+01,1.84852e-02
5.40000e+01,1.87665e-02
5.50000e+01,1.89640e-02
5.60000e+01,1.91188e-02
5.70000e+01,1.92462e-02
5.80000e+01,1.93050e-02
5.90000e+01,1.92940e-02
6.00000e+01,1.92575e-02
6.10000e+01,1.92591e-02
6.20000e+01,1.93224e-02
6.30000e+01,1.94035e-02
6.40000e+01,1.94959e-02
6.50000e+01,1.95501e-02
6.60000e+01,1.95844e-02
6.70000e+01,1.95697e-02
6.80000e+01,1.95579e-02
6.90000e+01,1.95093e-02
7.00000e+01,1.96085e-02
7.10000e+01,1.98198e-02
7.20000e+01,2.01693e-02
7.30000e+01,2.04636e-02
7.40000e+01,2.07120e-02
7.50000e+01,2.08825e-02
7.60000e+01,2.10522e-02
7.70000e+01,2.12569e-02
7.80000e+01,2.15510e-02
7.90000e+01,2.18097e-02
8.00000e+01,2.20401e-02
8.10000e+01,2.21342e-02
8.20000e+01,2.21252e-02
8.30000e+01,2.20232e-02
8.40000e+01,2.20227e-02
8.50000e+01,2.21113e-02
8.60000e+01,2.22902e-02
8.70000e+01,2.24486e-02
8.80000e+01,2.26389e-02
8.90000e+01,2.28336e-02
9.00000e+01,2.30484e-02
9.10000e+01,2.32399e-02
9.20000e+01,2.33955e-02
9.30000e+01,2.34618e-02
9.40000e+01,2.34761e-02
9.50000e+01,2.34790e-02
9.60000e+01,2.36084e-02
9.70000e+01,2.38100e-02
9.80000e+01,2.40739e-02
9.90000e+01,2.41680e-02
1.00000e+02,2.41696e-02
1.01000e+02,2.41016e-02
1.02000e+02,2.41144e-02
1.03000e+02,2.40870e-02
1.04000e+02,2.40958e-02
1.05000e+02,2.40931e-02
1.06000e+02,2.42124e-02
1.07000e+02,2.43764e-02
1.08000e+02,2.45927e-02
1.09000e+02,2.47620e-02
1.10000e+02,2.47867e-02
1.11000e+02,2.46532e-02
1.12000e+02,2.44601e-02
1.13000e+02,2.43163e-02
1.14000e+02,2.43035e-02
1.15000e+02,2.43540e-02
1.16000e+02,2.43569e-02
1.17000e+02,2.42646e-02
1.18000e+02,2.40549e-02
1.19000e+02,2.38156e-02
1.20000e+02,2.35614e-02
1.21000e+02,2.32937e-02
1.22000e+02,2.30221e-02
1.23000e+02,2.28374e-02
1.24000e+02,2.27971e-02
1.25000e+02,2.28358e-02
1.26000e+02,2.27661e-02
1.27000e+02,2.26431e-02
1.28000e+02,2.24859e-02
1.29000e+02,2.23709e-02
1.30000e+02,2.21844e-02
1.31000e+02,2.19029e-02
1.32000e+02,2.15807e-02
1.33000e+02,2.12697e-02
1.34000e+02,2.09898e-02
1.35000e+02,2.07239e-02
1.36000e+02,2.05040e-02
1.37000e+02,2.03232e-02
1.38000e+02,2.01371e-02
1.39000e+02,1.98859e-02
1.40000e+02,1.96995e-02
1.41000e+02,1.95465e-02
1.42000e+02,1.95135e-02
1.43000e+02,1.93329e-02
1.44000e+02,1.90997e-02
1.45000e+02,1.88054e-02
1.46000e+02,1.86210e-02
1.47000e+02,1.85537e-02
1.48000e+02,1.85757e-02
1.49000e+02,1.86478e-02
1.50000e+02,1.86678e-02
1.51000e+02,1.86031e-02
1.52000e+02,1.84437e-02
1.53000e+02,1.83039e-02
1.54000e+02,1.81598e-02
1.55000e+02,1.80819e-02
1.56000e+02,1.79986e-02
1.57000e+02,1.79428e-02
1.58000e+02,1.79152e-02
1.59000e+02,1.79476e-02
1.60000e+02,1.80475e-02
1.61000e+02,1.80908e-02
1.62000e+02,1.80042e-02
1.63000e+02,1.78458e-02
1.64000e+02,1.77052e-02
1.65000e+02,1.76862e-02
1.66000e+02,1.76847e-02
1.67000e+02,1.76971e-02
1.68000e+02,1.76231e-02
1.69000e+02,1.74589e-02
1.70000e+02,1.72671e-02
1.71000e+02,1.71479e-02
1.72000e+02,1.71811e-02
1.73000e+02,1.72691e-02
1.74000e+02,1.72493e-02
1.75000e+02,1.71039e-02
1.76000e+02,1.68515e-02
1.77000e+02,1.66731e-02
1.78000e+02,1.65416e-02
1.79000e+02,1.65143e-02
1.80000e+02,1.64978e-02
1.81000e+02,1.64806e-02
1.82000e+02,1.64409e-02
1.83000e+02,1.63608e-02
1.84000e+02,1.62762e-02
1.85000e+02,1.61371e-02
1.86000e+02,1.59542e-02
1.87000e+02,1.57259e-02
1.88000e+02,1.54594e-02
1.89000e+02,1.51431e-02
1.90000e+02,1.48110e-02
1.91000e+02,1.45346e-02
1.92000e+02,1.43858e-02
1.93000e+02,1.43002e-02
1.94000e+02,1.42221e-02
1.95000e+02,1.40790e-02
1.96000e+02,1.39447e-02
1.97000e+02,1.37558e-02
1.98000e+02,1.35017e-02
1.99000e+02,1.31596e-02
2.00000e+02,1.28541e-02
2.01000e+02,1.26483e-02
2.02000e+02,1.25761e-02
2.03000e+02,1.25302e-02
2.04000e+02,1.24450e-02
2.05000e+02,1.22965e-02
2.06000e+02,1.21647e-02
2.07000e+02,1.20721e-02
2.08000e+02,1.20322e-02
2.09000e+02,1.21914e-02
2.10000e+02,1.24481e-02
2.11000e+02,1.28556e-02
2.12000e+02,1.31413e-02
2.13000e+02,1.33579e-02
2.14000e+02,1.34178e-02
2.15000e+02,1.35050e-02
2.16000e+02,1.36471e-02
2.17000e+02,1.38248e-02
2.18000e+02,1.39666e-02
2.19000e+02,1.40718e-02
2.20000e+02,1.41844e-02
2.21000e+02,1.44107e-02
2.22000e+02,1.47248e-02
2.23000e+02,1.51543e-02
2.24000e+02,1.55693e-02
2.25000e+02,1.60099e-02
2.26000e+02,1.63715e-02
2.27000e+02,1.66593e-02
2.28000e+02,1.68373e-02
2.29000e+02,1.69676e-02
2.30000e+02,1.70677e-02
2.31000e+02,1.71262e-02
2.32000e+02,1.71797e-02
2.33000e+02,1.71599e-02
2.34000e+02,1.72319e-02
2.35000e+02,1.74047e-02
2.36000e+02,1.76888e-02
2.37000e+02,1.79351e-02
2.38000e+02,1.80388e-02
2.39000e+02,1.80939e-02
2.40000e+02,1.81436e-02
2.41000e+02,1.82764e-02
2.42000e+02,1.84092e-02
2.43000e+02,1.85088e-02
2.44000e+02,1.85137e-02
2.45000e+02,1.85395e-02
2.46000e+02,1.85906e-02
2.47000e+02,1.87021e-02
2.48000e+02,1.88200e-02
2.49000e+02,1.89571e-02
2.50000e+02,1.91305e-02
2.51000e+02,1.92854e-02
2.52000e+02,1.94302e-02
2.53000e+02,1.95880e-02
2.54000e+02,1.97547e-02
2.55000e+02,1.98926e-02
2.56000e+02,1.99672e-02
2.57000e+02,2.00372e-02
2.58000e+02,2.01184e-02
2.59000e+02,2.02071e-02
2.60000e+02,2.02963e-02
2.61000e+02,2.03930e-02
2.62000e+02,2.04612e-02
2.63000e+02,2.05416e-02
2.64000e+02,2.06188e-02
2.65000e+02,2.08127e-02
2.66000e+02,2.10283e-02
2.67000e+02,2.13135e-02
2.68000e+02,2.15036e-02
2.69000e+02,2.16805e-02
2.70000e+02,2.17677e-02
2.71000e+02,2.18242e-02
2.72000e+02,2.17755e-02
2.73000e+02,2.17363e-02
2.74000e+02,2.16914e-02
2.75000e+02,2.17271e-02
2.76000e+02,2.18425e-02
2.77000e+02,2.21502e-02
2.78000e+02,2.26017e-02
2.79000e+02,2.31303e-02
2.80000e+02,2.36415e-02
2.81000e+02,2.41182e-02
2.82000e+02,2.44682e-02
2.83000e+02,2.46959e-02
2.84000e+02,2.48227e-02
2.85000e+02,2.50056e-02
2.86000e+02,2.52838e-02
2.87000e+02,2.56020e-02
2.88000e+02,2.59270e-02
2.89000e+02,2.63025e-02
2.90000e+02,2.67347e-02
2.91000e+02,2.71692e-02
2.92000e+02,2.75212e-02
2.93000e+02,2.77793e-02
2.94000e+02,2.79864e-02
2.95000e+02,2.82688e-02
2.96000e+02,2.86615e-02
2.97000e+02,2.90712e-02
2.98000e+02,2.94234e-02
2.99000e+02,2.95493e-02
3.00000e+02,2.94307e-02
3.01000e+02,2.91246e-02
3.02000e+02,2.87707e-02
3.03000e+02,2.85165e-02
3.04000e+02,2.82987e-02
3.05000e+02,2.81891e-02
3.06000e+02,2.80060e-02
3.07000e+02,2.78593e-02
3.08000e+02,2.76790e-02
3.09000e+02,2.75347e-02
3.10000e+02,2.73554e-02
3.11000e+02,2.71120e-02
3.12000e+02,2.68427e-02
3.13000e+02,2.66313e-02
3.14000e+02,2.64603e-02
3.15000e+02,2.63054e-02
3.16000e+02,2.60253e-02
3.17000e+02,2.57320e-02
3.18000e+02,2.54176e-02
3.19000e+02,2.52124e-02
3.20000e+02,2.50912e-02
3.21000e+02,2.50740e-02
3.22000e+02,2.50591e-02
3.23000e+02,2.50753e-02
3.24000e+02,2.50901e-02
3.25000e+02,2.51032e-02
3.26000e+02,2.50298e-02
3.27000e+02,2.49374e-02
3.28000e+02,2.48587e-02
3.29000e+02,2.48017e-02
3.30000e+02,2.46391e-02
3.31000e+02,2.43982e-02
3.32000e+02,2.41591e-02
3.33000e+02,2.39936e-02
3.34000e+02,2.38658e-02
3.35000e+02,2.37643e-02
3.36000e+02,2.36521e-02
3.37000e+02,2.36271e-02
3.38000e+02,2.36653e-02
3.39000e+02,2.37551e-02
3.40000e+02,2.37481e-02
3.41000e+02,2.36133e-02
3.42000e+02,2.34384e-02
3.43000e+02,2.32908e-02
3.44000e+02,2.31968e-02
3.45000e+02,2.30537e-02
3.46000e+02,2.29263e-02
3.47000e+02,2.27691e-02
3.48000e+02,2.26637e-02
3.49000e+02,2.24591e-02
3.50000e+02,2.22789e-02
3.51000e+02,2.21194e-02
3.52000e+02,2.20681e-02
3.53000e+02,2.20688e-02
3.54000e+02,2.20480e-02
3.55000e+02,2.20513e-02
3.56000e+02,2.19889e-02
3.57000e+02,2.19026e-02
3.58000e+02,2.17016e-02
3.59000e+02,2.14661e-02
3.60000e+02,2.11957e-02
3.61000e+02,2.09860e-02
3.62000e+02,2.08098e-02
3.63000e+02,2.06908e-02
3.64000e+02,2.05651e-02
3.65000e+02,2.05052e-02
3.66000e+02,2.04001e-02
3.67000e+02,2.02078e-02
3.68000e+02,1.98409e-02
3.69000e+02,1.93207e-02
3.70000e+02,1.88806e-02
3.71000e+02,1.85984e-02
3.72000e+02,1.84978e-02
3.73000e+02,1.83975e-02
3.74000e+02,1.82755e-02
3.75000e+02,1.81703e-02
3.76000e+02,1.80366e-02
3.77000e+02,1.77527e-02
3.78000e+02,1.73298e-02
3.79000e+02,1.69118e-02
3.80000e+02,1.65881e-02
3.81000e+02,1.63608e-02
3.82000e+02,1.60840e-02
3.83000e+02,1.57807e-02
3.84000e+02,1.54303e-02
3.85000e+02,1.51717e-02
3.86000e+02,1.49688e-02
3.87000e+02,1.47884e-02
3.88000e+02,1.45395e-02
3.89000e+02,1.42592e-02
3.90000e+02,1.40769e-02
3.91000e+02,1.39816e-02
3.92000e+02,1.39910e-02
3.93000e+02,1.39413e-02
3.94000e+02,1.39106e-02
3.95000e+02,1.38879e-02
3.96000e+02,1.39019e-02
3.97000e+02,1.39429e-02
3.98000e+02,1.39381e-02
3.99000e+02,1.39563e-02
4.00000e+02,1.39862e-02
4.01000e+02,1.40562e-02
4.02000e+02,1.41710e-02
4.03000e+02,1.42329e-02
4.04000e+02,1.42200e-02
4.05000e+02,1.41240e-02
4.06000e+02,1.40490e-02
4.07000e+02,1.40742e-02
4.08000e+02,1.41587e-02
4.09000e+02,1.42900e-02
4.10000e+02,1.43021e-02
4.11000e+02,1.42311e-02
4.12000e+02,1.40943e-02
4.13000e+02,1.40526e-02
4.14000e+02,1.39980e-02
4.15000e+02,1.39459e-02
4.16000e+02,1.38786e-02
4.17000e+02,1.39105e-02
4.18000e+02,1.40032e-02
4.19000e+02,1.41570e-02
4.20000e+02,1.43579e-02
4.21000e+02,1.46120e-02
4.22000e+02,1.48931e-02
4.23000e+02,1.51492e-02
4.24000e+02,1.54154e-02
4.25000e+02,1.56490e-02
4.26000e+02,1.58753e-02
4.27000e+02,1.60790e-02
4.28000e+02,1.62557e-02
4.29000e+02,1.63623e-02
4.30000e+02,1.64631e-02
4.31000e+02,1.66260e-02
4.32000e+02,1.68537e-02
4.33000e+02,1.70347e-02
4.34000e+02,1.70611e-02
4.35000e+02,1.69422e-02
4.36000e+02,1.67637e-02
4.37000e+02,1.66307e-02
4.38000e+02,1.65759e-02
4.39000e+02,1.65074e-02
4.40000e+02,1.65149e-02
4.41000e+02,1.65215e-02
4.42000e+02,1.66182e-02
4.43000e+02,1.66379e-02
