Pixels #,Intensity (a.u.)
0.00000e+00,1.63275e-02
1.00000e+00,1.62255e-02
2.00000e+00,1.62078e-02
3.00000e+00,1.62477e-02
4.00000e+00,1.62816e-02
5.00000e+00,1.62557e-02
6.00000e+00,1.61856e-02
7.00000e+00,1.60872e-02
8.00000e+00,1.60666e-02
9.00000e+00,1.60944e-02
1.00000e+01,1.61304e-02
1.10000e+01,1.61108e-02
1.20000e+01,1.60777e-02
1.30000e+01,1.60513e-02
1.40000e+01,1.60097e-02
1.50000e+01,1.59202e-02
1.60000e+01,1.57763e-02
1.70000e+01,1.56019e-02
1.80000e+01,1.53830e-02
1.90000e+01,1.52332e-02
2.00000e+01,1.51427e-02
2.10000e+01,1.50974e-02
2.20000e+01,1.49860e-02
2.30000e+01,1.48160e-02
2.40000e+01,1.45748e-02
2.50000e+01,1.43065e-02
2.60000e+01,1.40525e-02
2.70000e+01,1.39249e-02
2.80000e+01,1.39448e-02
2.90000e+01,1.40067e-02
3.00000e+01,1.40618e-02
3.10000e+01,1.40653e-02
3.20000e+01,1.40366e-02
3.30000e+01,1.39534e-02
3.40000e+01,1.38929e-02
3.50000e+01,1.38723e-02
3.60000e+01,1.38695e-02
3.70000e+01,1.38224e-02
3.80000e+01,1.37151e-02
3.90000e+01,1.35775e-02
4.00000e+01,1.34489e-02
4.10000e+01,1.33255e-02
4.20000e+01,1.32717e-02
4.30000e+01,1.32189e-02
4.40000e+01,1.31664e-02
4.50000e+01,1.29767e-02
4.60000e+01,1.27423e-02
4.70000e+01,1.25171e-02
4.80000e+01,1.24658e-02
4.90000e+01,1.24887e-02
5.00000e+01,1.25396e-02
5.10000e+01,1.25766e-02
5.20000e+01,1.27015e-02
5.30000e+01,1.28758e-02
5.40000e+01,1.30331e-02
5.50000e+01,1.31310e-02
5.60000e+01,1.32069e-02
5.70000e+01,1.32776e-02
5.80000e+01,1.32744e-02
5.90000e+01,1.32460e-02
6.00000e+01,1.31842e-02
6.10000e+01,1.31449e-02
6.20000e+01,1.30781e-02
6.30000e+01,1.30117e-02
6.40000e+01,1.29528e-02
6.50000e+01,1.28998e-02
6.60000e+01,1.28256e-02
6.70000e+01,1.27696e-02
6.80000e+01,1.27616e-02
6.90000e+01,1.27522e-02
7.00000e+01,1.28227e-02
7.10000e+01,1.29145e-02
7.20000e+01,1.31202e-02
7.30000e+01,1.33009e-02
7.40000e+01,1.34992e-02
7.50000e+01,1.36326e-02
7.60000e+01,1.37360e-02
7.70000e+01,1.38135e-02
7.80000e+01,1.39117e-02
7.90000e+01,1.39860e-02
8.00000e+01,1.41183e-02
8.10000e+01,1.41866e-02
8.20000e+01,1.41761e-02
8.30000e+01,1.40104e-02
8.40000e+01,1.38439e-02
8.50000e+01,1.37486e-02
8.60000e+01,1.37742e-02
8.70000e+01,1.39264e-02
8.80000e+01,1.41111e-02
8.90000e+01,1.42757e-02
9.00000e+01,1.43891e-02
9.10000e+01,1.44516e-02
9.20000e+01,1.44503e-02
9.30000e+01,1.44035e-02
9.40000e+01,1.43377e-02
9.50000e+01,1.42310e-02
9.60000e+01,1.41518e-02
9.70000e+01,1.41333e-02
9.80000e+01,1.41873e-02
9.90000e+01,1.41705e-02
1.00000e+02,1.40788e-02
1.01000e+02,1.39602e-02
1.02000e+02,1.39297e-02
1.03000e+02,1.39046e-02
1.04000e+02,1.39255e-02
1.05000e+02,1.39478e-02
1.06000e+02,1.40798e-02
1.07000e+02,1.42269e-02
1.08000e+02,1.43849e-02
1.09000e+02,1.45390e-02
1.10000e+02,1.45875e-02
1.11000e+02,1.45874e-02
1.12000e+02,1.45657e-02
1.13000e+02,1.46336e-02
1.14000e+02,1.47225e-02
1.15000e+02,1.48212e-02
1.16000e+02,1.49032e-02
1.17000e+02,1.49748e-02
1.18000e+02,1.49418e-02
1.19000e+02,1.47476e-02
1.20000e+02,1.44830e-02
1.21000e+02,1.41885e-02
1.22000e+02,1.39715e-02
1.23000e+02,1.38215e-02
1.24000e+02,1.37831e-02
1.25000e+02,1.37413e-02
1.26000e+02,1.36419e-02
1.27000e+02,1.35326e-02
1.28000e+02,1.34824e-02
1.29000e+02,1.35221e-02
1.30000e+02,1.35529e-02
1.31000e+02,1.35109e-02
1.32000e+02,1.33982e-02
1.33000e+02,1.31837e-02
1.34000e+02,1.29681e-02
1.35000e+02,1.27936e-02
1.36000e+02,1.28254e-02
1.37000e+02,1.29436e-02
1.38000e+02,1.30712e-02
1.39000e+02,1.30840e-02
1.40000e+02,1.31079e-02
1.41000e+02,1.31182e-02
1.42000e+02,1.31606e-02
1.43000e+02,1.30878e-02
1.44000e+02,1.29453e-02
1.45000e+02,1.28062e-02
1.46000e+02,1.27767e-02
1.47000e+02,1.28327e-02
1.48000e+02,1.29155e-02
1.49000e+02,1.30347e-02
1.50000e+02,1.31286e-02
1.51000e+02,1.31674e-02
1.52000e+02,1.31240e-02
1.53000e+02,1.30670e-02
1.54000e+02,1.29928e-02
1.55000e+02,1.29525e-02
