Pixels #,Intensity (a.u.)
0.00000e+00,1.80607e-02
1.00000e+00,1.79300e-02
2.00000e+00,1.78624e-02
3.00000e+00,1.78673e-02
4.00000e+00,1.78639e-02
5.00000e+00,1.77709e-02
6.00000e+00,1.76385e-02
7.00000e+00,1.74691e-02
8.00000e+00,1.74065e-02
9.00000e+00,1.73647e-02
1.00000e+01,1.73360e-02
1.10000e+01,1.72602e-02
1.20000e+01,1.72249e-02
1.30000e+01,1.72400e-02
1.40000e+01,1.72574e-02
1.50000e+01,1.72393e-02
1.60000e+01,1.71429e-02
1.70000e+01,1.69792e-02
1.80000e+01,1.67212e-02
1.90000e+01,1.64818e-02
2.00000e+01,1.63046e-02
2.10000e+01,1.62545e-02
2.20000e+01,1.62323e-02
2.30000e+01,1.62000e-02
2.40000e+01,1.60980e-02
2.50000e+01,1.59912e-02
2.60000e+01,1.59132e-02
2.70000e+01,1.58711e-02
2.80000e+01,1.58556e-02
2.90000e+01,1.57884e-02
3.00000e+01,1.57069e-02
3.10000e+01,1.55864e-02
3.20000e+01,1.54270e-02
3.30000e+01,1.52324e-02
3.40000e+01,1.50121e-02
3.50000e+01,1.48836e-02
3.60000e+01,1.47822e-02
3.70000e+01,1.47011e-02
3.80000e+01,1.45861e-02
3.90000e+01,1.44851e-02
4.00000e+01,1.44534e-02
4.10000e+01,1.44004e-02
4.20000e+01,1.43701e-02
4.30000e+01,1.42877e-02
4.40000e+01,1.42081e-02
4.50000e+01,1.40355e-02
4.60000e+01,1.38339e-02
4.70000e+01,1.36938e-02
4.80000e+01,1.36939e-02
4.90000e+01,1.37517e-02
5.00000e+01,1.38168e-02
5.10000e+01,1.38996e-02
5.20000e+01,1.40711e-02
5.30000e+01,1.42777e-02
5.40000e+01,1.45343e-02
5.50000e+01,1.47603e-02
5.60000e+01,1.49731e-02
5.70000e+01,1.51033e-02
5.80000e+01,1.50978e-02
5.90000e+01,1.50215e-02
6.00000e+01,1.48899e-02
6.10000e+01,1.47846e-02
6.20000e+01,1.47636e-02
6.30000e+01,1.47884e-02
6.40000e+01,1.48248e-02
6.50000e+01,1.48110e-02
6.60000e+01,1.47888e-02
6.70000e+01,1.47622e-02
6.80000e+01,1.47594e-02
6.90000e+01,1.47740e-02
7.00000e+01,1.48979e-02
7.10000e+01,1.50836e-02
7.20000e+01,1.53065e-02
7.30000e+01,1.54527e-02
7.40000e+01,1.55576e-02
7.50000e+01,1.56118e-02
7.60000e+01,1.56655e-02
7.70000e+01,1.57399e-02
7.80000e+01,1.58507e-02
7.90000e+01,1.58609e-02
8.00000e+01,1.58062e-02
8.10000e+01,1.56643e-02
8.20000e+01,1.55465e-02
8.30000e+01,1.53818e-02
8.40000e+01,1.52879e-02
8.50000e+01,1.52520e-02
8.60000e+01,1.53035e-02
8.70000e+01,1.53719e-02
8.80000e+01,1.53787e-02
8.90000e+01,1.53537e-02
9.00000e+01,1.52777e-02
9.10000e+01,1.52696e-02
9.20000e+01,1.52589e-02
9.30000e+01,1.52514e-02
9.40000e+01,1.52124e-02
9.50000e+01,1.51626e-02
9.60000e+01,1.51978e-02
9.70000e+01,1.52286e-02
9.80000e+01,1.53175e-02
9.90000e+01,1.52603e-02
1.00000e+02,1.51755e-02
1.01000e+02,1.50179e-02
1.02000e+02,1.48939e-02
1.03000e+02,1.47065e-02
1.04000e+02,1.44977e-02
1.05000e+02,1.42955e-02
1.06000e+02,1.41841e-02
1.07000e+02,1.41830e-02
1.08000e+02,1.42670e-02
1.09000e+02,1.44151e-02
1.10000e+02,1.44929e-02
1.11000e+02,1.45019e-02
1.12000e+02,1.44244e-02
1.13000e+02,1.43769e-02
1.14000e+02,1.43805e-02
1.15000e+02,1.44669e-02
1.16000e+02,1.45977e-02
1.17000e+02,1.47409e-02
1.18000e+02,1.48614e-02
1.19000e+02,1.48892e-02
1.20000e+02,1.48605e-02
1.21000e+02,1.48017e-02
1.22000e+02,1.47953e-02
1.23000e+02,1.48708e-02
1.24000e+02,1.49590e-02
1.25000e+02,1.50013e-02
1.26000e+02,1.48744e-02
1.27000e+02,1.47282e-02
1.28000e+02,1.46052e-02
1.29000e+02,1.45793e-02
1.30000e+02,1.45316e-02
1.31000e+02,1.43652e-02
1.32000e+02,1.41645e-02
1.33000e+02,1.39044e-02
1.34000e+02,1.37389e-02
1.35000e+02,1.36588e-02
1.36000e+02,1.38016e-02
1.37000e+02,1.40044e-02
1.38000e+02,1.41878e-02
1.39000e+02,1.42080e-02
1.40000e+02,1.41442e-02
1.41000e+02,1.40175e-02
1.42000e+02,1.39756e-02
1.43000e+02,1.39249e-02
1.44000e+02,1.38963e-02
1.45000e+02,1.37818e-02
1.46000e+02,1.36683e-02
1.47000e+02,1.35547e-02
1.48000e+02,1.35356e-02
1.49000e+02,1.36238e-02
1.50000e+02,1.37149e-02
1.51000e+02,1.37590e-02
1.52000e+02,1.37732e-02
1.53000e+02,1.37940e-02
1.54000e+02,1.38165e-02
1.55000e+02,1.38855e-02
1.56000e+02,1.39524e-02
1.57000e+02,1.40050e-02
1.58000e+02,1.40118e-02
1.59000e+02,1.40077e-02
1.60000e+02,1.40144e-02
1.61000e+02,1.39790e-02
1.62000e+02,1.39700e-02
1.63000e+02,1.39908e-02
1.64000e+02,1.40998e-02
1.65000e+02,1.42126e-02
1.66000e+02,1.43116e-02
1.67000e+02,1.44088e-02
1.68000e+02,1.44676e-02
1.69000e+02,1.44810e-02
1.70000e+02,1.45262e-02
1.71000e+02,1.46295e-02
1.72000e+02,1.48184e-02
1.73000e+02,1.48898e-02
1.74000e+02,1.48383e-02
1.75000e+02,1.47216e-02
1.76000e+02,1.46285e-02
1.77000e+02,1.46547e-02
1.78000e+02,1.47441e-02
1.79000e+02,1.49527e-02
1.80000e+02,1.52018e-02
1.81000e+02,1.54525e-02
1.82000e+02,1.56353e-02
1.83000e+02,1.57035e-02
1.84000e+02,1.56795e-02
1.85000e+02,1.55860e-02
1.86000e+02,1.54767e-02
1.87000e+02,1.53827e-02
1.88000e+02,1.53559e-02
1.89000e+02,1.53134e-02
1.90000e+02,1.52637e-02
1.91000e+02,1.51577e-02
1.92000e+02,1.51393e-02
1.93000e+02,1.51826e-02
1.94000e+02,1.53184e-02
1.95000e+02,1.54934e-02
1.96000e+02,1.57349e-02
1.97000e+02,1.58963e-02
1.98000e+02,1.58959e-02
1.99000e+02,1.57249e-02
2.00000e+02,1.55809e-02
2.01000e+02,1.55910e-02
2.02000e+02,1.56863e-02
2.03000e+02,1.57051e-02
2.04000e+02,1.55581e-02
2.05000e+02,1.53429e-02
2.06000e+02,1.51543e-02
2.07000e+02,1.50226e-02
2.08000e+02,1.49578e-02
2.09000e+02,1.50090e-02
2.10000e+02,1.51267e-02
2.11000e+02,1.53301e-02
2.12000e+02,1.55036e-02
2.13000e+02,1.56630e-02
2.14000e+02,1.56955e-02
2.15000e+02,1.57091e-02
2.16000e+02,1.57672e-02
2.17000e+02,1.59471e-02
2.18000e+02,1.61783e-02
2.19000e+02,1.63867e-02
2.20000e+02,1.65678e-02
2.21000e+02,1.67350e-02
2.22000e+02,1.69767e-02
2.23000e+02,1.72526e-02
2.24000e+02,1.75902e-02
2.25000e+02,1.79018e-02
2.26000e+02,1.80992e-02
2.27000e+02,1.81071e-02
2.28000e+02,1.80628e-02
2.29000e+02,1.80123e-02
2.30000e+02,1.80262e-02
2.31000e+02,1.80142e-02
2.32000e+02,1.80554e-02
2.33000e+02,1.80423e-02
2.34000e+02,1.80300e-02
2.35000e+02,1.79742e-02
2.36000e+02,1.79478e-02
2.37000e+02,1.79346e-02
2.38000e+02,1.79670e-02
2.39000e+02,1.80491e-02
2.40000e+02,1.82166e-02
2.41000e+02,1.84288e-02
2.42000e+02,1.86821e-02
2.43000e+02,1.88904e-02
2.44000e+02,1.90203e-02
2.45000e+02,1.91003e-02
2.46000e+02,1.91425e-02
2.47000e+02,1.92147e-02
2.48000e+02,1.92781e-02
2.49000e+02,1.93731e-02
2.50000e+02,1.94883e-02
2.51000e+02,1.95946e-02
2.52000e+02,1.96876e-02
2.53000e+02,1.96720e-02
2.54000e+02,1.96221e-02
2.55000e+02,1.94622e-02
2.56000e+02,1.93248e-02
2.57000e+02,1.92136e-02
2.58000e+02,1.92152e-02
2.59000e+02,1.92697e-02
2.60000e+02,1.93493e-02
2.61000e+02,1.93882e-02
2.62000e+02,1.93825e-02
2.63000e+02,1.93155e-02
2.64000e+02,1.92938e-02
2.65000e+02,1.94015e-02
2.66000e+02,1.96219e-02
2.67000e+02,1.99101e-02
2.68000e+02,2.00739e-02
2.69000e+02,2.01311e-02
2.70000e+02,2.00852e-02
2.71000e+02,2.00335e-02
2.72000e+02,1.99487e-02
2.73000e+02,1.98967e-02
2.74000e+02,1.98484e-02
2.75000e+02,1.99052e-02
2.76000e+02,2.00533e-02
2.77000e+02,2.03914e-02
2.78000e+02,2.07990e-02
2.79000e+02,2.11973e-02
2.80000e+02,2.15517e-02
2.81000e+02,2.18806e-02
2.82000e+02,2.21924e-02
2.83000e+02,2.23947e-02
2.84000e+02,2.25273e-02
2.85000e+02,2.26007e-02
2.86000e+02,2.26857e-02
2.87000e+02,2.27531e-02
2.88000e+02,2.28710e-02
2.89000e+02,2.30941e-02
2.90000e+02,2.34170e-02
2.91000e+02,2.36816e-02
2.92000e+02,2.38174e-02
2.93000e+02,2.38927e-02
2.94000e+02,2.40139e-02
2.95000e+02,2.42766e-02
2.96000e+02,2.46057e-02
2.97000e+02,2.49374e-02
2.98000e+02,2.51390e-02
2.99000e+02,2.50750e-02
3.00000e+02,2.47898e-02
3.01000e+02,2.43943e-02
3.02000e+02,2.40265e-02
3.03000e+02,2.37030e-02
3.04000e+02,2.33801e-02
3.05000e+02,2.31591e-02
3.06000e+02,2.30061e-02
3.07000e+02,2.29453e-02
3.08000e+02,2.28516e-02
3.09000e+02,2.27238e-02
3.10000e+02,2.25164e-02
3.11000e+02,2.22049e-02
3.12000e+02,2.19335e-02
3.13000e+02,2.17435e-02
3.14000e+02,2.17063e-02
3.15000e+02,2.16817e-02
3.16000e+02,2.15903e-02
3.17000e+02,2.14330e-02
3.18000e+02,2.12323e-02
3.19000e+02,2.10371e-02
3.20000e+02,2.08682e-02
3.21000e+02,2.07465e-02
3.22000e+02,2.07119e-02
3.23000e+02,2.07682e-02
3.24000e+02,2.08674e-02
3.25000e+02,2.09042e-02
3.26000e+02,2.08320e-02
3.27000e+02,2.07795e-02
3.28000e+02,2.08094e-02
3.29000e+02,2.08390e-02
3.30000e+02,2.06927e-02
3.31000e+02,2.04218e-02
3.32000e+02,2.01186e-02
3.33000e+02,1.98429e-02
3.34000e+02,1.96104e-02
3.35000e+02,1.93984e-02
3.36000e+02,1.92208e-02
3.37000e+02,1.91700e-02
3.38000e+02,1.92706e-02
3.39000e+02,1.95385e-02
3.40000e+02,1.97777e-02
3.41000e+02,1.98662e-02
3.42000e+02,1.98058e-02
3.43000e+02,1.97304e-02
3.44000e+02,1.97300e-02
3.45000e+02,1.96736e-02
3.46000e+02,1.96616e-02
3.47000e+02,1.96032e-02
3.48000e+02,1.96037e-02
3.49000e+02,1.94184e-02
3.50000e+02,1.91992e-02
3.51000e+02,1.89722e-02
3.52000e+02,1.89145e-02
3.53000e+02,1.89549e-02
3.54000e+02,1.90872e-02
3.55000e+02,1.92405e-02
3.56000e+02,1.92879e-02
3.57000e+02,1.91797e-02
3.58000e+02,1.89401e-02
3.59000e+02,1.87399e-02
3.60000e+02,1.86012e-02
3.61000e+02,1.85066e-02
3.62000e+02,1.84027e-02
3.63000e+02,1.83262e-02
3.64000e+02,1.82539e-02
3.65000e+02,1.82547e-02
3.66000e+02,1.82318e-02
3.67000e+02,1.81150e-02
3.68000e+02,1.78099e-02
3.69000e+02,1.73961e-02
3.70000e+02,1.71306e-02
3.71000e+02,1.70818e-02
3.72000e+02,1.71475e-02
3.73000e+02,1.71076e-02
3.74000e+02,1.70081e-02
3.75000e+02,1.69321e-02
3.76000e+02,1.68815e-02
3.77000e+02,1.66797e-02
3.78000e+02,1.63513e-02
3.79000e+02,1.60611e-02
3.80000e+02,1.59149e-02
3.81000e+02,1.58644e-02
3.82000e+02,1.57737e-02
3.83000e+02,1.55780e-02
