Pixels #,Intensity (a.u.)
0.00000e+00,1.60988e-02
1.00000e+00,1.59728e-02
2.00000e+00,1.59033e-02
3.00000e+00,1.58482e-02
4.00000e+00,1.57759e-02
5.00000e+00,1.56176e-02
6.00000e+00,1.54426e-02
7.00000e+00,1.52270e-02
8.00000e+00,1.50952e-02
9.00000e+00,1.49957e-02
1.00000e+01,1.49313e-02
1.10000e+01,1.48528e-02
1.20000e+01,1.47971e-02
1.30000e+01,1.47810e-02
1.40000e+01,1.47615e-02
1.50000e+01,1.46779e-02
1.60000e+01,1.44912e-02
1.70000e+01,1.42248e-02
1.80000e+01,1.39409e-02
1.90000e+01,1.37127e-02
2.00000e+01,1.35771e-02
2.10000e+01,1.35257e-02
2.20000e+01,1.34690e-02
2.30000e+01,1.33657e-02
2.40000e+01,1.31564e-02
2.50000e+01,1.29079e-02
2.60000e+01,1.26866e-02
2.70000e+01,1.25421e-02
2.80000e+01,1.24351e-02
2.90000e+01,1.22838e-02
3.00000e+01,1.20990e-02
3.10000e+01,1.18917e-02
3.20000e+01,1.16645e-02
3.30000e+01,1.14425e-02
3.40000e+01,1.11981e-02
3.50000e+01,1.10133e-02
3.60000e+01,1.08053e-02
3.70000e+01,1.05954e-02
3.80000e+01,1.03760e-02
3.90000e+01,1.02141e-02
4.00000e+01,1.01336e-02
4.10000e+01,1.00700e-02
4.20000e+01,1.00323e-02
4.30000e+01,9.95469e-03
4.40000e+01,9.83955e-03
4.50000e+01,9.63601e-03
4.60000e+01,9.40758e-03
4.70000e+01,9.23571e-03
4.80000e+01,9.17247e-03
4.90000e+01,9.12667e-03
5.00000e+01,9.07736e-03
5.10000e+01,9.05908e-03
5.20000e+01,9.13427e-03
5.30000e+01,9.26968e-03
5.40000e+01,9.39624e-03
5.50000e+01,9.48203e-03
5.60000e+01,9.55854e-03
5.70000e+01,9.65248e-03
5.80000e+01,9.70734e-03
5.90000e+01,9.72328e-03
6.00000e+01,9.67544e-03
6.10000e+01,9.64551e-03
6.20000e+01,9.63640e-03
6.30000e+01,9.69578e-03
6.40000e+01,9.77999e-03
6.50000e+01,9.83258e-03
6.60000e+01,9.82260e-03
6.70000e+01,9.77570e-03
6.80000e+01,9.73453e-03
6.90000e+01,9.69646e-03
7.00000e+01,9.72377e-03
7.10000e+01,9.80836e-03
7.20000e+01,9.97205e-03
7.30000e+01,1.00870e-02
7.40000e+01,1.02255e-02
7.50000e+01,1.03063e-02
7.60000e+01,1.03915e-02
7.70000e+01,1.04771e-02
7.80000e+01,1.06280e-02
7.90000e+01,1.07080e-02
8.00000e+01,1.07420e-02
8.10000e+01,1.07035e-02
8.20000e+01,1.05985e-02
8.30000e+01,1.04112e-02
8.40000e+01,1.02817e-02
8.50000e+01,1.02201e-02
8.60000e+01,1.02839e-02
8.70000e+01,1.04016e-02
8.80000e+01,1.05442e-02
8.90000e+01,1.06766e-02
9.00000e+01,1.07453e-02
9.10000e+01,1.07448e-02
9.20000e+01,1.06854e-02
9.30000e+01,1.06382e-02
9.40000e+01,1.06723e-02
9.50000e+01,1.07434e-02
9.60000e+01,1.09207e-02
9.70000e+01,1.10769e-02
9.80000e+01,1.12529e-02
