Pixels #,Intensity (a.u.)
0.00000e+00,1.71803e-02
1.00000e+00,1.70640e-02
2.00000e+00,1.70248e-02
3.00000e+00,1.71018e-02
4.00000e+00,1.72367e-02
5.00000e+00,1.73489e-02
6.00000e+00,1.74594e-02
7.00000e+00,1.74957e-02
8.00000e+00,1.75954e-02
9.00000e+00,1.76745e-02
1.00000e+01,1.77710e-02
1.10000e+01,1.77521e-02
1.20000e+01,1.77156e-02
1.30000e+01,1.76863e-02
1.40000e+01,1.76957e-02
1.50000e+01,1.76275e-02
1.60000e+01,1.74777e-02
1.70000e+01,1.73124e-02
1.80000e+01,1.71574e-02
1.90000e+01,1.70707e-02
2.00000e+01,1.70293e-02
2.10000e+01,1.70564e-02
2.20000e+01,1.70617e-02
2.30000e+01,1.69786e-02
2.40000e+01,1.68283e-02
2.50000e+01,1.67058e-02
2.60000e+01,1.66691e-02
2.70000e+01,1.66901e-02
2.80000e+01,1.67161e-02
2.90000e+01,1.66996e-02
3.00000e+01,1.66529e-02
3.10000e+01,1.66145e-02
3.20000e+01,1.65431e-02
3.30000e+01,1.64794e-02
3.40000e+01,1.63302e-02
3.50000e+01,1.62075e-02
3.60000e+01,1.60657e-02
3.70000e+01,1.59723e-02
3.80000e+01,1.59143e-02
3.90000e+01,1.59266e-02
4.00000e+01,1.60454e-02
4.10000e+01,1.61841e-02
4.20000e+01,1.62914e-02
4.30000e+01,1.63002e-02
4.40000e+01,1.62467e-02
4.50000e+01,1.60935e-02
4.60000e+01,1.59019e-02
4.70000e+01,1.57506e-02
4.80000e+01,1.57532e-02
4.90000e+01,1.58402e-02
5.00000e+01,1.59316e-02
5.10000e+01,1.60078e-02
5.20000e+01,1.61555e-02
5.30000e+01,1.63496e-02
5.40000e+01,1.65700e-02
5.50000e+01,1.67548e-02
5.60000e+01,1.69036e-02
5.70000e+01,1.69744e-02
5.80000e+01,1.69308e-02
5.90000e+01,1.68669e-02
6.00000e+01,1.68112e-02
6.10000e+01,1.69072e-02
6.20000e+01,1.70752e-02
6.30000e+01,1.72388e-02
6.40000e+01,1.73410e-02
6.50000e+01,1.74186e-02
6.60000e+01,1.75027e-02
6.70000e+01,1.75589e-02
6.80000e+01,1.76099e-02
6.90000e+01,1.75762e-02
7.00000e+01,1.76364e-02
7.10000e+01,1.77091e-02
7.20000e+01,1.78398e-02
7.30000e+01,1.79333e-02
7.40000e+01,1.79774e-02
7.50000e+01,1.79140e-02
7.60000e+01,1.77599e-02
7.70000e+01,1.75940e-02
7.80000e+01,1.75167e-02
7.90000e+01,1.74355e-02
8.00000e+01,1.73714e-02
8.10000e+01,1.72766e-02
8.20000e+01,1.71799e-02
8.30000e+01,1.70652e-02
8.40000e+01,1.69857e-02
8.50000e+01,1.69754e-02
8.60000e+01,1.70317e-02
8.70000e+01,1.71449e-02
8.80000e+01,1.72065e-02
8.90000e+01,1.72520e-02
9.00000e+01,1.72687e-02
9.10000e+01,1.73519e-02
9.20000e+01,1.74142e-02
9.30000e+01,1.74342e-02
9.40000e+01,1.74168e-02
9.50000e+01,1.73561e-02
9.60000e+01,1.72811e-02
9.70000e+01,1.70868e-02
9.80000e+01,1.69875e-02
9.90000e+01,1.68546e-02
1.00000e+02,1.67775e-02
1.01000e+02,1.66100e-02
1.02000e+02,1.64889e-02
1.03000e+02,1.63295e-02
1.04000e+02,1.61917e-02
1.05000e+02,1.60507e-02
1.06000e+02,1.60810e-02
1.07000e+02,1.61919e-02
1.08000e+02,1.62965e-02
1.09000e+02,1.63079e-02
1.10000e+02,1.61519e-02
1.11000e+02,1.59537e-02
1.12000e+02,1.57704e-02
1.13000e+02,1.57576e-02
1.14000e+02,1.59160e-02
1.15000e+02,1.61387e-02
1.16000e+02,1.62663e-02
1.17000e+02,1.62796e-02
1.18000e+02,1.62047e-02
1.19000e+02,1.61680e-02
