Pixels #,Intensity (a.u.)
0.00000e+00,1.48950e-02
1.00000e+00,1.49397e-02
2.00000e+00,1.49618e-02
3.00000e+00,1.49478e-02
4.00000e+00,1.49227e-02
5.00000e+00,1.48889e-02
6.00000e+00,1.48358e-02
7.00000e+00,1.47735e-02
8.00000e+00,1.47320e-02
9.00000e+00,1.46818e-02
1.00000e+01,1.45972e-02
1.10000e+01,1.44507e-02
1.20000e+01,1.43258e-02
1.30000e+01,1.42535e-02
1.40000e+01,1.42208e-02
1.50000e+01,1.42030e-02
1.60000e+01,1.41281e-02
1.70000e+01,1.40009e-02
1.80000e+01,1.37987e-02
1.90000e+01,1.35904e-02
2.00000e+01,1.34034e-02
2.10000e+01,1.32858e-02
2.20000e+01,1.32192e-02
2.30000e+01,1.31801e-02
2.40000e+01,1.30982e-02
2.50000e+01,1.29262e-02
2.60000e+01,1.27102e-02
2.70000e+01,1.24942e-02
2.80000e+01,1.23062e-02
2.90000e+01,1.21464e-02
3.00000e+01,1.20584e-02
3.10000e+01,1.20298e-02
3.20000e+01,1.20555e-02
3.30000e+01,1.20652e-02
3.40000e+01,1.20165e-02
3.50000e+01,1.19500e-02
3.60000e+01,1.19063e-02
3.70000e+01,1.18536e-02
3.80000e+01,1.18067e-02
3.90000e+01,1.16856e-02
4.00000e+01,1.15092e-02
4.10000e+01,1.12931e-02
4.20000e+01,1.11049e-02
4.30000e+01,1.09941e-02
4.40000e+01,1.09396e-02
4.50000e+01,1.08820e-02
4.60000e+01,1.08282e-02
4.70000e+01,1.08963e-02
4.80000e+01,1.09824e-02
4.90000e+01,1.10703e-02
5.00000e+01,1.10917e-02
5.10000e+01,1.11450e-02
5.20000e+01,1.12323e-02
5.30000e+01,1.13819e-02
5.40000e+01,1.15656e-02
5.50000e+01,1.16825e-02
5.60000e+01,1.17267e-02
5.70000e+01,1.17308e-02
5.80000e+01,1.17061e-02
5.90000e+01,1.16781e-02
6.00000e+01,1.16952e-02
6.10000e+01,1.17652e-02
6.20000e+01,1.18578e-02
6.30000e+01,1.18823e-02
6.40000e+01,1.18440e-02
6.50000e+01,1.17514e-02
6.60000e+01,1.16974e-02
6.70000e+01,1.16830e-02
6.80000e+01,1.16834e-02
6.90000e+01,1.16060e-02
7.00000e+01,1.15039e-02
7.10000e+01,1.14500e-02
7.20000e+01,1.14533e-02
7.30000e+01,1.14682e-02
7.40000e+01,1.14255e-02
7.50000e+01,1.14397e-02
7.60000e+01,1.15030e-02
7.70000e+01,1.16466e-02
7.80000e+01,1.17471e-02
7.90000e+01,1.18316e-02
8.00000e+01,1.18394e-02
8.10000e+01,1.17325e-02
8.20000e+01,1.14782e-02
8.30000e+01,1.11889e-02
8.40000e+01,1.10185e-02
8.50000e+01,1.09986e-02
8.60000e+01,1.10761e-02
8.70000e+01,1.11940e-02
8.80000e+01,1.13366e-02
8.90000e+01,1.14511e-02
9.00000e+01,1.14590e-02
9.10000e+01,1.13143e-02
9.20000e+01,1.10703e-02
9.30000e+01,1.08322e-02
9.40000e+01,1.06301e-02
9.50000e+01,1.04477e-02
9.60000e+01,1.02774e-02
