Pixels #,Intensity (a.u.)
0.00000e+00,1.33158e-02
1.00000e+00,1.33199e-02
2.00000e+00,1.33659e-02
3.00000e+00,1.34058e-02
4.00000e+00,1.34289e-02
5.00000e+00,1.33997e-02
6.00000e+00,1.33569e-02
7.00000e+00,1.33212e-02
8.00000e+00,1.32866e-02
9.00000e+00,1.32222e-02
1.00000e+01,1.30997e-02
1.10000e+01,1.29278e-02
1.20000e+01,1.27703e-02
1.30000e+01,1.26558e-02
1.40000e+01,1.25988e-02
1.50000e+01,1.25649e-02
1.60000e+01,1.25171e-02
1.70000e+01,1.24382e-02
1.80000e+01,1.23096e-02
1.90000e+01,1.21551e-02
2.00000e+01,1.20038e-02
2.10000e+01,1.18755e-02
2.20000e+01,1.17603e-02
2.30000e+01,1.16527e-02
2.40000e+01,1.15437e-02
2.50000e+01,1.13997e-02
2.60000e+01,1.12236e-02
2.70000e+01,1.10475e-02
2.80000e+01,1.09031e-02
2.90000e+01,1.08346e-02
3.00000e+01,1.08446e-02
3.10000e+01,1.08819e-02
3.20000e+01,1.09096e-02
3.30000e+01,1.09276e-02
3.40000e+01,1.08875e-02
3.50000e+01,1.08654e-02
3.60000e+01,1.08594e-02
3.70000e+01,1.08418e-02
3.80000e+01,1.07943e-02
3.90000e+01,1.06691e-02
4.00000e+01,1.04930e-02
4.10000e+01,1.03169e-02
4.20000e+01,1.01715e-02
4.30000e+01,1.00883e-02
4.40000e+01,1.00413e-02
4.50000e+01,9.97443e-03
4.60000e+01,9.91529e-03
4.70000e+01,9.97625e-03
4.80000e+01,1.01093e-02
4.90000e+01,1.02501e-02
5.00000e+01,1.03342e-02
5.10000e+01,1.04020e-02
5.20000e+01,1.04145e-02
5.30000e+01,1.04358e-02
5.40000e+01,1.04470e-02
5.50000e+01,1.04619e-02
5.60000e+01,1.04671e-02
5.70000e+01,1.05216e-02
5.80000e+01,1.05824e-02
5.90000e+01,1.06231e-02
6.00000e+01,1.06441e-02
6.10000e+01,1.06818e-02
6.20000e+01,1.07801e-02
6.30000e+01,1.08208e-02
6.40000e+01,1.08201e-02
6.50000e+01,1.07275e-02
6.60000e+01,1.06876e-02
6.70000e+01,1.07218e-02
6.80000e+01,1.08194e-02
6.90000e+01,1.08619e-02
7.00000e+01,1.08523e-02
7.10000e+01,1.07960e-02
7.20000e+01,1.07248e-02
7.30000e+01,1.06366e-02
7.40000e+01,1.05302e-02
7.50000e+01,1.05308e-02
7.60000e+01,1.06236e-02
7.70000e+01,1.08137e-02
