Pixels #,Intensity (a.u.)
0.00000e+00,1.07639e-02
1.00000e+00,1.09037e-02
2.00000e+00,1.10613e-02
3.00000e+00,1.11755e-02
4.00000e+00,1.12614e-02
5.00000e+00,1.12888e-02
6.00000e+00,1.13045e-02
7.00000e+00,1.13346e-02
8.00000e+00,1.14162e-02
9.00000e+00,1.14814e-02
1.00000e+01,1.14982e-02
1.10000e+01,1.14598e-02
1.20000e+01,1.14365e-02
1.30000e+01,1.14473e-02
1.40000e+01,1.14999e-02
1.50000e+01,1.15318e-02
1.60000e+01,1.14851e-02
1.70000e+01,1.13773e-02
1.80000e+01,1.12456e-02
1.90000e+01,1.11241e-02
2.00000e+01,1.10102e-02
2.10000e+01,1.09137e-02
2.20000e+01,1.08421e-02
2.30000e+01,1.07918e-02
2.40000e+01,1.07635e-02
2.50000e+01,1.07494e-02
2.60000e+01,1.07337e-02
2.70000e+01,1.07356e-02
2.80000e+01,1.07331e-02
2.90000e+01,1.07625e-02
3.00000e+01,1.08222e-02
3.10000e+01,1.09327e-02
3.20000e+01,1.10558e-02
3.30000e+01,1.11461e-02
3.40000e+01,1.11934e-02
3.50000e+01,1.12451e-02
3.60000e+01,1.13216e-02
3.70000e+01,1.13928e-02
3.80000e+01,1.13571e-02
3.90000e+01,1.12255e-02
4.00000e+01,1.10938e-02
4.10000e+01,1.09666e-02
4.20000e+01,1.09223e-02
4.30000e+01,1.09371e-02
4.40000e+01,1.09599e-02
4.50000e+01,1.09489e-02
4.60000e+01,1.09602e-02
4.70000e+01,1.11350e-02
4.80000e+01,1.14143e-02
4.90000e+01,1.17193e-02
5.00000e+01,1.20044e-02
5.10000e+01,1.22901e-02
5.20000e+01,1.25261e-02
5.30000e+01,1.27302e-02
5.40000e+01,1.28264e-02
5.50000e+01,1.28351e-02
5.60000e+01,1.28010e-02
5.70000e+01,1.28471e-02
5.80000e+01,1.29300e-02
5.90000e+01,1.30572e-02
6.00000e+01,1.31874e-02
6.10000e+01,1.33220e-02
6.20000e+01,1.34427e-02
6.30000e+01,1.35098e-02
6.40000e+01,1.35605e-02
6.50000e+01,1.35932e-02
6.60000e+01,1.36520e-02
6.70000e+01,1.37200e-02
6.80000e+01,1.37904e-02
6.90000e+01,1.38302e-02
7.00000e+01,1.38477e-02
7.10000e+01,1.38843e-02
7.20000e+01,1.39554e-02
7.30000e+01,1.40560e-02
7.40000e+01,1.41165e-02
7.50000e+01,1.42606e-02
7.60000e+01,1.44336e-02
7.70000e+01,1.46830e-02
7.80000e+01,1.48727e-02
7.90000e+01,1.50471e-02
8.00000e+01,1.51657e-02
8.10000e+01,1.51914e-02
8.20000e+01,1.51344e-02
8.30000e+01,1.50279e-02
8.40000e+01,1.49999e-02
8.50000e+01,1.50344e-02
8.60000e+01,1.50896e-02
8.70000e+01,1.51238e-02
8.80000e+01,1.51922e-02
8.90000e+01,1.53153e-02
9.00000e+01,1.54185e-02
9.10000e+01,1.53474e-02
9.20000e+01,1.51268e-02
9.30000e+01,1.48375e-02
9.40000e+01,1.45916e-02
9.50000e+01,1.43741e-02
9.60000e+01,1.42303e-02
9.70000e+01,1.41532e-02
9.80000e+01,1.41583e-02
9.90000e+01,1.41512e-02
1.00000e+02,1.41058e-02
1.01000e+02,1.40852e-02
1.02000e+02,1.41108e-02
1.03000e+02,1.41386e-02
1.04000e+02,1.40969e-02
1.05000e+02,1.39751e-02
1.06000e+02,1.38659e-02
1.07000e+02,1.38736e-02
1.08000e+02,1.39781e-02
1.09000e+02,1.41008e-02
1.10000e+02,1.41630e-02
1.11000e+02,1.41955e-02
1.12000e+02,1.42323e-02
1.13000e+02,1.42909e-02
