Pixels #,Intensity (a.u.)
0.00000e+00,1.62329e-02
1.00000e+00,1.61205e-02
2.00000e+00,1.60491e-02
3.00000e+00,1.59730e-02
4.00000e+00,1.58491e-02
5.00000e+00,1.56655e-02
6.00000e+00,1.54292e-02
7.00000e+00,1.51993e-02
8.00000e+00,1.50066e-02
9.00000e+00,1.48401e-02
1.00000e+01,1.46940e-02
1.10000e+01,1.45233e-02
1.20000e+01,1.43979e-02
1.30000e+01,1.42981e-02
1.40000e+01,1.42475e-02
1.50000e+01,1.41874e-02
1.60000e+01,1.40869e-02
1.70000e+01,1.39098e-02
1.80000e+01,1.36600e-02
1.90000e+01,1.33965e-02
2.00000e+01,1.31194e-02
2.10000e+01,1.28423e-02
2.20000e+01,1.25652e-02
2.30000e+01,1.23028e-02
2.40000e+01,1.20363e-02
2.50000e+01,1.17593e-02
2.60000e+01,1.14822e-02
2.70000e+01,1.12051e-02
2.80000e+01,1.09662e-02
2.90000e+01,1.08082e-02
3.00000e+01,1.07670e-02
3.10000e+01,1.07793e-02
3.20000e+01,1.07696e-02
3.30000e+01,1.06928e-02
3.40000e+01,1.05426e-02
3.50000e+01,1.03585e-02
3.60000e+01,1.01855e-02
3.70000e+01,1.00306e-02
3.80000e+01,9.88245e-03
3.90000e+01,9.70109e-03
4.00000e+01,9.51283e-03
4.10000e+01,9.35275e-03
4.20000e+01,9.25718e-03
4.30000e+01,9.19085e-03
4.40000e+01,9.07816e-03
4.50000e+01,8.91711e-03
4.60000e+01,8.75151e-03
4.70000e+01,8.73372e-03
4.80000e+01,8.84593e-03
4.90000e+01,9.03621e-03
5.00000e+01,9.17350e-03
5.10000e+01,9.26484e-03
5.20000e+01,9.30654e-03
5.30000e+01,9.33650e-03
5.40000e+01,9.34009e-03
5.50000e+01,9.32884e-03
5.60000e+01,9.31811e-03
5.70000e+01,9.36047e-03
5.80000e+01,9.46266e-03
5.90000e+01,9.54365e-03
6.00000e+01,9.58012e-03
6.10000e+01,9.54678e-03
6.20000e+01,9.52073e-03
6.30000e+01,9.44337e-03
6.40000e+01,9.35510e-03
6.50000e+01,9.26199e-03
6.60000e+01,9.24167e-03
6.70000e+01,9.27076e-03
6.80000e+01,9.33810e-03
6.90000e+01,9.37689e-03
7.00000e+01,9.39470e-03
7.10000e+01,9.43155e-03
7.20000e+01,9.48187e-03
7.30000e+01,9.53061e-03
7.40000e+01,9.56550e-03
7.50000e+01,9.67693e-03
7.60000e+01,9.81269e-03
7.70000e+01,9.96914e-03
7.80000e+01,1.00841e-02
7.90000e+01,1.02158e-02
