Pixels #,Intensity (a.u.)
0.00000e+00,4.95728e-03
1.00000e+00,5.03270e-03
2.00000e+00,5.14962e-03
3.00000e+00,5.25591e-03
4.00000e+00,5.34470e-03
5.00000e+00,5.40511e-03
6.00000e+00,5.45979e-03
7.00000e+00,5.50780e-03
8.00000e+00,5.54994e-03
9.00000e+00,5.58506e-03
1.00000e+01,5.61106e-03
1.10000e+01,5.63295e-03
1.20000e+01,5.69067e-03
1.30000e+01,5.77951e-03
1.40000e+01,5.90849e-03
1.50000e+01,6.02740e-03
1.60000e+01,6.10561e-03
1.70000e+01,6.11755e-03
1.80000e+01,6.07773e-03
1.90000e+01,6.02607e-03
2.00000e+01,5.97766e-03
2.10000e+01,5.95224e-03
2.20000e+01,5.94890e-03
2.30000e+01,5.94850e-03
2.40000e+01,5.94099e-03
2.50000e+01,5.93911e-03
2.60000e+01,5.96549e-03
2.70000e+01,6.01231e-03
2.80000e+01,6.07695e-03
2.90000e+01,6.15355e-03
3.00000e+01,6.23453e-03
3.10000e+01,6.32202e-03
3.20000e+01,6.39189e-03
3.30000e+01,6.41398e-03
3.40000e+01,6.40435e-03
3.50000e+01,6.38754e-03
3.60000e+01,6.40182e-03
3.70000e+01,6.44173e-03
3.80000e+01,6.47914e-03
3.90000e+01,6.51151e-03
4.00000e+01,6.53471e-03
4.10000e+01,6.59932e-03
4.20000e+01,6.69017e-03
4.30000e+01,6.78590e-03
4.40000e+01,6.83594e-03
4.50000e+01,6.85737e-03
4.60000e+01,6.87593e-03
4.70000e+01,6.94314e-03
4.80000e+01,6.98476e-03
4.90000e+01,6.98491e-03
5.00000e+01,6.95037e-03
5.10000e+01,6.93488e-03
5.20000e+01,6.92301e-03
5.30000e+01,7.00784e-03
5.40000e+01,7.06791e-03
5.50000e+01,7.11888e-03
5.60000e+01,7.11837e-03
5.70000e+01,7.11947e-03
5.80000e+01,7.11232e-03
5.90000e+01,7.07971e-03
6.00000e+01,7.06351e-03
6.10000e+01,7.09076e-03
6.20000e+01,7.15859e-03
6.30000e+01,7.21066e-03
6.40000e+01,7.21835e-03
6.50000e+01,7.18816e-03
6.60000e+01,7.14071e-03
6.70000e+01,7.09178e-03
6.80000e+01,7.09176e-03
6.90000e+01,7.11743e-03
7.00000e+01,7.19470e-03
7.10000e+01,7.28310e-03
7.20000e+01,7.35309e-03
7.30000e+01,7.38483e-03
7.40000e+01,7.37115e-03
7.50000e+01,7.40588e-03
7.60000e+01,7.44720e-03
7.70000e+01,7.52717e-03
7.80000e+01,7.59643e-03
7.90000e+01,7.71055e-03
8.00000e+01,7.80862e-03
8.10000e+01,7.84952e-03
8.20000e+01,7.77707e-03
8.30000e+01,7.65966e-03
8.40000e+01,7.57596e-03
8.50000e+01,7.56564e-03
8.60000e+01,7.59217e-03
8.70000e+01,7.63581e-03
8.80000e+01,7.69817e-03
8.90000e+01,7.80833e-03
9.00000e+01,7.90332e-03
9.10000e+01,7.94034e-03
9.20000e+01,7.87795e-03
9.30000e+01,7.77210e-03
9.40000e+01,7.70387e-03
9.50000e+01,7.65250e-03
9.60000e+01,7.60938e-03
9.70000e+01,7.54920e-03
9.80000e+01,7.53080e-03
9.90000e+01,7.54275e-03
1.00000e+02,7.57963e-03
1.01000e+02,7.63316e-03
1.02000e+02,7.69593e-03
1.03000e+02,7.71082e-03
1.04000e+02,7.66391e-03
1.05000e+02,7.55967e-03
1.06000e+02,7.46715e-03
1.07000e+02,7.41295e-03
1.08000e+02,7.40877e-03
1.09000e+02,7.43781e-03
1.10000e+02,7.45597e-03
1.11000e+02,7.46343e-03
1.12000e+02,7.47918e-03
1.13000e+02,7.50719e-03
1.14000e+02,7.55030e-03
1.15000e+02,7.56285e-03
1.16000e+02,7.57192e-03
1.17000e+02,7.56373e-03
1.18000e+02,7.53670e-03
1.19000e+02,7.46712e-03
1.20000e+02,7.36424e-03
1.21000e+02,7.28593e-03
