Pixels #,Intensity (a.u.)
0.00000e+00,1.18593e-02
1.00000e+00,1.17570e-02
2.00000e+00,1.16847e-02
3.00000e+00,1.15881e-02
4.00000e+00,1.14669e-02
5.00000e+00,1.13197e-02
6.00000e+00,1.11553e-02
7.00000e+00,1.09926e-02
8.00000e+00,1.08325e-02
9.00000e+00,1.06765e-02
1.00000e+01,1.04861e-02
1.10000e+01,1.02825e-02
1.20000e+01,1.01156e-02
1.30000e+01,1.00097e-02
1.40000e+01,9.95270e-03
1.50000e+01,9.90075e-03
1.60000e+01,9.82074e-03
1.70000e+01,9.67406e-03
1.80000e+01,9.47042e-03
1.90000e+01,9.26678e-03
2.00000e+01,9.07217e-03
2.10000e+01,8.88414e-03
2.20000e+01,8.71522e-03
2.30000e+01,8.56943e-03
2.40000e+01,8.43576e-03
2.50000e+01,8.28995e-03
2.60000e+01,8.12233e-03
2.70000e+01,7.94868e-03
2.80000e+01,7.77918e-03
2.90000e+01,7.62095e-03
3.00000e+01,7.48791e-03
3.10000e+01,7.40151e-03
3.20000e+01,7.33123e-03
3.30000e+01,7.21623e-03
3.40000e+01,7.04026e-03
3.50000e+01,6.85013e-03
3.60000e+01,6.68666e-03
3.70000e+01,6.56662e-03
3.80000e+01,6.44758e-03
3.90000e+01,6.34686e-03
4.00000e+01,6.22088e-03
4.10000e+01,6.11513e-03
4.20000e+01,5.98567e-03
4.30000e+01,5.85480e-03
4.40000e+01,5.67831e-03
4.50000e+01,5.49233e-03
4.60000e+01,5.31188e-03
4.70000e+01,5.21364e-03
4.80000e+01,5.14410e-03
4.90000e+01,5.08449e-03
5.00000e+01,4.99037e-03
5.10000e+01,4.91170e-03
5.20000e+01,4.86050e-03
5.30000e+01,4.91307e-03
5.40000e+01,4.95245e-03
5.50000e+01,4.95888e-03
5.60000e+01,4.89306e-03
5.70000e+01,4.84988e-03
5.80000e+01,4.83982e-03
5.90000e+01,4.87254e-03
6.00000e+01,4.90815e-03
6.10000e+01,4.95233e-03
6.20000e+01,5.02006e-03
6.30000e+01,5.08443e-03
6.40000e+01,5.13003e-03
6.50000e+01,5.11653e-03
6.60000e+01,5.10898e-03
6.70000e+01,5.08531e-03
6.80000e+01,5.08921e-03
6.90000e+01,5.04405e-03
7.00000e+01,5.00416e-03
7.10000e+01,4.95614e-03
7.20000e+01,4.92780e-03
7.30000e+01,4.86967e-03
7.40000e+01,4.79560e-03
7.50000e+01,4.75678e-03
7.60000e+01,4.75586e-03
7.70000e+01,4.79118e-03
7.80000e+01,4.83844e-03
7.90000e+01,4.91658e-03
8.00000e+01,4.99137e-03
8.10000e+01,4.99189e-03
8.20000e+01,4.88114e-03
8.30000e+01,4.74417e-03
8.40000e+01,4.66635e-03
8.50000e+01,4.70466e-03
8.60000e+01,4.80521e-03
8.70000e+01,4.93270e-03
8.80000e+01,5.04833e-03
8.90000e+01,5.19157e-03
9.00000e+01,5.32158e-03
9.10000e+01,5.39677e-03
9.20000e+01,5.36193e-03
9.30000e+01,5.26255e-03
9.40000e+01,5.19982e-03
9.50000e+01,5.16615e-03
9.60000e+01,5.16870e-03
9.70000e+01,5.19121e-03
9.80000e+01,5.25659e-03
9.90000e+01,5.33539e-03
1.00000e+02,5.41424e-03
1.01000e+02,5.49431e-03
1.02000e+02,5.58611e-03
1.03000e+02,5.63655e-03
1.04000e+02,5.64124e-03
1.05000e+02,5.58999e-03
1.06000e+02,5.52497e-03
1.07000e+02,5.46513e-03
1.08000e+02,5.45695e-03
1.09000e+02,5.49526e-03
1.10000e+02,5.50556e-03
1.11000e+02,5.49653e-03
1.12000e+02,5.49084e-03
1.13000e+02,5.51554e-03
1.14000e+02,5.56312e-03
1.15000e+02,5.60040e-03
1.16000e+02,5.65140e-03
1.17000e+02,5.69498e-03
1.18000e+02,5.69977e-03
1.19000e+02,5.66564e-03
1.20000e+02,5.62023e-03
1.21000e+02,5.56321e-03
1.22000e+02,5.50187e-03
1.23000e+02,5.43021e-03
1.24000e+02,5.39355e-03
1.25000e+02,5.38123e-03
1.26000e+02,5.40681e-03
1.27000e+02,5.43472e-03
1.28000e+02,5.45180e-03
1.29000e+02,5.44623e-03
1.30000e+02,5.40115e-03
