Pixels #,Intensity (a.u.)
0.00000e+00,1.02987e-02
1.00000e+00,1.02590e-02
2.00000e+00,1.02468e-02
3.00000e+00,1.02262e-02
4.00000e+00,1.02033e-02
5.00000e+00,1.01681e-02
6.00000e+00,1.01358e-02
7.00000e+00,1.01078e-02
8.00000e+00,1.01009e-02
9.00000e+00,1.00835e-02
1.00000e+01,1.00561e-02
1.10000e+01,9.99218e-03
1.20000e+01,9.97637e-03
1.30000e+01,9.99592e-03
1.40000e+01,1.00601e-02
1.50000e+01,1.01190e-02
1.60000e+01,1.01536e-02
1.70000e+01,1.01347e-02
1.80000e+01,1.00398e-02
1.90000e+01,9.90022e-03
2.00000e+01,9.76061e-03
2.10000e+01,9.63553e-03
2.20000e+01,9.54709e-03
2.30000e+01,9.48838e-03
2.40000e+01,9.47448e-03
2.50000e+01,9.47748e-03
2.60000e+01,9.48826e-03
2.70000e+01,9.49462e-03
2.80000e+01,9.50399e-03
2.90000e+01,9.52600e-03
3.00000e+01,9.55636e-03
3.10000e+01,9.59398e-03
3.20000e+01,9.63011e-03
3.30000e+01,9.61885e-03
3.40000e+01,9.56579e-03
3.50000e+01,9.48822e-03
3.60000e+01,9.43538e-03
3.70000e+01,9.39666e-03
3.80000e+01,9.36947e-03
3.90000e+01,9.35420e-03
4.00000e+01,9.33071e-03
4.10000e+01,9.33032e-03
4.20000e+01,9.33607e-03
4.30000e+01,9.34523e-03
4.40000e+01,9.29830e-03
4.50000e+01,9.19998e-03
4.60000e+01,9.09265e-03
4.70000e+01,9.09081e-03
4.80000e+01,9.15557e-03
4.90000e+01,9.24983e-03
5.00000e+01,9.27561e-03
5.10000e+01,9.27948e-03
5.20000e+01,9.24588e-03
5.30000e+01,9.30384e-03
5.40000e+01,9.40730e-03
5.50000e+01,9.50230e-03
5.60000e+01,9.56901e-03
5.70000e+01,9.63143e-03
5.80000e+01,9.66621e-03
5.90000e+01,9.61285e-03
6.00000e+01,9.51036e-03
6.10000e+01,9.40541e-03
6.20000e+01,9.34367e-03
6.30000e+01,9.30530e-03
6.40000e+01,9.25911e-03
6.50000e+01,9.22132e-03
6.60000e+01,9.17262e-03
6.70000e+01,9.11008e-03
6.80000e+01,9.04693e-03
6.90000e+01,8.99752e-03
7.00000e+01,8.99632e-03
7.10000e+01,9.01171e-03
7.20000e+01,9.00755e-03
7.30000e+01,8.96685e-03
7.40000e+01,8.90084e-03
7.50000e+01,8.88395e-03
7.60000e+01,8.91601e-03
7.70000e+01,8.97551e-03
7.80000e+01,9.01651e-03
7.90000e+01,9.06120e-03
8.00000e+01,9.11670e-03
8.10000e+01,9.11573e-03
8.20000e+01,9.02380e-03
8.30000e+01,8.85553e-03
8.40000e+01,8.72981e-03
8.50000e+01,8.68421e-03
8.60000e+01,8.70455e-03
8.70000e+01,8.76383e-03
8.80000e+01,8.84198e-03
8.90000e+01,8.99328e-03
9.00000e+01,9.12766e-03
9.10000e+01,9.22669e-03
9.20000e+01,9.24095e-03
9.30000e+01,9.23456e-03
9.40000e+01,9.25321e-03
9.50000e+01,9.27139e-03
9.60000e+01,9.28271e-03
9.70000e+01,9.27424e-03
9.80000e+01,9.29533e-03
9.90000e+01,9.31334e-03
1.00000e+02,9.36973e-03
1.01000e+02,9.43857e-03
1.02000e+02,9.55560e-03
1.03000e+02,9.61047e-03
1.04000e+02,9.62197e-03
1.05000e+02,9.58269e-03
1.06000e+02,9.54625e-03
1.07000e+02,9.52522e-03
1.08000e+02,9.52774e-03
1.09000e+02,9.57265e-03
1.10000e+02,9.60301e-03
1.11000e+02,9.60742e-03
1.12000e+02,9.60887e-03
1.13000e+02,9.60508e-03
1.14000e+02,9.58843e-03
1.15000e+02,9.51531e-03
1.16000e+02,9.43218e-03
1.17000e+02,9.37247e-03
1.18000e+02,9.33604e-03
1.19000e+02,9.27745e-03
1.20000e+02,9.18676e-03
1.21000e+02,9.11747e-03
1.22000e+02,9.08862e-03
1.23000e+02,9.08903e-03
1.24000e+02,9.10137e-03
1.25000e+02,9.11235e-03
1.26000e+02,9.14226e-03
1.27000e+02,9.18456e-03
1.28000e+02,9.25649e-03
1.29000e+02,9.32463e-03
1.30000e+02,9.35611e-03
1.31000e+02,9.37572e-03
1.32000e+02,9.33666e-03
1.33000e+02,9.28882e-03
1.34000e+02,9.20538e-03
1.35000e+02,9.19176e-03
1.36000e+02,9.23509e-03
1.37000e+02,9.32258e-03
1.38000e+02,9.36549e-03
1.39000e+02,9.38802e-03
1.40000e+02,9.40313e-03
1.41000e+02,9.45722e-03
1.42000e+02,9.52139e-03
1.43000e+02,9.58987e-03
1.44000e+02,9.63922e-03
1.45000e+02,9.67427e-03
1.46000e+02,9.70708e-03
1.47000e+02,9.74540e-03
1.48000e+02,9.77974e-03
1.49000e+02,9.78891e-03
1.50000e+02,9.80692e-03
1.51000e+02,9.80354e-03
1.52000e+02,9.80926e-03
1.53000e+02,9.80922e-03
1.54000e+02,9.84890e-03
