Pixels #,Intensity (a.u.)
0.00000e+00,3.86044e-03
1.00000e+00,3.88572e-03
2.00000e+00,3.92286e-03
3.00000e+00,3.93231e-03
4.00000e+00,3.91524e-03
5.00000e+00,3.87566e-03
6.00000e+00,3.82952e-03
7.00000e+00,3.80225e-03
8.00000e+00,3.82011e-03
9.00000e+00,3.86162e-03
1.00000e+01,3.89187e-03
1.10000e+01,3.90439e-03
1.20000e+01,3.95705e-03
1.30000e+01,4.04986e-03
1.40000e+01,4.15442e-03
1.50000e+01,4.21046e-03
1.60000e+01,4.20203e-03
1.70000e+01,4.15589e-03
1.80000e+01,4.10975e-03
1.90000e+01,4.07579e-03
2.00000e+01,4.04994e-03
2.10000e+01,4.01780e-03
2.20000e+01,3.97262e-03
2.30000e+01,3.93518e-03
2.40000e+01,3.90472e-03
2.50000e+01,3.86721e-03
2.60000e+01,3.82876e-03
2.70000e+01,3.78262e-03
2.80000e+01,3.75957e-03
2.90000e+01,3.75523e-03
3.00000e+01,3.79261e-03
3.10000e+01,3.85105e-03
3.20000e+01,3.90808e-03
3.30000e+01,3.91087e-03
3.40000e+01,3.86473e-03
3.50000e+01,3.81859e-03
3.60000e+01,3.78564e-03
3.70000e+01,3.80829e-03
3.80000e+01,3.85695e-03
3.90000e+01,3.94063e-03
4.00000e+01,4.00966e-03
4.10000e+01,4.08848e-03
4.20000e+01,4.17401e-03
4.30000e+01,4.26551e-03
4.40000e+01,4.32282e-03
4.50000e+01,4.35117e-03
4.60000e+01,4.38316e-03
4.70000e+01,4.46606e-03
4.80000e+01,4.55378e-03
4.90000e+01,4.61659e-03
5.00000e+01,4.62325e-03
5.10000e+01,4.63192e-03
5.20000e+01,4.63037e-03
5.30000e+01,4.68538e-03
5.40000e+01,4.74286e-03
5.50000e+01,4.77700e-03
5.60000e+01,4.73479e-03
5.70000e+01,4.70150e-03
5.80000e+01,4.69067e-03
5.90000e+01,4.69196e-03
6.00000e+01,4.68062e-03
6.10000e+01,4.68634e-03
6.20000e+01,4.73789e-03
6.30000e+01,4.83168e-03
6.40000e+01,4.91668e-03
6.50000e+01,4.95153e-03
6.60000e+01,4.92669e-03
6.70000e+01,4.90508e-03
6.80000e+01,4.90284e-03
6.90000e+01,4.89495e-03
7.00000e+01,4.88277e-03
7.10000e+01,4.85815e-03
7.20000e+01,4.84860e-03
7.30000e+01,4.84860e-03
7.40000e+01,4.84812e-03
7.50000e+01,4.86461e-03
7.60000e+01,4.93588e-03
7.70000e+01,5.04634e-03
7.80000e+01,5.13518e-03
7.90000e+01,5.18715e-03
8.00000e+01,5.20337e-03
8.10000e+01,5.16177e-03
8.20000e+01,5.08158e-03
8.30000e+01,4.99286e-03
8.40000e+01,4.96531e-03
8.50000e+01,5.01077e-03
8.60000e+01,5.08644e-03
8.70000e+01,5.19073e-03
8.80000e+01,5.30569e-03
8.90000e+01,5.45788e-03
9.00000e+01,5.61070e-03
9.10000e+01,5.69663e-03
9.20000e+01,5.70992e-03
9.30000e+01,5.65880e-03
9.40000e+01,5.63219e-03
9.50000e+01,5.63717e-03
9.60000e+01,5.67176e-03
9.70000e+01,5.71201e-03
9.80000e+01,5.75275e-03
9.90000e+01,5.77249e-03
1.00000e+02,5.79058e-03
1.01000e+02,5.80236e-03
1.02000e+02,5.82286e-03
1.03000e+02,5.78333e-03
1.04000e+02,5.73403e-03
1.05000e+02,5.68725e-03
1.06000e+02,5.68047e-03
1.07000e+02,5.69939e-03
1.08000e+02,5.72562e-03
1.09000e+02,5.73111e-03
1.10000e+02,5.71893e-03
1.11000e+02,5.69864e-03
1.12000e+02,5.70734e-03
1.13000e+02,5.76662e-03
1.14000e+02,5.84963e-03
1.15000e+02,5.91432e-03
1.16000e+02,5.97493e-03
1.17000e+02,6.03548e-03
1.18000e+02,6.10130e-03
1.19000e+02,6.12557e-03
1.20000e+02,6.10985e-03
1.21000e+02,6.06123e-03
1.22000e+02,6.01815e-03
1.23000e+02,6.00608e-03
1.24000e+02,6.05527e-03
1.25000e+02,6.14455e-03
1.26000e+02,6.22855e-03
1.27000e+02,6.30083e-03
1.28000e+02,6.33352e-03
1.29000e+02,6.35409e-03
1.30000e+02,6.33547e-03
1.31000e+02,6.31337e-03
1.32000e+02,6.23998e-03
1.33000e+02,6.15128e-03
1.34000e+02,6.03532e-03
1.35000e+02,5.96153e-03
1.36000e+02,5.91752e-03
1.37000e+02,5.86945e-03
1.38000e+02,5.78095e-03
1.39000e+02,5.68698e-03
1.40000e+02,5.63138e-03
1.41000e+02,5.62614e-03
1.42000e+02,5.65522e-03
1.43000e+02,5.70376e-03
1.44000e+02,5.75405e-03
1.45000e+02,5.81834e-03
1.46000e+02,5.92743e-03
1.47000e+02,6.04913e-03
1.48000e+02,6.15282e-03
1.49000e+02,6.18072e-03
1.50000e+02,6.17433e-03
1.51000e+02,6.12023e-03
1.52000e+02,6.04892e-03
1.53000e+02,5.96027e-03
1.54000e+02,5.90752e-03
1.55000e+02,5.92972e-03
1.56000e+02,5.99253e-03
1.57000e+02,6.09079e-03
1.58000e+02,6.16701e-03
1.59000e+02,6.23459e-03
1.60000e+02,6.33185e-03
1.61000e+02,6.43747e-03
1.62000e+02,6.56320e-03
1.63000e+02,6.67849e-03
1.64000e+02,6.77874e-03
1.65000e+02,6.86979e-03
1.66000e+02,6.91426e-03
1.67000e+02,6.88467e-03
1.68000e+02,6.81730e-03
1.69000e+02,6.77296e-03
1.70000e+02,6.77666e-03
1.71000e+02,6.76682e-03
1.72000e+02,6.79269e-03
1.73000e+02,6.83072e-03
1.74000e+02,6.89189e-03
1.75000e+02,6.92635e-03
1.76000e+02,6.92501e-03
1.77000e+02,6.91343e-03
