Pixels #,Intensity (a.u.)
0.00000e+00,5.53113e-03
1.00000e+00,5.54876e-03
2.00000e+00,5.57032e-03
3.00000e+00,5.57192e-03
4.00000e+00,5.55846e-03
5.00000e+00,5.55796e-03
6.00000e+00,5.57314e-03
7.00000e+00,5.60125e-03
8.00000e+00,5.62677e-03
9.00000e+00,5.65484e-03
1.00000e+01,5.67195e-03
1.10000e+01,5.67012e-03
1.20000e+01,5.69076e-03
1.30000e+01,5.72718e-03
1.40000e+01,5.79187e-03
1.50000e+01,5.83453e-03
1.60000e+01,5.86232e-03
1.70000e+01,5.84295e-03
1.80000e+01,5.78822e-03
1.90000e+01,5.71116e-03
2.00000e+01,5.63530e-03
2.10000e+01,5.55824e-03
2.20000e+01,5.49247e-03
2.30000e+01,5.43035e-03
2.40000e+01,5.40562e-03
2.50000e+01,5.41239e-03
2.60000e+01,5.44338e-03
2.70000e+01,5.47944e-03
2.80000e+01,5.50171e-03
2.90000e+01,5.51808e-03
3.00000e+01,5.56532e-03
3.10000e+01,5.64481e-03
3.20000e+01,5.74543e-03
3.30000e+01,5.79685e-03
3.40000e+01,5.80155e-03
3.50000e+01,5.79023e-03
3.60000e+01,5.80589e-03
3.70000e+01,5.85829e-03
3.80000e+01,5.91449e-03
3.90000e+01,5.96781e-03
4.00000e+01,5.99580e-03
4.10000e+01,6.02490e-03
4.20000e+01,6.05410e-03
4.30000e+01,6.08156e-03
4.40000e+01,6.06542e-03
4.50000e+01,6.02840e-03
4.60000e+01,6.00453e-03
4.70000e+01,6.05485e-03
4.80000e+01,6.13256e-03
4.90000e+01,6.19739e-03
5.00000e+01,6.23034e-03
5.10000e+01,6.27352e-03
5.20000e+01,6.29771e-03
5.30000e+01,6.39139e-03
5.40000e+01,6.42929e-03
5.50000e+01,6.43398e-03
5.60000e+01,6.36949e-03
5.70000e+01,6.36778e-03
5.80000e+01,6.39245e-03
5.90000e+01,6.43489e-03
6.00000e+01,6.44560e-03
6.10000e+01,6.45532e-03
6.20000e+01,6.45769e-03
6.30000e+01,6.46217e-03
6.40000e+01,6.48555e-03
6.50000e+01,6.52085e-03
6.60000e+01,6.55514e-03
6.70000e+01,6.52104e-03
6.80000e+01,6.49544e-03
6.90000e+01,6.44842e-03
7.00000e+01,6.44903e-03
7.10000e+01,6.44553e-03
7.20000e+01,6.46545e-03
7.30000e+01,6.44440e-03
7.40000e+01,6.41198e-03
7.50000e+01,6.41606e-03
7.60000e+01,6.44589e-03
7.70000e+01,6.51237e-03
7.80000e+01,6.57488e-03
7.90000e+01,6.67072e-03
8.00000e+01,6.78120e-03
8.10000e+01,6.87402e-03
8.20000e+01,6.89259e-03
8.30000e+01,6.87098e-03
8.40000e+01,6.86914e-03
8.50000e+01,6.92259e-03
8.60000e+01,6.98786e-03
8.70000e+01,7.08433e-03
8.80000e+01,7.21734e-03
8.90000e+01,7.40891e-03
9.00000e+01,7.57550e-03
9.10000e+01,7.67228e-03
9.20000e+01,7.67247e-03
9.30000e+01,7.65686e-03
9.40000e+01,7.66437e-03
9.50000e+01,7.69460e-03
9.60000e+01,7.70256e-03
9.70000e+01,7.70223e-03
9.80000e+01,7.72148e-03
9.90000e+01,7.75925e-03
1.00000e+02,7.80825e-03
1.01000e+02,7.84191e-03
1.02000e+02,7.89171e-03
1.03000e+02,7.89299e-03
1.04000e+02,7.86406e-03
1.05000e+02,7.79113e-03
1.06000e+02,7.73464e-03
1.07000e+02,7.69242e-03
1.08000e+02,7.67130e-03
1.09000e+02,7.66842e-03
1.10000e+02,7.66886e-03
1.11000e+02,7.66768e-03
1.12000e+02,7.69108e-03
1.13000e+02,7.73711e-03
1.14000e+02,7.81783e-03
1.15000e+02,7.86078e-03
1.16000e+02,7.88092e-03
1.17000e+02,7.89838e-03
1.18000e+02,7.90077e-03
1.19000e+02,7.89261e-03
1.20000e+02,7.84670e-03
1.21000e+02,7.76918e-03
1.22000e+02,7.66687e-03
1.23000e+02,7.56004e-03
1.24000e+02,7.49337e-03
1.25000e+02,7.46023e-03
1.26000e+02,7.45661e-03
1.27000e+02,7.46415e-03
1.28000e+02,7.45713e-03
1.29000e+02,7.41368e-03
1.30000e+02,7.32282e-03
1.31000e+02,7.22489e-03
1.32000e+02,7.13207e-03
1.33000e+02,7.06456e-03
1.34000e+02,7.02395e-03
1.35000e+02,7.04216e-03
1.36000e+02,7.07970e-03
1.37000e+02,7.09723e-03
1.38000e+02,7.06064e-03
1.39000e+02,7.00159e-03
1.40000e+02,6.96310e-03
1.41000e+02,6.93810e-03
1.42000e+02,6.92149e-03
1.43000e+02,6.92134e-03
1.44000e+02,6.94287e-03
1.45000e+02,6.99799e-03
1.46000e+02,7.05511e-03
1.47000e+02,7.12107e-03
1.48000e+02,7.15264e-03
1.49000e+02,7.13602e-03
1.50000e+02,7.10058e-03
1.51000e+02,7.06577e-03
1.52000e+02,7.06386e-03
1.53000e+02,7.07490e-03
1.54000e+02,7.10258e-03
1.55000e+02,7.12262e-03
1.56000e+02,7.15388e-03
1.57000e+02,7.20329e-03
1.58000e+02,7.31653e-03
1.59000e+02,7.42868e-03
1.60000e+02,7.55388e-03
1.61000e+02,7.63118e-03
1.62000e+02,7.68679e-03
1.63000e+02,7.72382e-03
1.64000e+02,7.79378e-03
1.65000e+02,7.85304e-03
1.66000e+02,7.87259e-03
1.67000e+02,7.88749e-03
1.68000e+02,7.93868e-03
1.69000e+02,8.00741e-03
1.70000e+02,8.04035e-03
1.71000e+02,8.01219e-03
1.72000e+02,7.97161e-03
1.73000e+02,7.95583e-03
1.74000e+02,7.95442e-03
1.75000e+02,7.90167e-03
1.76000e+02,7.77058e-03
1.77000e+02,7.58676e-03
1.78000e+02,7.40087e-03
1.79000e+02,7.24293e-03
1.80000e+02,7.11639e-03
1.81000e+02,7.02833e-03
1.82000e+02,7.00506e-03
1.83000e+02,7.02973e-03
1.84000e+02,7.08692e-03
1.85000e+02,7.14239e-03
1.86000e+02,7.17946e-03
1.87000e+02,7.19323e-03
1.88000e+02,7.16021e-03
