Pixels #,Intensity (a.u.)
0.00000e+00,1.41316e-02
1.00000e+00,1.40548e-02
2.00000e+00,1.40712e-02
3.00000e+00,1.41462e-02
4.00000e+00,1.41893e-02
5.00000e+00,1.41109e-02
6.00000e+00,1.39770e-02
7.00000e+00,1.38136e-02
8.00000e+00,1.37727e-02
9.00000e+00,1.37591e-02
1.00000e+01,1.37574e-02
1.10000e+01,1.36835e-02
1.20000e+01,1.36339e-02
1.30000e+01,1.36257e-02
1.40000e+01,1.36357e-02
1.50000e+01,1.36087e-02
1.60000e+01,1.35385e-02
1.70000e+01,1.34240e-02
1.80000e+01,1.32760e-02
1.90000e+01,1.31659e-02
2.00000e+01,1.31435e-02
2.10000e+01,1.31972e-02
2.20000e+01,1.32240e-02
2.30000e+01,1.31932e-02
2.40000e+01,1.30867e-02
2.50000e+01,1.29795e-02
2.60000e+01,1.29306e-02
2.70000e+01,1.29688e-02
2.80000e+01,1.30645e-02
2.90000e+01,1.30782e-02
3.00000e+01,1.30366e-02
3.10000e+01,1.29319e-02
3.20000e+01,1.27892e-02
3.30000e+01,1.26336e-02
3.40000e+01,1.24502e-02
3.50000e+01,1.23869e-02
3.60000e+01,1.23438e-02
3.70000e+01,1.23475e-02
3.80000e+01,1.23350e-02
3.90000e+01,1.23518e-02
4.00000e+01,1.24236e-02
4.10000e+01,1.24639e-02
4.20000e+01,1.25130e-02
4.30000e+01,1.24978e-02
4.40000e+01,1.24381e-02
4.50000e+01,1.22947e-02
4.60000e+01,1.21318e-02
4.70000e+01,1.20528e-02
4.80000e+01,1.20818e-02
4.90000e+01,1.21501e-02
5.00000e+01,1.21750e-02
5.10000e+01,1.21979e-02
5.20000e+01,1.23002e-02
5.30000e+01,1.24791e-02
5.40000e+01,1.27040e-02
5.50000e+01,1.29022e-02
5.60000e+01,1.30374e-02
5.70000e+01,1.31029e-02
5.80000e+01,1.30583e-02
5.90000e+01,1.29430e-02
6.00000e+01,1.27550e-02
6.10000e+01,1.26137e-02
6.20000e+01,1.25293e-02
6.30000e+01,1.24946e-02
6.40000e+01,1.24762e-02
6.50000e+01,1.24767e-02
6.60000e+01,1.25486e-02
6.70000e+01,1.26207e-02
6.80000e+01,1.26686e-02
6.90000e+01,1.26127e-02
7.00000e+01,1.26134e-02
7.10000e+01,1.26591e-02
7.20000e+01,1.28281e-02
7.30000e+01,1.29687e-02
7.40000e+01,1.30600e-02
7.50000e+01,1.30839e-02
7.60000e+01,1.31433e-02
7.70000e+01,1.32466e-02
7.80000e+01,1.34178e-02
7.90000e+01,1.34990e-02
8.00000e+01,1.35402e-02
8.10000e+01,1.34741e-02
8.20000e+01,1.33315e-02
8.30000e+01,1.31263e-02
8.40000e+01,1.30644e-02
8.50000e+01,1.31458e-02
8.60000e+01,1.33274e-02
8.70000e+01,1.34965e-02
8.80000e+01,1.36516e-02
8.90000e+01,1.37871e-02
9.00000e+01,1.38945e-02
9.10000e+01,1.39751e-02
9.20000e+01,1.40056e-02
9.30000e+01,1.39780e-02
9.40000e+01,1.39289e-02
9.50000e+01,1.39132e-02
9.60000e+01,1.40372e-02
9.70000e+01,1.42250e-02
9.80000e+01,1.44561e-02
9.90000e+01,1.45008e-02
1.00000e+02,1.44434e-02
1.01000e+02,1.43147e-02
1.02000e+02,1.43072e-02
1.03000e+02,1.42789e-02
1.04000e+02,1.42431e-02
1.05000e+02,1.41481e-02
1.06000e+02,1.41418e-02
1.07000e+02,1.41904e-02
1.08000e+02,1.42756e-02
1.09000e+02,1.43771e-02
1.10000e+02,1.43870e-02
1.11000e+02,1.43087e-02
1.12000e+02,1.41307e-02
1.13000e+02,1.39695e-02
1.14000e+02,1.38492e-02
1.15000e+02,1.37855e-02
1.16000e+02,1.37613e-02
1.17000e+02,1.37575e-02
1.18000e+02,1.37373e-02
1.19000e+02,1.36602e-02
1.20000e+02,1.35938e-02
1.21000e+02,1.35530e-02
1.22000e+02,1.35831e-02
1.23000e+02,1.36950e-02
1.24000e+02,1.38168e-02
1.25000e+02,1.39010e-02
1.26000e+02,1.37910e-02
1.27000e+02,1.36512e-02
1.28000e+02,1.34978e-02
1.29000e+02,1.33806e-02
1.30000e+02,1.32085e-02
1.31000e+02,1.29379e-02
1.32000e+02,1.26945e-02
1.33000e+02,1.24249e-02
1.34000e+02,1.22577e-02
1.35000e+02,1.21804e-02
1.36000e+02,1.22742e-02
1.37000e+02,1.24143e-02
1.38000e+02,1.24526e-02
1.39000e+02,1.23507e-02
1.40000e+02,1.22211e-02
1.41000e+02,1.21578e-02
1.42000e+02,1.21825e-02
1.43000e+02,1.21460e-02
1.44000e+02,1.20675e-02
1.45000e+02,1.19533e-02
1.46000e+02,1.19111e-02
1.47000e+02,1.19965e-02
1.48000e+02,1.21614e-02
1.49000e+02,1.24039e-02
1.50000e+02,1.25493e-02
1.51000e+02,1.25901e-02
1.52000e+02,1.25443e-02
1.53000e+02,1.24868e-02
1.54000e+02,1.24351e-02
1.55000e+02,1.24642e-02
1.56000e+02,1.25348e-02
1.57000e+02,1.26021e-02
1.58000e+02,1.26103e-02
1.59000e+02,1.26142e-02
1.60000e+02,1.26885e-02
1.61000e+02,1.28112e-02
1.62000e+02,1.29149e-02
1.63000e+02,1.29715e-02
1.64000e+02,1.30173e-02
1.65000e+02,1.31229e-02
1.66000e+02,1.32495e-02
1.67000e+02,1.33817e-02
1.68000e+02,1.34573e-02
