Pixels #,Intensity (a.u.)
0.00000e+00,1.09679e-02
1.00000e+00,1.09019e-02
2.00000e+00,1.08430e-02
3.00000e+00,1.07682e-02
4.00000e+00,1.06826e-02
5.00000e+00,1.06133e-02
6.00000e+00,1.05576e-02
7.00000e+00,1.05171e-02
8.00000e+00,1.04804e-02
9.00000e+00,1.04384e-02
1.00000e+01,1.03789e-02
1.10000e+01,1.02846e-02
1.20000e+01,1.01879e-02
1.30000e+01,1.01035e-02
1.40000e+01,1.00440e-02
1.50000e+01,1.00110e-02
1.60000e+01,9.95240e-03
1.70000e+01,9.85125e-03
1.80000e+01,9.68161e-03
1.90000e+01,9.49994e-03
2.00000e+01,9.31827e-03
2.10000e+01,9.14538e-03
2.20000e+01,8.99620e-03
2.30000e+01,8.88363e-03
2.40000e+01,8.79075e-03
2.50000e+01,8.69331e-03
2.60000e+01,8.58514e-03
2.70000e+01,8.48456e-03
2.80000e+01,8.38482e-03
2.90000e+01,8.30520e-03
3.00000e+01,8.24381e-03
3.10000e+01,8.21939e-03
3.20000e+01,8.19437e-03
3.30000e+01,8.11797e-03
3.40000e+01,7.98368e-03
3.50000e+01,7.82481e-03
3.60000e+01,7.69449e-03
3.70000e+01,7.59600e-03
3.80000e+01,7.50981e-03
3.90000e+01,7.41369e-03
4.00000e+01,7.28750e-03
4.10000e+01,7.17625e-03
4.20000e+01,7.08595e-03
4.30000e+01,7.00894e-03
4.40000e+01,6.89460e-03
4.50000e+01,6.75415e-03
4.60000e+01,6.61914e-03
4.70000e+01,6.57059e-03
4.80000e+01,6.58674e-03
4.90000e+01,6.62474e-03
5.00000e+01,6.62161e-03
5.10000e+01,6.60966e-03
5.20000e+01,6.60708e-03
5.30000e+01,6.65171e-03
5.40000e+01,6.69542e-03
5.50000e+01,6.70916e-03
5.60000e+01,6.69265e-03
5.70000e+01,6.69265e-03
5.80000e+01,6.70879e-03
5.90000e+01,6.70650e-03
6.00000e+01,6.68723e-03
6.10000e+01,6.66640e-03
6.20000e+01,6.66673e-03
6.30000e+01,6.67354e-03
6.40000e+01,6.66821e-03
6.50000e+01,6.63421e-03
6.60000e+01,6.58331e-03
6.70000e+01,6.52563e-03
6.80000e+01,6.50104e-03
6.90000e+01,6.47073e-03
7.00000e+01,6.46552e-03
7.10000e+01,6.46423e-03
7.20000e+01,6.44194e-03
7.30000e+01,6.38645e-03
7.40000e+01,6.30973e-03
7.50000e+01,6.30570e-03
7.60000e+01,6.35584e-03
7.70000e+01,6.45799e-03
7.80000e+01,6.56388e-03
7.90000e+01,6.67789e-03
8.00000e+01,6.77241e-03
8.10000e+01,6.79533e-03
8.20000e+01,6.74827e-03
8.30000e+01,6.69567e-03
8.40000e+01,6.69764e-03
8.50000e+01,6.74567e-03
8.60000e+01,6.77742e-03
8.70000e+01,6.80240e-03
8.80000e+01,6.83467e-03
8.90000e+01,6.92376e-03
9.00000e+01,6.99530e-03
9.10000e+01,7.02894e-03
9.20000e+01,6.99629e-03
9.30000e+01,6.94723e-03
9.40000e+01,6.92315e-03
9.50000e+01,6.89255e-03
9.60000e+01,6.82378e-03
9.70000e+01,6.70231e-03
9.80000e+01,6.59241e-03
9.90000e+01,6.51590e-03
1.00000e+02,6.49284e-03
1.01000e+02,6.48230e-03
1.02000e+02,6.49505e-03
1.03000e+02,6.50176e-03
1.04000e+02,6.49537e-03
1.05000e+02,6.46941e-03
1.06000e+02,6.39481e-03
1.07000e+02,6.32978e-03
1.08000e+02,6.29439e-03
1.09000e+02,6.32263e-03
1.10000e+02,6.35262e-03
1.11000e+02,6.37282e-03
1.12000e+02,6.40493e-03
1.13000e+02,6.43267e-03
1.14000e+02,6.44582e-03
1.15000e+02,6.45390e-03
1.16000e+02,6.51305e-03
1.17000e+02,6.60229e-03
1.18000e+02,6.64147e-03
1.19000e+02,6.61162e-03
1.20000e+02,6.50957e-03
1.21000e+02,6.39321e-03
1.22000e+02,6.26309e-03
1.23000e+02,6.16494e-03
1.24000e+02,6.11751e-03
1.25000e+02,6.10492e-03
1.26000e+02,6.11568e-03
1.27000e+02,6.11978e-03
1.28000e+02,6.12800e-03
1.29000e+02,6.12021e-03
1.30000e+02,6.09488e-03
1.31000e+02,6.06059e-03
1.32000e+02,5.99017e-03
1.33000e+02,5.90001e-03
1.34000e+02,5.80442e-03
1.35000e+02,5.77359e-03
1.36000e+02,5.78563e-03
1.37000e+02,5.78827e-03
1.38000e+02,5.74639e-03
1.39000e+02,5.68051e-03
1.40000e+02,5.65500e-03
1.41000e+02,5.66855e-03
1.42000e+02,5.70369e-03
1.43000e+02,5.69488e-03
1.44000e+02,5.66256e-03
1.45000e+02,5.63985e-03
1.46000e+02,5.65762e-03
1.47000e+02,5.69877e-03
1.48000e+02,5.74888e-03
1.49000e+02,5.79622e-03
1.50000e+02,5.87681e-03
1.51000e+02,5.91201e-03
1.52000e+02,5.92969e-03
1.53000e+02,5.88380e-03
1.54000e+02,5.85963e-03
1.55000e+02,5.84046e-03
1.56000e+02,5.85573e-03
1.57000e+02,5.89028e-03
1.58000e+02,5.95409e-03
1.59000e+02,6.02616e-03
1.60000e+02,6.12722e-03
1.61000e+02,6.19863e-03
1.62000e+02,6.23041e-03
1.63000e+02,6.25772e-03
1.64000e+02,6.30025e-03
1.65000e+02,6.35297e-03
1.66000e+02,6.33634e-03
1.67000e+02,6.28536e-03
1.68000e+02,6.24263e-03
1.69000e+02,6.22741e-03
1.70000e+02,6.21849e-03
1.71000e+02,6.17690e-03
1.72000e+02,6.15403e-03
1.73000e+02,6.15367e-03
1.74000e+02,6.16057e-03
1.75000e+02,6.13565e-03
1.76000e+02,6.06988e-03
1.77000e+02,5.98837e-03
1.78000e+02,5.90921e-03
1.79000e+02,5.82474e-03
1.80000e+02,5.75088e-03
1.81000e+02,5.67172e-03
1.82000e+02,5.61515e-03
1.83000e+02,5.58842e-03
1.84000e+02,5.61454e-03
1.85000e+02,5.66235e-03
1.86000e+02,5.68920e-03
1.87000e+02,5.70081e-03
1.88000e+02,5.69632e-03
1.89000e+02,5.68286e-03
1.90000e+02,5.62101e-03
1.91000e+02,5.50965e-03
1.92000e+02,5.40505e-03
1.93000e+02,5.32835e-03
1.94000e+02,5.29910e-03
1.95000e+02,5.26280e-03
1.96000e+02,5.20879e-03
1.97000e+02,5.13479e-03
1.98000e+02,5.07670e-03
1.99000e+02,5.03722e-03
2.00000e+02,5.02269e-03
2.01000e+02,5.06459e-03
2.02000e+02,5.13394e-03
2.03000e+02,5.17791e-03
2.04000e+02,5.17606e-03
2.05000e+02,5.14888e-03
2.06000e+02,5.11846e-03
2.07000e+02,5.06482e-03
2.08000e+02,5.00930e-03
2.09000e+02,5.02642e-03
2.10000e+02,5.08279e-03
2.11000e+02,5.15620e-03
2.12000e+02,5.17640e-03
2.13000e+02,5.20557e-03
2.14000e+02,5.23383e-03
2.15000e+02,5.27831e-03
2.16000e+02,5.35502e-03
2.17000e+02,5.43840e-03
2.18000e+02,5.49298e-03
2.19000e+02,5.48671e-03
2.20000e+02,5.47239e-03
2.21000e+02,5.50076e-03
2.22000e+02,5.55808e-03
2.23000e+02,5.60292e-03
2.24000e+02,5.64311e-03
2.25000e+02,5.68944e-03
2.26000e+02,5.72283e-03
2.27000e+02,5.74062e-03
2.28000e+02,5.74458e-03
2.29000e+02,5.79781e-03
2.30000e+02,5.86766e-03
2.31000e+02,5.94442e-03
2.32000e+02,5.96892e-03
2.33000e+02,5.93159e-03
2.34000e+02,5.88483e-03
2.35000e+02,5.83302e-03
2.36000e+02,5.78171e-03
2.37000e+02,5.73944e-03
2.38000e+02,5.70783e-03
2.39000e+02,5.68692e-03
2.40000e+02,5.66171e-03
2.41000e+02,5.62054e-03
2.42000e+02,5.60013e-03
2.43000e+02,5.59087e-03
2.44000e+02,5.60659e-03
2.45000e+02,5.61468e-03
2.46000e+02,5.60859e-03
2.47000e+02,5.58391e-03
2.48000e+02,5.55709e-03
2.49000e+02,5.54279e-03
2.50000e+02,5.54490e-03
2.51000e+02,5.52471e-03
2.52000e+02,5.50502e-03
2.53000e+02,5.48120e-03
2.54000e+02,5.46304e-03
2.55000e+02,5.41288e-03
2.56000e+02,5.35951e-03
2.57000e+02,5.30446e-03
2.58000e+02,5.29592e-03
2.59000e+02,5.31201e-03
2.60000e+02,5.32203e-03
2.61000e+02,5.32441e-03
2.62000e+02,5.34046e-03
2.63000e+02,5.39697e-03
2.64000e+02,5.45392e-03
2.65000e+02,5.50427e-03
2.66000e+02,5.57082e-03
2.67000e+02,5.64031e-03
2.68000e+02,5.73860e-03
2.69000e+02,5.81316e-03
2.70000e+02,5.91670e-03
2.71000e+02,6.00232e-03
2.72000e+02,6.14005e-03
2.73000e+02,6.28922e-03
2.74000e+02,6.41086e-03
2.75000e+02,6.44713e-03
2.76000e+02,6.41580e-03
2.77000e+02,6.39709e-03
2.78000e+02,6.41279e-03
2.79000e+02,6.48491e-03
2.80000e+02,6.59589e-03
2.81000e+02,6.73778e-03
2.82000e+02,6.88115e-03
2.83000e+02,6.97204e-03
2.84000e+02,7.03494e-03
2.85000e+02,7.05943e-03
2.86000e+02,7.12309e-03
2.87000e+02,7.19644e-03
2.88000e+02,7.32281e-03
2.89000e+02,7.45494e-03
2.90000e+02,7.58885e-03
2.91000e+02,7.69247e-03
2.92000e+02,7.74311e-03
2.93000e+02,7.77209e-03
2.94000e+02,7.80759e-03
2.95000e+02,7.86500e-03
2.96000e+02,7.91561e-03
2.97000e+02,7.93926e-03
2.98000e+02,7.90495e-03
2.99000e+02,7.82901e-03
3.00000e+02,7.71156e-03
3.01000e+02,7.63523e-03
3.02000e+02,7.64531e-03
3.03000e+02,7.73189e-03
3.04000e+02,7.78639e-03
3.05000e+02,7.75814e-03
3.06000e+02,7.67066e-03
3.07000e+02,7.57524e-03
3.08000e+02,7.49294e-03
3.09000e+02,7.43124e-03
3.10000e+02,7.36725e-03
3.11000e+02,7.29389e-03
3.12000e+02,7.20528e-03
3.13000e+02,7.13497e-03
3.14000e+02,7.11977e-03
3.15000e+02,7.13679e-03
3.16000e+02,7.12298e-03
3.17000e+02,7.11333e-03
3.18000e+02,7.09810e-03
3.19000e+02,7.14008e-03
3.20000e+02,7.11137e-03
3.21000e+02,7.11421e-03
3.22000e+02,7.14563e-03
3.23000e+02,7.27880e-03
3.24000e+02,7.43157e-03
3.25000e+02,7.56474e-03
3.26000e+02,7.64975e-03
3.27000e+02,7.71216e-03
3.28000e+02,7.75774e-03
3.29000e+02,7.76562e-03
3.30000e+02,7.73643e-03
3.31000e+02,7.69070e-03
3.32000e+02,7.67734e-03
3.33000e+02,7.72027e-03
3.34000e+02,7.76625e-03
3.35000e+02,7.74932e-03
3.36000e+02,7.71380e-03
3.37000e+02,7.73519e-03
3.38000e+02,7.85904e-03
3.39000e+02,8.02891e-03
3.40000e+02,8.19296e-03
3.41000e+02,8.27261e-03
3.42000e+02,8.31270e-03
3.43000e+02,8.31942e-03
3.44000e+02,8.38676e-03
3.45000e+02,8.46929e-03
3.46000e+02,8.58099e-03
3.47000e+02,8.63581e-03
3.48000e+02,8.65781e-03
3.49000e+02,8.58796e-03
3.50000e+02,8.46645e-03
3.51000e+02,8.34335e-03
3.52000e+02,8.27452e-03
3.53000e+02,8.28549e-03
3.54000e+02,8.32186e-03
3.55000e+02,8.33629e-03
3.56000e+02,8.30788e-03
3.57000e+02,8.25298e-03
3.58000e+02,8.23968e-03
3.59000e+02,8.27372e-03
3.60000e+02,8.34956e-03
3.61000e+02,8.35903e-03
3.62000e+02,8.29327e-03
3.63000e+02,8.17304e-03
3.64000e+02,8.05197e-03
3.65000e+02,8.01325e-03
3.66000e+02,8.03178e-03
3.67000e+02,8.09397e-03
3.68000e+02,8.18469e-03
3.69000e+02,8.28039e-03
3.70000e+02,8.37848e-03
3.71000e+02,8.39113e-03
3.72000e+02,8.34141e-03
3.73000e+02,8.25872e-03
3.74000e+02,8.24886e-03
3.75000e+02,8.32029e-03
3.76000e+02,8.45618e-03
3.77000e+02,8.54103e-03
3.78000e+02,8.57213e-03
3.79000e+02,8.51246e-03
3.80000e+02,8.41104e-03
3.81000e+02,8.27149e-03
3.82000e+02,8.14212e-03
3.83000e+02,8.03711e-03
3.84000e+02,7.94976e-03
3.85000e+02,7.90627e-03
3.86000e+02,7.89648e-03
3.87000e+02,7.98327e-03
3.88000e+02,8.10145e-03
3.89000e+02,8.22165e-03
3.90000e+02,8.29385e-03
3.91000e+02,8.34021e-03
3.92000e+02,8.35764e-03
3.93000e+02,8.31911e-03
3.94000e+02,8.25287e-03
3.95000e+02,8.21517e-03
3.96000e+02,8.26716e-03
3.97000e+02,8.37261e-03
3.98000e+02,8.48409e-03
3.99000e+02,8.56252e-03
4.00000e+02,8.63902e-03
4.01000e+02,8.70151e-03
4.02000e+02,8.79687e-03
4.03000e+02,8.89280e-03
4.04000e+02,9.01148e-03
4.05000e+02,9.08089e-03
4.06000e+02,9.12165e-03
4.07000e+02,9.20250e-03
4.08000e+02,9.29992e-03
4.09000e+02,9.39586e-03
4.10000e+02,9.38088e-03
4.11000e+02,9.36595e-03
4.12000e+02,9.31114e-03
4.13000e+02,9.23987e-03
4.14000e+02,9.10691e-03
4.15000e+02,8.99574e-03
4.16000e+02,8.93465e-03
4.17000e+02,8.92583e-03
4.18000e+02,8.92694e-03
4.19000e+02,8.94987e-03
4.20000e+02,9.00156e-03
4.21000e+02,9.05684e-03
4.22000e+02,9.11530e-03
4.23000e+02,9.15781e-03
4.24000e+02,9.18227e-03
4.25000e+02,9.18709e-03
4.26000e+02,9.25661e-03
4.27000e+02,9.35098e-03
4.28000e+02,9.44763e-03
4.29000e+02,9.49349e-03
4.30000e+02,9.50854e-03
4.31000e+02,9.47055e-03
4.32000e+02,9.40037e-03
4.33000e+02,9.31918e-03
4.34000e+02,9.27519e-03
4.35000e+02,9.20946e-03
4.36000e+02,9.11793e-03
4.37000e+02,9.00623e-03
4.38000e+02,8.96010e-03
4.39000e+02,8.97233e-03
4.40000e+02,9.07585e-03
4.41000e+02,9.21558e-03
4.42000e+02,9.33437e-03
4.43000e+02,9.40397e-03
4.44000e+02,9.38406e-03
4.45000e+02,9.31303e-03
4.46000e+02,9.26627e-03
4.47000e+02,9.28920e-03
4.48000e+02,9.34770e-03
4.49000e+02,9.38708e-03
4.50000e+02,9.35345e-03
4.51000e+02,9.28343e-03
4.52000e+02,9.21467e-03
4.53000e+02,9.18745e-03
4.54000e+02,9.18505e-03
4.55000e+02,9.20474e-03
4.56000e+02,9.19488e-03
4.57000e+02,9.15880e-03
4.58000e+02,9.12534e-03
4.59000e+02,9.10949e-03
4.60000e+02,9.12817e-03
4.61000e+02,9.12277e-03
4.62000e+02,9.12872e-03
4.63000e+02,9.14925e-03
4.64000e+02,9.20986e-03
4.65000e+02,9.23008e-03
4.66000e+02,9.19455e-03
4.67000e+02,9.12382e-03
4.68000e+02,9.09189e-03
4.69000e+02,9.08446e-03
4.70000e+02,9.07989e-03
4.71000e+02,9.05591e-03
4.72000e+02,9.05681e-03
4.73000e+02,9.13158e-03
4.74000e+02,9.28334e-03
4.75000e+02,9.49197e-03
4.76000e+02,9.62052e-03
4.77000e+02,9.66674e-03
4.78000e+02,9.55989e-03
4.79000e+02,9.43204e-03
4.80000e+02,9.37251e-03
4.81000e+02,9.44615e-03
4.82000e+02,9.59671e-03
4.83000e+02,9.73274e-03
4.84000e+02,9.82526e-03
4.85000e+02,9.88120e-03
4.86000e+02,9.91212e-03
4.87000e+02,9.91924e-03
4.88000e+02,9.91731e-03
4.89000e+02,9.88223e-03
4.90000e+02,9.85570e-03
4.91000e+02,9.79222e-03
4.92000e+02,9.80222e-03
4.93000e+02,9.77665e-03
4.94000e+02,9.78804e-03
4.95000e+02,9.76581e-03
4.96000e+02,9.82574e-03
4.97000e+02,9.89630e-03
4.98000e+02,9.99060e-03
4.99000e+02,1.00616e-02
5.00000e+02,1.01220e-02
5.01000e+02,1.01745e-02
5.02000e+02,1.02593e-02
5.03000e+02,1.03472e-02
5.04000e+02,1.04322e-02
5.05000e+02,1.04688e-02
5.06000e+02,1.05149e-02
5.07000e+02,1.06012e-02
5.08000e+02,1.07747e-02
5.09000e+02,1.10307e-02
5.10000e+02,1.12868e-02
5.11000e+02,1.15223e-02
5.12000e+02,1.17448e-02
5.13000e+02,1.19560e-02
5.14000e+02,1.20980e-02
5.15000e+02,1.21455e-02
5.16000e+02,1.21554e-02
5.17000e+02,1.21392e-02
5.18000e+02,1.21245e-02
5.19000e+02,1.20686e-02
5.20000e+02,1.20222e-02
5.21000e+02,1.19520e-02
5.22000e+02,1.19412e-02
5.23000e+02,1.19649e-02
5.24000e+02,1.20179e-02
5.25000e+02,1.19846e-02
5.26000e+02,1.19519e-02
5.27000e+02,1.19531e-02
5.28000e+02,1.20475e-02
5.29000e+02,1.21399e-02
5.30000e+02,1.22494e-02
5.31000e+02,1.23611e-02
5.32000e+02,1.25105e-02
5.33000e+02,1.26724e-02
5.34000e+02,1.28315e-02
5.35000e+02,1.30142e-02
5.36000e+02,1.32874e-02
5.37000e+02,1.35832e-02
5.38000e+02,1.38404e-02
5.39000e+02,1.39904e-02
5.40000e+02,1.40927e-02
5.41000e+02,1.41826e-02
5.42000e+02,1.42995e-02
5.43000e+02,1.44479e-02
5.44000e+02,1.46273e-02
5.45000e+02,1.47905e-02
5.46000e+02,1.48854e-02
5.47000e+02,1.49436e-02
5.48000e+02,1.49421e-02
5.49000e+02,1.48996e-02
5.50000e+02,1.47779e-02
5.51000e+02,1.45926e-02
5.52000e+02,1.44325e-02
5.53000e+02,1.43090e-02
5.54000e+02,1.43385e-02
5.55000e+02,1.44487e-02
5.56000e+02,1.46376e-02
5.57000e+02,1.47867e-02
5.58000e+02,1.48817e-02
5.59000e+02,1.49229e-02
5.60000e+02,1.49612e-02
5.61000e+02,1.50747e-02
5.62000e+02,1.53122e-02
5.63000e+02,1.56046e-02
5.64000e+02,1.58151e-02
5.65000e+02,1.58258e-02
5.66000e+02,1.57419e-02
5.67000e+02,1.56828e-02
5.68000e+02,1.56828e-02
5.69000e+02,1.57119e-02
5.70000e+02,1.56844e-02
5.71000e+02,1.56233e-02
5.72000e+02,1.54875e-02
5.73000e+02,1.53502e-02
5.74000e+02,1.52272e-02
5.75000e+02,1.51504e-02
5.76000e+02,1.51883e-02
5.77000e+02,1.53378e-02
5.78000e+02,1.55685e-02
5.79000e+02,1.57550e-02
5.80000e+02,1.58835e-02
5.81000e+02,1.59681e-02
5.82000e+02,1.60953e-02
5.83000e+02,1.61885e-02
5.84000e+02,1.62760e-02
5.85000e+02,1.62807e-02
5.86000e+02,1.62913e-02
5.87000e+02,1.62805e-02
5.88000e+02,1.62823e-02
5.89000e+02,1.62742e-02
5.90000e+02,1.62554e-02
5.91000e+02,1.62417e-02
5.92000e+02,1.62775e-02
5.93000e+02,1.63471e-02
5.94000e+02,1.64459e-02
5.95000e+02,1.65363e-02
5.96000e+02,1.66501e-02
5.97000e+02,1.67482e-02
5.98000e+02,1.67950e-02
5.99000e+02,1.67219e-02
6.00000e+02,1.65774e-02
6.01000e+02,1.63899e-02
6.02000e+02,1.62742e-02
6.03000e+02,1.61595e-02
6.04000e+02,1.60801e-02
6.05000e+02,1.60028e-02
6.06000e+02,1.59765e-02
6.07000e+02,1.59822e-02
6.08000e+02,1.60018e-02
6.09000e+02,1.59877e-02
6.10000e+02,1.59531e-02
6.11000e+02,1.59043e-02
6.12000e+02,1.59267e-02
