Pixels #,Intensity (a.u.)
0.00000e+00,5.53191e-03
1.00000e+00,5.72481e-03
2.00000e+00,5.95292e-03
3.00000e+00,6.18831e-03
4.00000e+00,6.39742e-03
5.00000e+00,6.57786e-03
6.00000e+00,6.71224e-03
7.00000e+00,6.84509e-03
8.00000e+00,6.97733e-03
9.00000e+00,7.15166e-03
1.00000e+01,7.30995e-03
1.10000e+01,7.47459e-03
1.20000e+01,7.63046e-03
1.30000e+01,7.85800e-03
1.40000e+01,8.10226e-03
1.50000e+01,8.36516e-03
1.60000e+01,8.54420e-03
1.70000e+01,8.64467e-03
1.80000e+01,8.66319e-03
1.90000e+01,8.66866e-03
2.00000e+01,8.69674e-03
2.10000e+01,8.76582e-03
2.20000e+01,8.86538e-03
2.30000e+01,8.97694e-03
2.40000e+01,9.09370e-03
2.50000e+01,9.19889e-03
2.60000e+01,9.30692e-03
2.70000e+01,9.42073e-03
2.80000e+01,9.56214e-03
2.90000e+01,9.72869e-03
3.00000e+01,9.94247e-03
3.10000e+01,1.01839e-02
3.20000e+01,1.04254e-02
3.30000e+01,1.05953e-02
3.40000e+01,1.06803e-02
3.50000e+01,1.07372e-02
3.60000e+01,1.07956e-02
3.70000e+01,1.09287e-02
3.80000e+01,1.10887e-02
3.90000e+01,1.12809e-02
4.00000e+01,1.14352e-02
4.10000e+01,1.15889e-02
4.20000e+01,1.17491e-02
4.30000e+01,1.19005e-02
4.40000e+01,1.20325e-02
4.50000e+01,1.21457e-02
4.60000e+01,1.22808e-02
4.70000e+01,1.24038e-02
4.80000e+01,1.24955e-02
4.90000e+01,1.25560e-02
5.00000e+01,1.25638e-02
5.10000e+01,1.25812e-02
5.20000e+01,1.25689e-02
5.30000e+01,1.25807e-02
5.40000e+01,1.25222e-02
5.50000e+01,1.24428e-02
5.60000e+01,1.23586e-02
5.70000e+01,1.23682e-02
5.80000e+01,1.24696e-02
5.90000e+01,1.26279e-02
6.00000e+01,1.27840e-02
6.10000e+01,1.29030e-02
6.20000e+01,1.29385e-02
6.30000e+01,1.29411e-02
6.40000e+01,1.29135e-02
6.50000e+01,1.29212e-02
6.60000e+01,1.29033e-02
6.70000e+01,1.29040e-02
6.80000e+01,1.28949e-02
6.90000e+01,1.28869e-02
7.00000e+01,1.29232e-02
7.10000e+01,1.30117e-02
7.20000e+01,1.31473e-02
7.30000e+01,1.32498e-02
7.40000e+01,1.33077e-02
7.50000e+01,1.33311e-02
7.60000e+01,1.33015e-02
7.70000e+01,1.32403e-02
7.80000e+01,1.31395e-02
7.90000e+01,1.30956e-02
8.00000e+01,1.30190e-02
8.10000e+01,1.28680e-02
8.20000e+01,1.25999e-02
8.30000e+01,1.23433e-02
8.40000e+01,1.21508e-02
8.50000e+01,1.20652e-02
8.60000e+01,1.20435e-02
8.70000e+01,1.21207e-02
8.80000e+01,1.22431e-02
8.90000e+01,1.23907e-02
9.00000e+01,1.24769e-02
9.10000e+01,1.25023e-02
9.20000e+01,1.24260e-02
9.30000e+01,1.22697e-02
9.40000e+01,1.20879e-02
9.50000e+01,1.19544e-02
9.60000e+01,1.19001e-02
9.70000e+01,1.19513e-02
9.80000e+01,1.20513e-02
9.90000e+01,1.21937e-02
1.00000e+02,1.23028e-02
1.01000e+02,1.24237e-02
1.02000e+02,1.24977e-02
1.03000e+02,1.25674e-02
1.04000e+02,1.25813e-02
1.05000e+02,1.26178e-02
1.06000e+02,1.26487e-02
1.07000e+02,1.27339e-02
1.08000e+02,1.28432e-02
1.09000e+02,1.29648e-02
1.10000e+02,1.30488e-02
1.11000e+02,1.30598e-02
1.12000e+02,1.30414e-02
1.13000e+02,1.30097e-02
1.14000e+02,1.30183e-02
1.15000e+02,1.30190e-02
1.16000e+02,1.30413e-02
1.17000e+02,1.30633e-02
1.18000e+02,1.31094e-02
1.19000e+02,1.31381e-02
1.20000e+02,1.31616e-02
1.21000e+02,1.31431e-02
1.22000e+02,1.31049e-02
1.23000e+02,1.30492e-02
1.24000e+02,1.30314e-02
1.25000e+02,1.30904e-02
1.26000e+02,1.32011e-02
1.27000e+02,1.33917e-02
1.28000e+02,1.35637e-02
1.29000e+02,1.37136e-02
1.30000e+02,1.37534e-02
1.31000e+02,1.37378e-02
1.32000e+02,1.36621e-02
1.33000e+02,1.36197e-02
1.34000e+02,1.36036e-02
1.35000e+02,1.36325e-02
1.36000e+02,1.36595e-02
1.37000e+02,1.37100e-02
1.38000e+02,1.37804e-02
1.39000e+02,1.38422e-02
1.40000e+02,1.39260e-02
1.41000e+02,1.40725e-02
1.42000e+02,1.42710e-02
1.43000e+02,1.44477e-02
1.44000e+02,1.45268e-02
1.45000e+02,1.45611e-02
1.46000e+02,1.46346e-02
1.47000e+02,1.47656e-02
1.48000e+02,1.49267e-02
1.49000e+02,1.50174e-02
1.50000e+02,1.50444e-02
1.51000e+02,1.49835e-02
1.52000e+02,1.48906e-02
1.53000e+02,1.48365e-02
1.54000e+02,1.48176e-02
1.55000e+02,1.48864e-02
1.56000e+02,1.49753e-02
1.57000e+02,1.51207e-02
1.58000e+02,1.52749e-02
1.59000e+02,1.54266e-02
1.60000e+02,1.56292e-02
1.61000e+02,1.58207e-02
1.62000e+02,1.59896e-02
1.63000e+02,1.61100e-02
1.64000e+02,1.62278e-02
1.65000e+02,1.63588e-02
1.66000e+02,1.64551e-02
1.67000e+02,1.65680e-02
1.68000e+02,1.67138e-02
1.69000e+02,1.68768e-02
1.70000e+02,1.69750e-02
1.71000e+02,1.69718e-02
1.72000e+02,1.69707e-02
1.73000e+02,1.71056e-02
1.74000e+02,1.73930e-02
1.75000e+02,1.77474e-02
1.76000e+02,1.80162e-02
1.77000e+02,1.82303e-02
1.78000e+02,1.83307e-02
1.79000e+02,1.83789e-02
1.80000e+02,1.83278e-02
1.81000e+02,1.82930e-02
1.82000e+02,1.82897e-02
1.83000e+02,1.83474e-02
1.84000e+02,1.84506e-02
1.85000e+02,1.85952e-02
1.86000e+02,1.87252e-02
1.87000e+02,1.88203e-02
1.88000e+02,1.88402e-02
1.89000e+02,1.88866e-02
1.90000e+02,1.88949e-02
1.91000e+02,1.88663e-02
1.92000e+02,1.87530e-02
1.93000e+02,1.86579e-02
1.94000e+02,1.86260e-02
1.95000e+02,1.86143e-02
1.96000e+02,1.85461e-02
1.97000e+02,1.83990e-02
1.98000e+02,1.82234e-02
1.99000e+02,1.80904e-02
2.00000e+02,1.80171e-02
2.01000e+02,1.80272e-02
2.02000e+02,1.81235e-02
2.03000e+02,1.82528e-02
2.04000e+02,1.83298e-02
2.05000e+02,1.83196e-02
2.06000e+02,1.82798e-02
2.07000e+02,1.82584e-02
2.08000e+02,1.82622e-02
2.09000e+02,1.82878e-02
2.10000e+02,1.83078e-02
2.11000e+02,1.83073e-02
2.12000e+02,1.82346e-02
2.13000e+02,1.81863e-02
2.14000e+02,1.81404e-02
2.15000e+02,1.81714e-02
2.16000e+02,1.81886e-02
2.17000e+02,1.82220e-02
2.18000e+02,1.81854e-02
2.19000e+02,1.80926e-02
2.20000e+02,1.79937e-02
2.21000e+02,1.79536e-02
2.22000e+02,1.80218e-02
2.23000e+02,1.81208e-02
2.24000e+02,1.81926e-02
2.25000e+02,1.82148e-02
2.26000e+02,1.81877e-02
2.27000e+02,1.81320e-02
2.28000e+02,1.80082e-02
2.29000e+02,1.78880e-02
2.30000e+02,1.77597e-02
2.31000e+02,1.76597e-02
2.32000e+02,1.75182e-02
2.33000e+02,1.73579e-02
2.34000e+02,1.72033e-02
2.35000e+02,1.70986e-02
2.36000e+02,1.70576e-02
2.37000e+02,1.70203e-02
2.38000e+02,1.69492e-02
2.39000e+02,1.68564e-02
2.40000e+02,1.67743e-02
2.41000e+02,1.67359e-02
2.42000e+02,1.67468e-02
2.43000e+02,1.68740e-02
2.44000e+02,1.70179e-02
2.45000e+02,1.71607e-02
2.46000e+02,1.71426e-02
2.47000e+02,1.70227e-02
2.48000e+02,1.68313e-02
2.49000e+02,1.66562e-02
2.50000e+02,1.65507e-02
2.51000e+02,1.64263e-02
2.52000e+02,1.62909e-02
2.53000e+02,1.61686e-02
2.54000e+02,1.60995e-02
2.55000e+02,1.60473e-02
2.56000e+02,1.59318e-02
2.57000e+02,1.57327e-02
2.58000e+02,1.55243e-02
2.59000e+02,1.53395e-02
2.60000e+02,1.52579e-02
2.61000e+02,1.52914e-02
2.62000e+02,1.54126e-02
2.63000e+02,1.54917e-02
2.64000e+02,1.53988e-02
2.65000e+02,1.51702e-02
2.66000e+02,1.49132e-02
2.67000e+02,1.47097e-02
2.68000e+02,1.45788e-02
2.69000e+02,1.44943e-02
2.70000e+02,1.44293e-02
2.71000e+02,1.43723e-02
2.72000e+02,1.43236e-02
2.73000e+02,1.42969e-02
2.74000e+02,1.42840e-02
2.75000e+02,1.42241e-02
2.76000e+02,1.41062e-02
2.77000e+02,1.39479e-02
2.78000e+02,1.38182e-02
2.79000e+02,1.37836e-02
2.80000e+02,1.37811e-02
2.81000e+02,1.38182e-02
2.82000e+02,1.38292e-02
2.83000e+02,1.38564e-02
2.84000e+02,1.39132e-02
2.85000e+02,1.39456e-02
2.86000e+02,1.39942e-02
2.87000e+02,1.40550e-02
2.88000e+02,1.41881e-02
2.89000e+02,1.43374e-02
2.90000e+02,1.44208e-02
2.91000e+02,1.44793e-02
2.92000e+02,1.45077e-02
2.93000e+02,1.45830e-02
2.94000e+02,1.46624e-02
2.95000e+02,1.48048e-02
2.96000e+02,1.49086e-02
2.97000e+02,1.49855e-02
2.98000e+02,1.49807e-02
2.99000e+02,1.49342e-02
3.00000e+02,1.47916e-02
3.01000e+02,1.45978e-02
3.02000e+02,1.44045e-02
3.03000e+02,1.42820e-02
3.04000e+02,1.41295e-02
3.05000e+02,1.39864e-02
3.06000e+02,1.38195e-02
3.07000e+02,1.37156e-02
3.08000e+02,1.36112e-02
3.09000e+02,1.35081e-02
3.10000e+02,1.34125e-02
3.11000e+02,1.32833e-02
3.12000e+02,1.31653e-02
3.13000e+02,1.30335e-02
3.14000e+02,1.29508e-02
3.15000e+02,1.28460e-02
3.16000e+02,1.27055e-02
3.17000e+02,1.25797e-02
3.18000e+02,1.24913e-02
3.19000e+02,1.24261e-02
3.20000e+02,1.23530e-02
3.21000e+02,1.23506e-02
3.22000e+02,1.23841e-02
3.23000e+02,1.25440e-02
3.24000e+02,1.26531e-02
3.25000e+02,1.27076e-02
3.26000e+02,1.26957e-02
3.27000e+02,1.26709e-02
3.28000e+02,1.26723e-02
3.29000e+02,1.26954e-02
3.30000e+02,1.26755e-02
3.31000e+02,1.25969e-02
3.32000e+02,1.25024e-02
3.33000e+02,1.24363e-02
3.34000e+02,1.23053e-02
3.35000e+02,1.21269e-02
3.36000e+02,1.19676e-02
3.37000e+02,1.19655e-02
3.38000e+02,1.21070e-02
3.39000e+02,1.22736e-02
3.40000e+02,1.23776e-02
3.41000e+02,1.23400e-02
3.42000e+02,1.22418e-02
3.43000e+02,1.21642e-02
3.44000e+02,1.21548e-02
3.45000e+02,1.21733e-02
3.46000e+02,1.22132e-02
3.47000e+02,1.22551e-02
3.48000e+02,1.23252e-02
3.49000e+02,1.23223e-02
3.50000e+02,1.22451e-02
3.51000e+02,1.21112e-02
3.52000e+02,1.19959e-02
3.53000e+02,1.19718e-02
3.54000e+02,1.19780e-02
3.55000e+02,1.19701e-02
3.56000e+02,1.18493e-02
3.57000e+02,1.16710e-02
3.58000e+02,1.14747e-02
3.59000e+02,1.12884e-02
3.60000e+02,1.11674e-02
3.61000e+02,1.10381e-02
3.62000e+02,1.09339e-02
3.63000e+02,1.08432e-02
3.64000e+02,1.07643e-02
3.65000e+02,1.06986e-02
3.66000e+02,1.06332e-02
3.67000e+02,1.05842e-02
3.68000e+02,1.05866e-02
3.69000e+02,1.06334e-02
3.70000e+02,1.06922e-02
3.71000e+02,1.06641e-02
3.72000e+02,1.04651e-02
3.73000e+02,1.01955e-02
3.74000e+02,9.99859e-03
3.75000e+02,9.86758e-03
3.76000e+02,9.82054e-03
3.77000e+02,9.69683e-03
3.78000e+02,9.52332e-03
3.79000e+02,9.26665e-03
3.80000e+02,9.02481e-03
3.81000e+02,8.86097e-03
3.82000e+02,8.73494e-03
3.83000e+02,8.64431e-03
3.84000e+02,8.51002e-03
3.85000e+02,8.37427e-03
3.86000e+02,8.20792e-03
3.87000e+02,8.16557e-03
3.88000e+02,8.16259e-03
3.89000e+02,8.18864e-03
3.90000e+02,8.20309e-03
3.91000e+02,8.24172e-03
3.92000e+02,8.32576e-03
3.93000e+02,8.37511e-03
3.94000e+02,8.43010e-03
3.95000e+02,8.47607e-03
3.96000e+02,8.54969e-03
3.97000e+02,8.58105e-03
3.98000e+02,8.56418e-03
3.99000e+02,8.49330e-03
4.00000e+02,8.44386e-03
4.01000e+02,8.38233e-03
4.02000e+02,8.36511e-03
4.03000e+02,8.33047e-03
4.04000e+02,8.29784e-03
4.05000e+02,8.19984e-03
4.06000e+02,8.12036e-03
4.07000e+02,8.12001e-03
4.08000e+02,8.15852e-03
4.09000e+02,8.20590e-03
4.10000e+02,8.22655e-03
4.11000e+02,8.27978e-03
4.12000e+02,8.31748e-03
4.13000e+02,8.37805e-03
4.14000e+02,8.32402e-03
4.15000e+02,8.29601e-03
4.16000e+02,8.28123e-03
4.17000e+02,8.30322e-03
4.18000e+02,8.28956e-03
4.19000e+02,8.26203e-03
4.20000e+02,8.22873e-03
4.21000e+02,8.22465e-03
4.22000e+02,8.24065e-03
4.23000e+02,8.27208e-03
4.24000e+02,8.28257e-03
4.25000e+02,8.32141e-03
4.26000e+02,8.40209e-03
4.27000e+02,8.53721e-03
4.28000e+02,8.63617e-03
4.29000e+02,8.64348e-03
4.30000e+02,8.57041e-03
4.31000e+02,8.46566e-03
4.32000e+02,8.37655e-03
4.33000e+02,8.31050e-03
4.34000e+02,8.22934e-03
4.35000e+02,8.05953e-03
4.36000e+02,7.85395e-03
4.37000e+02,7.62094e-03
4.38000e+02,7.44869e-03
4.39000e+02,7.36048e-03
