Pixels #,Intensity (a.u.)
0.00000e+00,8.64627e-03
1.00000e+00,8.61983e-03
2.00000e+00,8.58511e-03
3.00000e+00,8.53781e-03
4.00000e+00,8.47488e-03
5.00000e+00,8.41029e-03
6.00000e+00,8.32209e-03
7.00000e+00,8.22228e-03
8.00000e+00,8.12747e-03
9.00000e+00,8.05572e-03
1.00000e+01,8.00342e-03
1.10000e+01,7.94382e-03
1.20000e+01,7.90786e-03
1.30000e+01,7.88287e-03
1.40000e+01,7.87947e-03
1.50000e+01,7.87274e-03
1.60000e+01,7.83974e-03
1.70000e+01,7.76095e-03
1.80000e+01,7.63610e-03
1.90000e+01,7.50068e-03
2.00000e+01,7.36525e-03
2.10000e+01,7.23316e-03
2.20000e+01,7.11919e-03
2.30000e+01,7.02909e-03
2.40000e+01,6.96185e-03
2.50000e+01,6.90386e-03
2.60000e+01,6.84374e-03
2.70000e+01,6.77196e-03
2.80000e+01,6.69001e-03
2.90000e+01,6.63358e-03
3.00000e+01,6.61369e-03
3.10000e+01,6.62473e-03
3.20000e+01,6.62118e-03
3.30000e+01,6.57214e-03
3.40000e+01,6.47239e-03
3.50000e+01,6.36667e-03
3.60000e+01,6.27987e-03
3.70000e+01,6.22318e-03
3.80000e+01,6.17984e-03
3.90000e+01,6.15526e-03
4.00000e+01,6.12921e-03
4.10000e+01,6.09506e-03
4.20000e+01,6.03488e-03
4.30000e+01,5.95230e-03
4.40000e+01,5.83196e-03
4.50000e+01,5.71148e-03
4.60000e+01,5.60581e-03
4.70000e+01,5.57425e-03
4.80000e+01,5.57203e-03
4.90000e+01,5.59935e-03
5.00000e+01,5.59646e-03
5.10000e+01,5.60987e-03
5.20000e+01,5.62343e-03
5.30000e+01,5.70379e-03
5.40000e+01,5.79884e-03
5.50000e+01,5.86147e-03
5.60000e+01,5.89571e-03
5.70000e+01,5.93093e-03
5.80000e+01,5.98518e-03
5.90000e+01,6.00110e-03
6.00000e+01,5.98831e-03
6.10000e+01,5.95824e-03
6.20000e+01,5.93678e-03
6.30000e+01,5.91406e-03
6.40000e+01,5.88820e-03
6.50000e+01,5.87662e-03
6.60000e+01,5.85264e-03
6.70000e+01,5.81818e-03
6.80000e+01,5.79120e-03
6.90000e+01,5.75406e-03
7.00000e+01,5.72516e-03
7.10000e+01,5.69246e-03
7.20000e+01,5.69820e-03
7.30000e+01,5.68481e-03
7.40000e+01,5.62794e-03
7.50000e+01,5.57642e-03
7.60000e+01,5.55369e-03
7.70000e+01,5.57324e-03
7.80000e+01,5.60379e-03
7.90000e+01,5.65636e-03
8.00000e+01,5.71623e-03
8.10000e+01,5.72354e-03
8.20000e+01,5.65976e-03
8.30000e+01,5.55578e-03
8.40000e+01,5.46689e-03
8.50000e+01,5.41556e-03
8.60000e+01,5.40311e-03
8.70000e+01,5.43070e-03
8.80000e+01,5.46722e-03
8.90000e+01,5.55297e-03
9.00000e+01,5.60353e-03
9.10000e+01,5.63412e-03
9.20000e+01,5.58159e-03
9.30000e+01,5.53699e-03
9.40000e+01,5.50245e-03
9.50000e+01,5.48473e-03
9.60000e+01,5.44370e-03
9.70000e+01,5.41275e-03
9.80000e+01,5.42198e-03
9.90000e+01,5.44569e-03
1.00000e+02,5.47308e-03
1.01000e+02,5.46303e-03
1.02000e+02,5.46440e-03
1.03000e+02,5.43779e-03
1.04000e+02,5.39282e-03
1.05000e+02,5.30862e-03
1.06000e+02,5.20949e-03
1.07000e+02,5.12658e-03
1.08000e+02,5.08872e-03
1.09000e+02,5.11285e-03
1.10000e+02,5.15955e-03
1.11000e+02,5.20297e-03
1.12000e+02,5.25630e-03
1.13000e+02,5.28935e-03
1.14000e+02,5.31621e-03
1.15000e+02,5.30004e-03
1.16000e+02,5.30902e-03
1.17000e+02,5.33404e-03
1.18000e+02,5.37567e-03
1.19000e+02,5.38481e-03
1.20000e+02,5.34579e-03
1.21000e+02,5.27362e-03
