Pixels #,Intensity (a.u.)
0.00000e+00,1.07357e-02
1.00000e+00,1.06503e-02
2.00000e+00,1.06677e-02
3.00000e+00,1.07444e-02
4.00000e+00,1.07573e-02
5.00000e+00,1.06463e-02
6.00000e+00,1.04818e-02
7.00000e+00,1.03269e-02
8.00000e+00,1.02754e-02
9.00000e+00,1.02483e-02
1.00000e+01,1.02518e-02
1.10000e+01,1.02125e-02
1.20000e+01,1.02059e-02
1.30000e+01,1.02216e-02
1.40000e+01,1.02710e-02
1.50000e+01,1.02679e-02
1.60000e+01,1.01905e-02
1.70000e+01,1.00222e-02
1.80000e+01,9.85326e-03
1.90000e+01,9.71855e-03
2.00000e+01,9.68168e-03
2.10000e+01,9.69540e-03
2.20000e+01,9.65752e-03
2.30000e+01,9.55581e-03
2.40000e+01,9.38782e-03
2.50000e+01,9.21889e-03
2.60000e+01,9.09673e-03
2.70000e+01,9.05055e-03
2.80000e+01,9.07557e-03
2.90000e+01,9.01897e-03
3.00000e+01,8.90669e-03
3.10000e+01,8.75767e-03
3.20000e+01,8.59945e-03
3.30000e+01,8.43815e-03
3.40000e+01,8.26922e-03
3.50000e+01,8.15660e-03
3.60000e+01,8.06135e-03
3.70000e+01,8.00877e-03
3.80000e+01,7.90552e-03
3.90000e+01,7.81312e-03
4.00000e+01,7.75704e-03
4.10000e+01,7.69713e-03
4.20000e+01,7.67362e-03
4.30000e+01,7.63746e-03
4.40000e+01,7.56512e-03
4.50000e+01,7.41829e-03
4.60000e+01,7.24936e-03
4.70000e+01,7.16768e-03
4.80000e+01,7.22938e-03
4.90000e+01,7.31431e-03
5.00000e+01,7.38305e-03
5.10000e+01,7.42477e-03
5.20000e+01,7.54644e-03
5.30000e+01,7.71225e-03
5.40000e+01,7.91475e-03
5.50000e+01,8.05368e-03
5.60000e+01,8.15168e-03
5.70000e+01,8.20211e-03
5.80000e+01,8.17882e-03
5.90000e+01,8.12909e-03
6.00000e+01,8.07066e-03
6.10000e+01,7.99782e-03
6.20000e+01,7.92893e-03
6.30000e+01,7.90067e-03
6.40000e+01,7.95722e-03
6.50000e+01,7.98225e-03
6.60000e+01,7.99981e-03
6.70000e+01,7.98087e-03
6.80000e+01,7.98987e-03
6.90000e+01,7.98006e-03
7.00000e+01,7.99241e-03
7.10000e+01,8.05861e-03
7.20000e+01,8.21842e-03
7.30000e+01,8.35891e-03
7.40000e+01,8.45181e-03
7.50000e+01,8.49250e-03
7.60000e+01,8.57007e-03
7.70000e+01,8.66495e-03
7.80000e+01,8.79007e-03
7.90000e+01,8.77773e-03
8.00000e+01,8.74213e-03
8.10000e+01,8.67261e-03
8.20000e+01,8.60487e-03
8.30000e+01,8.46451e-03
8.40000e+01,8.40518e-03
8.50000e+01,8.42140e-03
