Pixels #,Intensity (a.u.)
0.00000e+00,9.08683e-03
1.00000e+00,9.01601e-03
2.00000e+00,8.94187e-03
3.00000e+00,8.86765e-03
4.00000e+00,8.78085e-03
5.00000e+00,8.69380e-03
6.00000e+00,8.60186e-03
7.00000e+00,8.52916e-03
8.00000e+00,8.49352e-03
9.00000e+00,8.48666e-03
1.00000e+01,8.50176e-03
1.10000e+01,8.49029e-03
1.20000e+01,8.48503e-03
1.30000e+01,8.46386e-03
1.40000e+01,8.46452e-03
1.50000e+01,8.45409e-03
1.60000e+01,8.41549e-03
1.70000e+01,8.30300e-03
1.80000e+01,8.15606e-03
1.90000e+01,8.00913e-03
2.00000e+01,7.87592e-03
2.10000e+01,7.76222e-03
2.20000e+01,7.67277e-03
2.30000e+01,7.58539e-03
2.40000e+01,7.48927e-03
2.50000e+01,7.36686e-03
2.60000e+01,7.24206e-03
2.70000e+01,7.11450e-03
2.80000e+01,6.99570e-03
2.90000e+01,6.89208e-03
3.00000e+01,6.81994e-03
3.10000e+01,6.77781e-03
3.20000e+01,6.73818e-03
3.30000e+01,6.65619e-03
3.40000e+01,6.54423e-03
3.50000e+01,6.43562e-03
3.60000e+01,6.34459e-03
3.70000e+01,6.27175e-03
3.80000e+01,6.18595e-03
3.90000e+01,6.11255e-03
4.00000e+01,6.02845e-03
4.10000e+01,5.97353e-03
4.20000e+01,5.94061e-03
4.30000e+01,5.91101e-03
4.40000e+01,5.82893e-03
4.50000e+01,5.69890e-03
4.60000e+01,5.57927e-03
4.70000e+01,5.53565e-03
4.80000e+01,5.54486e-03
4.90000e+01,5.57561e-03
5.00000e+01,5.58765e-03
5.10000e+01,5.61711e-03
5.20000e+01,5.62548e-03
5.30000e+01,5.68364e-03
5.40000e+01,5.73125e-03
5.50000e+01,5.78957e-03
5.60000e+01,5.82607e-03
5.70000e+01,5.84947e-03
5.80000e+01,5.87033e-03
5.90000e+01,5.84218e-03
6.00000e+01,5.81589e-03
6.10000e+01,5.76993e-03
6.20000e+01,5.74698e-03
6.30000e+01,5.74293e-03
6.40000e+01,5.75596e-03
6.50000e+01,5.76699e-03
6.60000e+01,5.77075e-03
6.70000e+01,5.74552e-03
6.80000e+01,5.72378e-03
6.90000e+01,5.68081e-03
7.00000e+01,5.65148e-03
7.10000e+01,5.63073e-03
7.20000e+01,5.64606e-03
7.30000e+01,5.66553e-03
7.40000e+01,5.65195e-03
7.50000e+01,5.64921e-03
7.60000e+01,5.65138e-03
7.70000e+01,5.69074e-03
7.80000e+01,5.74590e-03
7.90000e+01,5.81702e-03
8.00000e+01,5.89963e-03
8.10000e+01,5.94138e-03
8.20000e+01,5.92582e-03
8.30000e+01,5.87452e-03
8.40000e+01,5.84383e-03
8.50000e+01,5.85722e-03
8.60000e+01,5.87536e-03
8.70000e+01,5.91963e-03
8.80000e+01,5.98430e-03
8.90000e+01,6.10307e-03
9.00000e+01,6.19386e-03
9.10000e+01,6.24551e-03
9.20000e+01,6.24375e-03
9.30000e+01,6.24148e-03
9.40000e+01,6.22612e-03
9.50000e+01,6.19944e-03
9.60000e+01,6.14296e-03
9.70000e+01,6.08795e-03
9.80000e+01,6.04347e-03
9.90000e+01,5.98317e-03
1.00000e+02,5.92939e-03
1.01000e+02,5.86067e-03
1.02000e+02,5.83865e-03
1.03000e+02,5.79380e-03
1.04000e+02,5.74712e-03
1.05000e+02,5.64624e-03
1.06000e+02,5.54382e-03
1.07000e+02,5.45601e-03
1.08000e+02,5.44141e-03
1.09000e+02,5.46043e-03
1.10000e+02,5.47101e-03
1.11000e+02,5.47670e-03
1.12000e+02,5.48920e-03
1.13000e+02,5.50357e-03
1.14000e+02,5.52550e-03
1.15000e+02,5.53424e-03
1.16000e+02,5.56441e-03
1.17000e+02,5.59128e-03
1.18000e+02,5.61217e-03
1.19000e+02,5.59533e-03
1.20000e+02,5.55201e-03
1.21000e+02,5.48346e-03
1.22000e+02,5.43549e-03
1.23000e+02,5.43653e-03
1.24000e+02,5.47954e-03
1.25000e+02,5.51604e-03
1.26000e+02,5.53942e-03
1.27000e+02,5.57895e-03
1.28000e+02,5.64153e-03
1.29000e+02,5.69769e-03
1.30000e+02,5.70850e-03
1.31000e+02,5.69390e-03
1.32000e+02,5.64520e-03
1.33000e+02,5.57477e-03
1.34000e+02,5.49543e-03
1.35000e+02,5.45287e-03
1.36000e+02,5.44193e-03
1.37000e+02,5.41462e-03
1.38000e+02,5.36123e-03
1.39000e+02,5.30342e-03
1.40000e+02,5.31319e-03
1.41000e+02,5.36247e-03
1.42000e+02,5.41783e-03
1.43000e+02,5.45869e-03
1.44000e+02,5.49079e-03
1.45000e+02,5.53974e-03
1.46000e+02,5.59438e-03
1.47000e+02,5.64566e-03
1.48000e+02,5.70054e-03
1.49000e+02,5.71783e-03
1.50000e+02,5.71595e-03
1.51000e+02,5.64648e-03
1.52000e+02,5.57860e-03
1.53000e+02,5.50469e-03
1.54000e+02,5.46642e-03
1.55000e+02,5.44393e-03
1.56000e+02,5.46177e-03
1.57000e+02,5.50963e-03
1.58000e+02,5.61180e-03
1.59000e+02,5.72711e-03
1.60000e+02,5.86351e-03
1.61000e+02,5.97988e-03
1.62000e+02,6.06102e-03
1.63000e+02,6.09201e-03
1.64000e+02,6.11407e-03
1.65000e+02,6.16081e-03
1.66000e+02,6.19259e-03
1.67000e+02,6.19463e-03
1.68000e+02,6.19705e-03
1.69000e+02,6.22268e-03
1.70000e+02,6.27991e-03
1.71000e+02,6.31256e-03
1.72000e+02,6.35738e-03
1.73000e+02,6.39220e-03
1.74000e+02,6.44243e-03
1.75000e+02,6.44529e-03
1.76000e+02,6.42147e-03
1.77000e+02,6.36762e-03
1.78000e+02,6.30241e-03
1.79000e+02,6.21385e-03
1.80000e+02,6.12158e-03
1.81000e+02,6.05264e-03
1.82000e+02,6.03202e-03
1.83000e+02,6.03387e-03
1.84000e+02,6.04275e-03
1.85000e+02,6.08481e-03
1.86000e+02,6.13870e-03
1.87000e+02,6.21700e-03
1.88000e+02,6.26535e-03
1.89000e+02,6.29456e-03
1.90000e+02,6.30987e-03
1.91000e+02,6.27891e-03
1.92000e+02,6.21957e-03
1.93000e+02,6.10613e-03
1.94000e+02,6.02594e-03
1.95000e+02,5.98105e-03
1.96000e+02,5.97206e-03
1.97000e+02,5.93979e-03
1.98000e+02,5.91927e-03
1.99000e+02,5.92997e-03
2.00000e+02,5.98569e-03
2.01000e+02,6.07269e-03
2.02000e+02,6.14130e-03
2.03000e+02,6.16561e-03
2.04000e+02,6.14193e-03
2.05000e+02,6.10768e-03
2.06000e+02,6.09431e-03
2.07000e+02,6.08231e-03
2.08000e+02,6.07305e-03
2.09000e+02,6.09014e-03
2.10000e+02,6.13330e-03
2.11000e+02,6.16651e-03
2.12000e+02,6.17304e-03
2.13000e+02,6.14888e-03
2.14000e+02,6.09631e-03
2.15000e+02,6.04029e-03
2.16000e+02,6.02967e-03
2.17000e+02,6.04392e-03
2.18000e+02,6.03396e-03
2.19000e+02,5.98379e-03
2.20000e+02,5.96040e-03
2.21000e+02,5.98119e-03
2.22000e+02,6.02447e-03
2.23000e+02,6.02538e-03
2.24000e+02,6.02000e-03
2.25000e+02,6.03716e-03
2.26000e+02,6.10184e-03
2.27000e+02,6.17966e-03
2.28000e+02,6.25063e-03
2.29000e+02,6.33667e-03
2.30000e+02,6.44270e-03
2.31000e+02,6.53086e-03
2.32000e+02,6.58127e-03
2.33000e+02,6.59680e-03
2.34000e+02,6.59357e-03
2.35000e+02,6.53890e-03
2.36000e+02,6.43950e-03
2.37000e+02,6.32068e-03
2.38000e+02,6.23670e-03
2.39000e+02,6.17528e-03
2.40000e+02,6.15393e-03
2.41000e+02,6.15239e-03
2.42000e+02,6.18977e-03
2.43000e+02,6.24149e-03
2.44000e+02,6.31241e-03
2.45000e+02,6.37090e-03
2.46000e+02,6.40480e-03
2.47000e+02,6.37705e-03
2.48000e+02,6.33571e-03
2.49000e+02,6.28625e-03
2.50000e+02,6.27466e-03
2.51000e+02,6.24973e-03
2.52000e+02,6.24276e-03
2.53000e+02,6.23694e-03
2.54000e+02,6.21123e-03
2.55000e+02,6.14472e-03
2.56000e+02,6.05808e-03
2.57000e+02,6.01079e-03
2.58000e+02,6.01472e-03
2.59000e+02,6.06194e-03
2.60000e+02,6.09800e-03
2.61000e+02,6.10492e-03
2.62000e+02,6.07740e-03
2.63000e+02,6.05181e-03
2.64000e+02,6.04370e-03
2.65000e+02,6.05396e-03
2.66000e+02,6.10487e-03
2.67000e+02,6.13569e-03
2.68000e+02,6.19478e-03
2.69000e+02,6.24122e-03
2.70000e+02,6.33395e-03
2.71000e+02,6.40631e-03
2.72000e+02,6.47867e-03
2.73000e+02,6.54680e-03
2.74000e+02,6.61399e-03
2.75000e+02,6.66259e-03
2.76000e+02,6.66853e-03
2.77000e+02,6.66805e-03
2.78000e+02,6.66761e-03
2.79000e+02,6.69545e-03
2.80000e+02,6.73656e-03
2.81000e+02,6.77879e-03
2.82000e+02,6.82805e-03
2.83000e+02,6.88962e-03
2.84000e+02,7.00420e-03
2.85000e+02,7.09884e-03
2.86000e+02,7.17271e-03
2.87000e+02,7.20679e-03
2.88000e+02,7.28763e-03
2.89000e+02,7.37464e-03
2.90000e+02,7.45242e-03
2.91000e+02,7.48187e-03
2.92000e+02,7.51173e-03
2.93000e+02,7.56518e-03
2.94000e+02,7.65789e-03
2.95000e+02,7.74059e-03
2.96000e+02,7.81291e-03
2.97000e+02,7.85515e-03
2.98000e+02,7.89846e-03
2.99000e+02,7.90747e-03
3.00000e+02,7.88832e-03
3.01000e+02,7.86111e-03
3.02000e+02,7.88043e-03
3.03000e+02,7.93030e-03
3.04000e+02,7.96452e-03
3.05000e+02,7.94866e-03
3.06000e+02,7.91344e-03
3.07000e+02,7.87964e-03
3.08000e+02,7.85236e-03
3.09000e+02,7.82887e-03
3.10000e+02,7.76532e-03
3.11000e+02,7.67140e-03
3.12000e+02,7.56626e-03
3.13000e+02,7.48983e-03
3.14000e+02,7.46647e-03
3.15000e+02,7.48412e-03
3.16000e+02,7.47436e-03
3.17000e+02,7.47267e-03
3.18000e+02,7.44442e-03
3.19000e+02,7.44724e-03
3.20000e+02,7.37267e-03
3.21000e+02,7.34677e-03
3.22000e+02,7.38131e-03
3.23000e+02,7.53061e-03
3.24000e+02,7.67432e-03
3.25000e+02,7.76952e-03
3.26000e+02,7.81327e-03
3.27000e+02,7.85722e-03
3.28000e+02,7.91354e-03
3.29000e+02,7.95982e-03
3.30000e+02,7.97581e-03
3.31000e+02,7.96497e-03
3.32000e+02,7.98905e-03
3.33000e+02,8.02960e-03
3.34000e+02,8.03434e-03
3.35000e+02,7.96216e-03
3.36000e+02,7.88969e-03
3.37000e+02,7.89007e-03
3.38000e+02,7.99802e-03
3.39000e+02,8.13889e-03
3.40000e+02,8.27207e-03
3.41000e+02,8.35023e-03
3.42000e+02,8.41168e-03
3.43000e+02,8.45889e-03
3.44000e+02,8.54342e-03
3.45000e+02,8.64649e-03
3.46000e+02,8.74945e-03
3.47000e+02,8.78544e-03
3.48000e+02,8.77280e-03
3.49000e+02,8.68956e-03
3.50000e+02,8.56588e-03
3.51000e+02,8.43516e-03
3.52000e+02,8.35197e-03
3.53000e+02,8.36331e-03
3.54000e+02,8.40110e-03
3.55000e+02,8.41439e-03
3.56000e+02,8.36721e-03
3.57000e+02,8.30132e-03
3.58000e+02,8.27573e-03
3.59000e+02,8.29317e-03
3.60000e+02,8.33698e-03
3.61000e+02,8.32394e-03
3.62000e+02,8.25251e-03
3.63000e+02,8.17814e-03
3.64000e+02,8.12883e-03
3.65000e+02,8.17699e-03
3.66000e+02,8.25189e-03
3.67000e+02,8.35106e-03
3.68000e+02,8.46212e-03
3.69000e+02,8.58914e-03
3.70000e+02,8.71818e-03
3.71000e+02,8.79586e-03
3.72000e+02,8.80846e-03
3.73000e+02,8.78765e-03
3.74000e+02,8.77854e-03
3.75000e+02,8.81844e-03
3.76000e+02,8.91287e-03
3.77000e+02,9.01359e-03
3.78000e+02,9.10765e-03
3.79000e+02,9.16038e-03
3.80000e+02,9.17272e-03
3.81000e+02,9.14728e-03
3.82000e+02,9.08765e-03
3.83000e+02,9.01548e-03
