Pixels #,Intensity (a.u.)
0.00000e+00,9.24321e-03
1.00000e+00,9.14104e-03
2.00000e+00,9.04302e-03
3.00000e+00,8.92628e-03
4.00000e+00,8.81976e-03
5.00000e+00,8.71657e-03
6.00000e+00,8.62448e-03
7.00000e+00,8.54661e-03
8.00000e+00,8.47544e-03
9.00000e+00,8.40421e-03
1.00000e+01,8.32074e-03
1.10000e+01,8.22228e-03
1.20000e+01,8.15195e-03
1.30000e+01,8.10991e-03
1.40000e+01,8.09340e-03
1.50000e+01,8.06316e-03
1.60000e+01,7.98094e-03
1.70000e+01,7.83661e-03
1.80000e+01,7.68839e-03
1.90000e+01,7.54017e-03
2.00000e+01,7.41022e-03
2.10000e+01,7.28725e-03
2.20000e+01,7.21416e-03
2.30000e+01,7.15303e-03
2.40000e+01,7.09664e-03
2.50000e+01,7.01952e-03
2.60000e+01,6.94556e-03
2.70000e+01,6.89677e-03
2.80000e+01,6.87149e-03
2.90000e+01,6.86646e-03
3.00000e+01,6.87683e-03
3.10000e+01,6.89967e-03
3.20000e+01,6.90869e-03
3.30000e+01,6.84967e-03
3.40000e+01,6.71760e-03
3.50000e+01,6.56938e-03
3.60000e+01,6.42933e-03
3.70000e+01,6.31702e-03
3.80000e+01,6.21561e-03
3.90000e+01,6.12761e-03
4.00000e+01,6.03206e-03
4.10000e+01,5.97549e-03
4.20000e+01,5.93437e-03
4.30000e+01,5.89428e-03
4.40000e+01,5.78144e-03
4.50000e+01,5.63323e-03
4.60000e+01,5.48737e-03
4.70000e+01,5.46518e-03
4.80000e+01,5.51418e-03
4.90000e+01,5.55689e-03
5.00000e+01,5.53599e-03
5.10000e+01,5.48867e-03
5.20000e+01,5.42077e-03
5.30000e+01,5.43148e-03
5.40000e+01,5.45146e-03
5.50000e+01,5.47069e-03
5.60000e+01,5.46078e-03
5.70000e+01,5.46053e-03
5.80000e+01,5.43235e-03
5.90000e+01,5.36254e-03
6.00000e+01,5.28656e-03
6.10000e+01,5.23618e-03
6.20000e+01,5.20815e-03
6.30000e+01,5.15741e-03
6.40000e+01,5.10381e-03
6.50000e+01,5.05045e-03
6.60000e+01,5.01912e-03
6.70000e+01,5.00196e-03
6.80000e+01,5.00473e-03
6.90000e+01,5.00051e-03
7.00000e+01,5.02332e-03
7.10000e+01,5.03235e-03
7.20000e+01,5.03775e-03
7.30000e+01,5.01701e-03
7.40000e+01,4.97709e-03
7.50000e+01,4.98001e-03
7.60000e+01,5.00613e-03
7.70000e+01,5.04434e-03
7.80000e+01,5.06916e-03
7.90000e+01,5.13354e-03
8.00000e+01,5.21816e-03
8.10000e+01,5.26384e-03
8.20000e+01,5.21332e-03
8.30000e+01,5.08750e-03
8.40000e+01,4.98245e-03
8.50000e+01,4.93120e-03
8.60000e+01,4.91013e-03
8.70000e+01,4.88646e-03
8.80000e+01,4.88279e-03
8.90000e+01,4.94062e-03
9.00000e+01,5.01876e-03
9.10000e+01,5.09292e-03
9.20000e+01,5.13268e-03
9.30000e+01,5.18185e-03
9.40000e+01,5.24800e-03
9.50000e+01,5.27511e-03
9.60000e+01,5.24246e-03
9.70000e+01,5.18633e-03
9.80000e+01,5.13416e-03
9.90000e+01,5.11515e-03
1.00000e+02,5.13988e-03
1.01000e+02,5.18524e-03
1.02000e+02,5.24233e-03
1.03000e+02,5.25599e-03
1.04000e+02,5.21467e-03
1.05000e+02,5.14842e-03
1.06000e+02,5.10302e-03
1.07000e+02,5.12598e-03
1.08000e+02,5.19258e-03
1.09000e+02,5.22781e-03
1.10000e+02,5.22781e-03
1.11000e+02,5.20955e-03
1.12000e+02,5.20307e-03
1.13000e+02,5.17694e-03
1.14000e+02,5.18381e-03
1.15000e+02,5.16340e-03
1.16000e+02,5.16707e-03
1.17000e+02,5.16865e-03
1.18000e+02,5.12823e-03
1.19000e+02,5.02190e-03
1.20000e+02,4.87871e-03
1.21000e+02,4.75384e-03
1.22000e+02,4.66569e-03
1.23000e+02,4.60650e-03
1.24000e+02,4.58949e-03
1.25000e+02,4.61364e-03
1.26000e+02,4.66679e-03
1.27000e+02,4.75153e-03
1.28000e+02,4.82817e-03
1.29000e+02,4.87574e-03
1.30000e+02,4.84899e-03
1.31000e+02,4.79939e-03
1.32000e+02,4.70773e-03
1.33000e+02,4.60917e-03
1.34000e+02,4.50521e-03
1.35000e+02,4.47909e-03
1.36000e+02,4.49529e-03
1.37000e+02,4.51496e-03
1.38000e+02,4.47473e-03
1.39000e+02,4.40092e-03
1.40000e+02,4.37126e-03
1.41000e+02,4.38397e-03
1.42000e+02,4.43029e-03
1.43000e+02,4.43944e-03
1.44000e+02,4.41903e-03
1.45000e+02,4.38767e-03
1.46000e+02,4.37130e-03
1.47000e+02,4.38615e-03
1.48000e+02,4.41240e-03
1.49000e+02,4.44906e-03
1.50000e+02,4.47756e-03
1.51000e+02,4.45274e-03
1.52000e+02,4.41351e-03
1.53000e+02,4.36022e-03
1.54000e+02,4.35283e-03
1.55000e+02,4.36028e-03
1.56000e+02,4.39570e-03
1.57000e+02,4.45995e-03
1.58000e+02,4.53288e-03
1.59000e+02,4.60747e-03
1.60000e+02,4.68171e-03
1.61000e+02,4.72021e-03
1.62000e+02,4.73340e-03
1.63000e+02,4.74652e-03
1.64000e+02,4.76460e-03
1.65000e+02,4.76107e-03
1.66000e+02,4.70433e-03
1.67000e+02,4.63463e-03
1.68000e+02,4.62835e-03
1.69000e+02,4.65529e-03
1.70000e+02,4.66909e-03
1.71000e+02,4.60170e-03
1.72000e+02,4.55607e-03
1.73000e+02,4.55509e-03
1.74000e+02,4.62569e-03
1.75000e+02,4.63505e-03
1.76000e+02,4.60309e-03
1.77000e+02,4.51623e-03
1.78000e+02,4.45875e-03
1.79000e+02,4.41289e-03
1.80000e+02,4.37092e-03
1.81000e+02,4.31883e-03
1.82000e+02,4.26537e-03
1.83000e+02,4.22318e-03
1.84000e+02,4.16698e-03
1.85000e+02,4.10422e-03
1.86000e+02,4.06848e-03
1.87000e+02,4.09111e-03
1.88000e+02,4.11142e-03
1.89000e+02,4.10690e-03
1.90000e+02,4.05042e-03
1.91000e+02,3.95959e-03
1.92000e+02,3.85537e-03
1.93000e+02,3.76790e-03
1.94000e+02,3.70243e-03
1.95000e+02,3.66219e-03
1.96000e+02,3.60038e-03
1.97000e+02,3.52781e-03
1.98000e+02,3.44330e-03
1.99000e+02,3.38681e-03
2.00000e+02,3.37720e-03
2.01000e+02,3.40463e-03
2.02000e+02,3.43318e-03
2.03000e+02,3.46201e-03
2.04000e+02,3.47091e-03
2.05000e+02,3.42069e-03
2.06000e+02,3.38243e-03
2.07000e+02,3.32126e-03
2.08000e+02,3.28062e-03
2.09000e+02,3.28456e-03
2.10000e+02,3.36100e-03
2.11000e+02,3.45054e-03
2.12000e+02,3.47777e-03
2.13000e+02,3.46192e-03
2.14000e+02,3.42670e-03
2.15000e+02,3.40830e-03
2.16000e+02,3.41298e-03
2.17000e+02,3.42006e-03
2.18000e+02,3.41541e-03
2.19000e+02,3.39082e-03
2.20000e+02,3.38174e-03
2.21000e+02,3.43314e-03
2.22000e+02,3.49843e-03
2.23000e+02,3.51208e-03
2.24000e+02,3.50355e-03
2.25000e+02,3.51015e-03
2.26000e+02,3.57016e-03
2.27000e+02,3.66557e-03
2.28000e+02,3.75152e-03
2.29000e+02,3.84752e-03
2.30000e+02,3.94903e-03
2.31000e+02,4.04174e-03
2.32000e+02,4.10188e-03
2.33000e+02,4.12326e-03
2.34000e+02,4.15226e-03
2.35000e+02,4.16649e-03
2.36000e+02,4.15157e-03
2.37000e+02,4.11292e-03
2.38000e+02,4.08048e-03
2.39000e+02,4.05877e-03
2.40000e+02,4.04782e-03
2.41000e+02,4.06196e-03
