Pixels #,Intensity (a.u.)
0.00000e+00,7.98659e-03
1.00000e+00,8.01199e-03
2.00000e+00,8.03763e-03
3.00000e+00,8.05601e-03
4.00000e+00,8.05912e-03
5.00000e+00,8.05106e-03
6.00000e+00,8.04465e-03
7.00000e+00,8.06137e-03
8.00000e+00,8.10145e-03
9.00000e+00,8.13233e-03
1.00000e+01,8.15920e-03
1.10000e+01,8.16435e-03
1.20000e+01,8.18913e-03
1.30000e+01,8.19340e-03
1.40000e+01,8.18668e-03
1.50000e+01,8.16883e-03
1.60000e+01,8.12207e-03
1.70000e+01,8.03271e-03
1.80000e+01,7.93167e-03
1.90000e+01,7.83176e-03
2.00000e+01,7.74395e-03
2.10000e+01,7.67700e-03
2.20000e+01,7.61389e-03
2.30000e+01,7.53646e-03
2.40000e+01,7.44244e-03
2.50000e+01,7.35660e-03
2.60000e+01,7.28614e-03
2.70000e+01,7.24208e-03
2.80000e+01,7.21301e-03
2.90000e+01,7.19995e-03
3.00000e+01,7.19210e-03
3.10000e+01,7.19056e-03
3.20000e+01,7.18357e-03
3.30000e+01,7.13656e-03
3.40000e+01,7.05932e-03
3.50000e+01,6.96791e-03
3.60000e+01,6.89055e-03
3.70000e+01,6.83782e-03
3.80000e+01,6.79861e-03
3.90000e+01,6.77876e-03
4.00000e+01,6.74687e-03
4.10000e+01,6.73023e-03
4.20000e+01,6.72108e-03
4.30000e+01,6.71044e-03
4.40000e+01,6.66159e-03
4.50000e+01,6.59169e-03
4.60000e+01,6.54003e-03
4.70000e+01,6.54483e-03
4.80000e+01,6.56624e-03
4.90000e+01,6.58718e-03
5.00000e+01,6.55072e-03
5.10000e+01,6.50956e-03
5.20000e+01,6.44717e-03
5.30000e+01,6.41427e-03
5.40000e+01,6.36722e-03
5.50000e+01,6.32131e-03
5.60000e+01,6.28301e-03
5.70000e+01,6.25010e-03
5.80000e+01,6.21731e-03
5.90000e+01,6.13259e-03
6.00000e+01,6.01080e-03
6.10000e+01,5.87335e-03
6.20000e+01,5.77033e-03
6.30000e+01,5.69983e-03
6.40000e+01,5.64691e-03
6.50000e+01,5.57827e-03
6.60000e+01,5.51466e-03
6.70000e+01,5.45876e-03
6.80000e+01,5.42178e-03
6.90000e+01,5.35075e-03
7.00000e+01,5.31451e-03
7.10000e+01,5.30549e-03
7.20000e+01,5.31178e-03
7.30000e+01,5.27927e-03
7.40000e+01,5.20610e-03
