Pixels #,Intensity (a.u.)
0.00000e+00,1.96035e-02
1.00000e+00,1.94137e-02
2.00000e+00,1.93529e-02
3.00000e+00,1.94119e-02
4.00000e+00,1.95079e-02
5.00000e+00,1.95309e-02
6.00000e+00,1.94782e-02
7.00000e+00,1.93879e-02
8.00000e+00,1.93953e-02
9.00000e+00,1.94267e-02
1.00000e+01,1.94542e-02
1.10000e+01,1.93941e-02
1.20000e+01,1.93920e-02
1.30000e+01,1.94299e-02
1.40000e+01,1.95124e-02
1.50000e+01,1.95176e-02
1.60000e+01,1.94127e-02
1.70000e+01,1.92047e-02
1.80000e+01,1.89465e-02
1.90000e+01,1.87675e-02
2.00000e+01,1.86930e-02
2.10000e+01,1.86702e-02
2.20000e+01,1.85917e-02
2.30000e+01,1.84262e-02
2.40000e+01,1.82223e-02
2.50000e+01,1.80507e-02
2.60000e+01,1.79693e-02
2.70000e+01,1.79686e-02
2.80000e+01,1.80338e-02
2.90000e+01,1.80640e-02
3.00000e+01,1.80775e-02
3.10000e+01,1.80587e-02
3.20000e+01,1.79721e-02
3.30000e+01,1.78298e-02
3.40000e+01,1.76248e-02
3.50000e+01,1.74932e-02
3.60000e+01,1.73542e-02
3.70000e+01,1.72236e-02
3.80000e+01,1.70573e-02
3.90000e+01,1.69254e-02
4.00000e+01,1.68275e-02
4.10000e+01,1.67108e-02
4.20000e+01,1.66152e-02
4.30000e+01,1.65419e-02
4.40000e+01,1.64884e-02
4.50000e+01,1.63323e-02
4.60000e+01,1.60777e-02
4.70000e+01,1.58053e-02
4.80000e+01,1.56686e-02
4.90000e+01,1.56933e-02
5.00000e+01,1.57486e-02
5.10000e+01,1.57818e-02
5.20000e+01,1.58184e-02
5.30000e+01,1.58991e-02
5.40000e+01,1.59399e-02
5.50000e+01,1.59384e-02
5.60000e+01,1.59057e-02
5.70000e+01,1.58977e-02
5.80000e+01,1.57820e-02
5.90000e+01,1.56079e-02
6.00000e+01,1.53818e-02
6.10000e+01,1.52144e-02
6.20000e+01,1.50907e-02
6.30000e+01,1.50323e-02
6.40000e+01,1.50322e-02
6.50000e+01,1.50181e-02
6.60000e+01,1.50018e-02
6.70000e+01,1.48833e-02
6.80000e+01,1.48124e-02
6.90000e+01,1.47366e-02
7.00000e+01,1.47736e-02
7.10000e+01,1.48230e-02
7.20000e+01,1.49645e-02
7.30000e+01,1.50300e-02
7.40000e+01,1.50641e-02
7.50000e+01,1.51064e-02
7.60000e+01,1.51678e-02
7.70000e+01,1.52171e-02
7.80000e+01,1.52107e-02
7.90000e+01,1.51021e-02
8.00000e+01,1.50267e-02
8.10000e+01,1.48823e-02
8.20000e+01,1.47137e-02
8.30000e+01,1.44444e-02
8.40000e+01,1.42786e-02
8.50000e+01,1.41881e-02
8.60000e+01,1.41862e-02
8.70000e+01,1.42105e-02
8.80000e+01,1.42938e-02
8.90000e+01,1.44673e-02
9.00000e+01,1.46710e-02
9.10000e+01,1.48800e-02
9.20000e+01,1.50430e-02
9.30000e+01,1.51303e-02
9.40000e+01,1.51628e-02
9.50000e+01,1.51640e-02
9.60000e+01,1.52143e-02
9.70000e+01,1.53289e-02
9.80000e+01,1.54791e-02
9.90000e+01,1.54810e-02
1.00000e+02,1.54133e-02
1.01000e+02,1.52934e-02
1.02000e+02,1.52831e-02
1.03000e+02,1.51773e-02
1.04000e+02,1.50954e-02
1.05000e+02,1.49520e-02
1.06000e+02,1.49334e-02
1.07000e+02,1.49812e-02
1.08000e+02,1.51011e-02
1.09000e+02,1.52680e-02
1.10000e+02,1.53025e-02
1.11000e+02,1.52468e-02
1.12000e+02,1.51034e-02
1.13000e+02,1.50386e-02
1.14000e+02,1.50734e-02
1.15000e+02,1.51325e-02
1.16000e+02,1.51570e-02
1.17000e+02,1.50710e-02
1.18000e+02,1.48909e-02
1.19000e+02,1.46089e-02
1.20000e+02,1.43082e-02
1.21000e+02,1.40213e-02
1.22000e+02,1.38050e-02
1.23000e+02,1.37266e-02
1.24000e+02,1.37576e-02
1.25000e+02,1.38573e-02
1.26000e+02,1.38652e-02
1.27000e+02,1.38719e-02
1.28000e+02,1.38539e-02
1.29000e+02,1.38494e-02
1.30000e+02,1.37865e-02
1.31000e+02,1.36396e-02
1.32000e+02,1.34997e-02
1.33000e+02,1.33153e-02
1.34000e+02,1.31169e-02
1.35000e+02,1.29056e-02
1.36000e+02,1.28668e-02
1.37000e+02,1.29679e-02
1.38000e+02,1.30602e-02
1.39000e+02,1.29756e-02
1.40000e+02,1.27738e-02
1.41000e+02,1.26026e-02
1.42000e+02,1.25662e-02
