Pixels #,Intensity (a.u.)
0.00000e+00,2.32627e-02
1.00000e+00,2.29749e-02
2.00000e+00,2.27526e-02
3.00000e+00,2.26128e-02
4.00000e+00,2.24902e-02
5.00000e+00,2.23488e-02
6.00000e+00,2.21699e-02
7.00000e+00,2.19759e-02
8.00000e+00,2.19045e-02
9.00000e+00,2.19024e-02
1.00000e+01,2.19144e-02
1.10000e+01,2.18405e-02
1.20000e+01,2.17729e-02
1.30000e+01,2.17504e-02
1.40000e+01,2.17553e-02
1.50000e+01,2.17065e-02
1.60000e+01,2.15563e-02
1.70000e+01,2.12844e-02
1.80000e+01,2.09626e-02
1.90000e+01,2.06780e-02
2.00000e+01,2.05270e-02
2.10000e+01,2.04411e-02
2.20000e+01,2.03455e-02
2.30000e+01,2.01843e-02
2.40000e+01,1.99632e-02
2.50000e+01,1.97655e-02
2.60000e+01,1.96214e-02
2.70000e+01,1.95469e-02
2.80000e+01,1.94775e-02
2.90000e+01,1.93650e-02
3.00000e+01,1.92393e-02
3.10000e+01,1.91227e-02
3.20000e+01,1.89265e-02
3.30000e+01,1.87093e-02
3.40000e+01,1.84647e-02
3.50000e+01,1.83403e-02
3.60000e+01,1.81848e-02
3.70000e+01,1.80018e-02
3.80000e+01,1.77659e-02
3.90000e+01,1.76223e-02
4.00000e+01,1.75861e-02
4.10000e+01,1.76326e-02
4.20000e+01,1.76763e-02
4.30000e+01,1.77203e-02
4.40000e+01,1.76784e-02
4.50000e+01,1.75112e-02
4.60000e+01,1.72348e-02
4.70000e+01,1.69385e-02
4.80000e+01,1.67423e-02
4.90000e+01,1.65898e-02
5.00000e+01,1.64623e-02
5.10000e+01,1.63794e-02
5.20000e+01,1.64108e-02
5.30000e+01,1.65515e-02
5.40000e+01,1.67027e-02
5.50000e+01,1.67726e-02
5.60000e+01,1.67720e-02
5.70000e+01,1.67036e-02
5.80000e+01,1.65689e-02
5.90000e+01,1.63708e-02
6.00000e+01,1.61426e-02
6.10000e+01,1.59582e-02
6.20000e+01,1.58164e-02
6.30000e+01,1.57251e-02
6.40000e+01,1.57004e-02
6.50000e+01,1.57131e-02
6.60000e+01,1.57302e-02
6.70000e+01,1.56792e-02
6.80000e+01,1.56290e-02
6.90000e+01,1.55368e-02
7.00000e+01,1.55611e-02
7.10000e+01,1.56356e-02
7.20000e+01,1.57995e-02
7.30000e+01,1.59024e-02
7.40000e+01,1.59831e-02
7.50000e+01,1.59764e-02
7.60000e+01,1.59974e-02
7.70000e+01,1.60282e-02
7.80000e+01,1.61206e-02
7.90000e+01,1.61398e-02
8.00000e+01,1.61639e-02
8.10000e+01,1.60622e-02
8.20000e+01,1.58576e-02
8.30000e+01,1.55389e-02
8.40000e+01,1.54038e-02
8.50000e+01,1.54676e-02
8.60000e+01,1.56313e-02
8.70000e+01,1.57471e-02
8.80000e+01,1.58020e-02
8.90000e+01,1.58945e-02
9.00000e+01,1.60074e-02
9.10000e+01,1.61567e-02
9.20000e+01,1.63131e-02
9.30000e+01,1.65037e-02
9.40000e+01,1.66538e-02
9.50000e+01,1.67487e-02
9.60000e+01,1.67923e-02
9.70000e+01,1.68913e-02
9.80000e+01,1.71076e-02
9.90000e+01,1.72624e-02
1.00000e+02,1.73167e-02
1.01000e+02,1.72743e-02
1.02000e+02,1.72562e-02
1.03000e+02,1.71505e-02
1.04000e+02,1.70268e-02
1.05000e+02,1.68927e-02
1.06000e+02,1.68789e-02
1.07000e+02,1.69340e-02
1.08000e+02,1.70888e-02
1.09000e+02,1.73022e-02
1.10000e+02,1.74691e-02
1.11000e+02,1.74895e-02
1.12000e+02,1.74193e-02
1.13000e+02,1.73383e-02
1.14000e+02,1.73032e-02
1.15000e+02,1.72413e-02
1.16000e+02,1.71171e-02
1.17000e+02,1.69637e-02
1.18000e+02,1.67918e-02
1.19000e+02,1.66097e-02
1.20000e+02,1.63920e-02
1.21000e+02,1.61672e-02
1.22000e+02,1.59451e-02
1.23000e+02,1.58327e-02
1.24000e+02,1.57860e-02
1.25000e+02,1.57500e-02
1.26000e+02,1.56093e-02
1.27000e+02,1.55546e-02
1.28000e+02,1.56152e-02
1.29000e+02,1.57256e-02
1.30000e+02,1.56691e-02
1.31000e+02,1.53741e-02
1.32000e+02,1.49769e-02
1.33000e+02,1.45827e-02
1.34000e+02,1.42424e-02
1.35000e+02,1.40164e-02
1.36000e+02,1.39831e-02
1.37000e+02,1.40559e-02
1.38000e+02,1.41285e-02
1.39000e+02,1.40734e-02
1.40000e+02,1.40222e-02
1.41000e+02,1.39952e-02
1.42000e+02,1.40256e-02
1.43000e+02,1.40276e-02
1.44000e+02,1.40301e-02
1.45000e+02,1.40416e-02
1.46000e+02,1.41467e-02
1.47000e+02,1.43059e-02
1.48000e+02,1.45204e-02
1.49000e+02,1.46887e-02
1.50000e+02,1.48007e-02
1.51000e+02,1.48221e-02
1.52000e+02,1.48048e-02
1.53000e+02,1.47303e-02
1.54000e+02,1.46371e-02
1.55000e+02,1.45249e-02
1.56000e+02,1.44182e-02
1.57000e+02,1.43091e-02
1.58000e+02,1.42598e-02
1.59000e+02,1.42439e-02
1.60000e+02,1.43469e-02
1.61000e+02,1.44700e-02
1.62000e+02,1.45844e-02
1.63000e+02,1.46715e-02
1.64000e+02,1.47722e-02
1.65000e+02,1.49177e-02
1.66000e+02,1.49822e-02
1.67000e+02,1.50236e-02
1.68000e+02,1.49847e-02
1.69000e+02,1.49206e-02
1.70000e+02,1.48540e-02
1.71000e+02,1.48699e-02
1.72000e+02,1.50140e-02
1.73000e+02,1.51916e-02
1.74000e+02,1.52745e-02
1.75000e+02,1.51619e-02
1.76000e+02,1.49390e-02
1.77000e+02,1.47572e-02
1.78000e+02,1.46767e-02
1.79000e+02,1.47111e-02
1.80000e+02,1.48153e-02
1.81000e+02,1.49204e-02
1.82000e+02,1.49530e-02
1.83000e+02,1.48981e-02
1.84000e+02,1.47713e-02
1.85000e+02,1.46275e-02
1.86000e+02,1.45111e-02
1.87000e+02,1.44631e-02
1.88000e+02,1.43757e-02
1.89000e+02,1.41427e-02
1.90000e+02,1.37613e-02
1.91000e+02,1.33855e-02
1.92000e+02,1.31641e-02
1.93000e+02,1.30876e-02
1.94000e+02,1.31227e-02
1.95000e+02,1.31256e-02
1.96000e+02,1.30685e-02
1.97000e+02,1.29059e-02
1.98000e+02,1.26680e-02
1.99000e+02,1.24346e-02
2.00000e+02,1.21923e-02
2.01000e+02,1.20145e-02
2.02000e+02,1.19520e-02
2.03000e+02,1.19582e-02
2.04000e+02,1.19570e-02
