Pixels #,Intensity (a.u.)
0.00000e+00,1.01976e-02
1.00000e+00,1.01637e-02
2.00000e+00,1.01224e-02
3.00000e+00,1.00498e-02
4.00000e+00,9.97624e-03
5.00000e+00,9.90680e-03
6.00000e+00,9.84293e-03
7.00000e+00,9.75648e-03
8.00000e+00,9.67043e-03
9.00000e+00,9.57711e-03
1.00000e+01,9.49300e-03
1.10000e+01,9.37668e-03
1.20000e+01,9.27834e-03
1.30000e+01,9.19377e-03
1.40000e+01,9.15783e-03
1.50000e+01,9.10953e-03
1.60000e+01,9.02328e-03
1.70000e+01,8.88198e-03
1.80000e+01,8.71713e-03
1.90000e+01,8.55265e-03
2.00000e+01,8.40765e-03
2.10000e+01,8.29191e-03
2.20000e+01,8.20200e-03
2.30000e+01,8.11330e-03
2.40000e+01,8.02494e-03
2.50000e+01,7.93230e-03
2.60000e+01,7.84967e-03
2.70000e+01,7.75000e-03
2.80000e+01,7.64076e-03
2.90000e+01,7.53030e-03
3.00000e+01,7.47513e-03
3.10000e+01,7.48516e-03
3.20000e+01,7.51317e-03
3.30000e+01,7.49088e-03
3.40000e+01,7.40801e-03
3.50000e+01,7.29734e-03
3.60000e+01,7.20572e-03
3.70000e+01,7.13633e-03
3.80000e+01,7.08657e-03
3.90000e+01,7.04397e-03
4.00000e+01,6.95959e-03
4.10000e+01,6.87156e-03
4.20000e+01,6.78197e-03
4.30000e+01,6.70264e-03
4.40000e+01,6.56759e-03
4.50000e+01,6.40274e-03
4.60000e+01,6.23789e-03
4.70000e+01,6.14447e-03
4.80000e+01,6.10498e-03
4.90000e+01,6.09048e-03
5.00000e+01,6.04877e-03
5.10000e+01,6.02795e-03
5.20000e+01,6.02927e-03
5.30000e+01,6.07657e-03
5.40000e+01,6.13797e-03
5.50000e+01,6.18168e-03
5.60000e+01,6.23460e-03
5.70000e+01,6.29517e-03
5.80000e+01,6.39114e-03
5.90000e+01,6.45890e-03
6.00000e+01,6.50287e-03
6.10000e+01,6.49967e-03
6.20000e+01,6.47921e-03
6.30000e+01,6.43235e-03
6.40000e+01,6.38498e-03
6.50000e+01,6.33084e-03
6.60000e+01,6.27388e-03
6.70000e+01,6.22539e-03
6.80000e+01,6.20563e-03
6.90000e+01,6.21239e-03
7.00000e+01,6.25460e-03
7.10000e+01,6.28656e-03
7.20000e+01,6.29077e-03
7.30000e+01,6.27931e-03
7.40000e+01,6.24691e-03
7.50000e+01,6.19841e-03
7.60000e+01,6.17657e-03
7.70000e+01,6.17872e-03
7.80000e+01,6.21421e-03
7.90000e+01,6.27388e-03
8.00000e+01,6.33621e-03
8.10000e+01,6.32631e-03
8.20000e+01,6.27611e-03
8.30000e+01,6.22526e-03
8.40000e+01,6.25842e-03
8.50000e+01,6.31253e-03
8.60000e+01,6.33516e-03
8.70000e+01,6.34910e-03
8.80000e+01,6.39575e-03
8.90000e+01,6.54382e-03
9.00000e+01,6.65584e-03
9.10000e+01,6.72404e-03
9.20000e+01,6.71010e-03
9.30000e+01,6.70862e-03
9.40000e+01,6.72654e-03
9.50000e+01,6.73541e-03
9.60000e+01,6.73469e-03
9.70000e+01,6.73039e-03
9.80000e+01,6.78013e-03
9.90000e+01,6.82932e-03
1.00000e+02,6.86879e-03
1.01000e+02,6.86794e-03
1.02000e+02,6.90246e-03
1.03000e+02,6.93524e-03
1.04000e+02,6.97845e-03
1.05000e+02,6.98465e-03
1.06000e+02,7.00648e-03
1.07000e+02,7.04490e-03
1.08000e+02,7.10341e-03
1.09000e+02,7.15497e-03
1.10000e+02,7.16528e-03
1.11000e+02,7.14544e-03
1.12000e+02,7.10788e-03
1.13000e+02,7.10079e-03
1.14000e+02,7.15174e-03
1.15000e+02,7.20551e-03
1.16000e+02,7.25335e-03
1.17000e+02,7.27893e-03
1.18000e+02,7.27911e-03
1.19000e+02,7.25056e-03
1.20000e+02,7.21222e-03
1.21000e+02,7.16243e-03
1.22000e+02,7.08015e-03
1.23000e+02,6.99356e-03
1.24000e+02,6.95679e-03
1.25000e+02,6.96763e-03
1.26000e+02,7.01086e-03
1.27000e+02,7.05680e-03
1.28000e+02,7.11968e-03
1.29000e+02,7.17289e-03
1.30000e+02,7.18509e-03
1.31000e+02,7.19071e-03
1.32000e+02,7.16712e-03
1.33000e+02,7.14531e-03
1.34000e+02,7.08668e-03
1.35000e+02,7.08403e-03
1.36000e+02,7.10756e-03
1.37000e+02,7.16007e-03
1.38000e+02,7.17722e-03
1.39000e+02,7.18175e-03
1.40000e+02,7.21707e-03
1.41000e+02,7.26897e-03
1.42000e+02,7.30543e-03
1.43000e+02,7.30027e-03
1.44000e+02,7.30067e-03
1.45000e+02,7.30496e-03
1.46000e+02,7.34539e-03
1.47000e+02,7.37455e-03
