Pixels #,Intensity (a.u.)
0.00000e+00,1.34800e-02
1.00000e+00,1.33681e-02
2.00000e+00,1.33744e-02
3.00000e+00,1.34589e-02
4.00000e+00,1.35109e-02
5.00000e+00,1.34514e-02
6.00000e+00,1.32940e-02
7.00000e+00,1.31050e-02
8.00000e+00,1.30147e-02
9.00000e+00,1.30070e-02
1.00000e+01,1.30439e-02
1.10000e+01,1.30331e-02
1.20000e+01,1.30078e-02
1.30000e+01,1.29926e-02
1.40000e+01,1.29524e-02
1.50000e+01,1.28631e-02
1.60000e+01,1.26798e-02
1.70000e+01,1.24654e-02
1.80000e+01,1.22559e-02
1.90000e+01,1.21514e-02
2.00000e+01,1.21488e-02
2.10000e+01,1.21872e-02
2.20000e+01,1.21530e-02
2.30000e+01,1.20293e-02
2.40000e+01,1.18420e-02
2.50000e+01,1.16705e-02
2.60000e+01,1.15848e-02
2.70000e+01,1.15957e-02
2.80000e+01,1.16858e-02
2.90000e+01,1.17395e-02
3.00000e+01,1.17523e-02
3.10000e+01,1.16927e-02
3.20000e+01,1.15487e-02
3.30000e+01,1.13627e-02
3.40000e+01,1.11396e-02
3.50000e+01,1.10351e-02
3.60000e+01,1.09502e-02
3.70000e+01,1.09281e-02
3.80000e+01,1.08880e-02
3.90000e+01,1.08654e-02
4.00000e+01,1.08598e-02
4.10000e+01,1.08043e-02
4.20000e+01,1.07448e-02
4.30000e+01,1.06499e-02
4.40000e+01,1.05424e-02
4.50000e+01,1.03754e-02
4.60000e+01,1.01847e-02
4.70000e+01,1.00868e-02
4.80000e+01,1.01679e-02
4.90000e+01,1.03033e-02
5.00000e+01,1.04401e-02
5.10000e+01,1.05212e-02
5.20000e+01,1.06702e-02
5.30000e+01,1.08257e-02
5.40000e+01,1.10160e-02
5.50000e+01,1.11894e-02
5.60000e+01,1.13559e-02
5.70000e+01,1.14884e-02
5.80000e+01,1.14976e-02
5.90000e+01,1.14649e-02
6.00000e+01,1.14234e-02
6.10000e+01,1.14189e-02
6.20000e+01,1.14596e-02
6.30000e+01,1.14986e-02
6.40000e+01,1.15340e-02
6.50000e+01,1.15369e-02
6.60000e+01,1.15921e-02
6.70000e+01,1.16605e-02
6.80000e+01,1.17329e-02
6.90000e+01,1.17126e-02
7.00000e+01,1.17324e-02
7.10000e+01,1.17922e-02
