Pixels #,Intensity (a.u.)
0.00000e+00,1.40092e-02
1.00000e+00,1.40664e-02
2.00000e+00,1.41262e-02
3.00000e+00,1.41779e-02
4.00000e+00,1.42299e-02
5.00000e+00,1.42722e-02
6.00000e+00,1.42872e-02
7.00000e+00,1.42953e-02
8.00000e+00,1.43114e-02
9.00000e+00,1.43141e-02
1.00000e+01,1.42597e-02
1.10000e+01,1.41360e-02
1.20000e+01,1.40190e-02
1.30000e+01,1.39624e-02
1.40000e+01,1.39627e-02
1.50000e+01,1.39720e-02
1.60000e+01,1.38945e-02
1.70000e+01,1.37407e-02
1.80000e+01,1.35469e-02
1.90000e+01,1.33561e-02
2.00000e+01,1.31831e-02
2.10000e+01,1.30610e-02
2.20000e+01,1.29762e-02
2.30000e+01,1.28827e-02
2.40000e+01,1.27732e-02
2.50000e+01,1.25910e-02
2.60000e+01,1.23971e-02
2.70000e+01,1.22033e-02
2.80000e+01,1.20493e-02
2.90000e+01,1.19538e-02
3.00000e+01,1.19537e-02
3.10000e+01,1.19860e-02
3.20000e+01,1.20323e-02
3.30000e+01,1.20554e-02
3.40000e+01,1.20176e-02
3.50000e+01,1.19676e-02
3.60000e+01,1.19564e-02
3.70000e+01,1.19152e-02
3.80000e+01,1.18573e-02
3.90000e+01,1.16842e-02
4.00000e+01,1.14903e-02
4.10000e+01,1.12965e-02
4.20000e+01,1.11458e-02
4.30000e+01,1.10405e-02
4.40000e+01,1.09909e-02
4.50000e+01,1.09268e-02
4.60000e+01,1.08694e-02
4.70000e+01,1.09132e-02
4.80000e+01,1.10123e-02
4.90000e+01,1.11534e-02
5.00000e+01,1.12477e-02
5.10000e+01,1.13595e-02
5.20000e+01,1.14147e-02
5.30000e+01,1.14450e-02
5.40000e+01,1.14190e-02
5.50000e+01,1.13568e-02
5.60000e+01,1.13073e-02
5.70000e+01,1.13210e-02
5.80000e+01,1.13637e-02
5.90000e+01,1.13635e-02
6.00000e+01,1.13085e-02
6.10000e+01,1.12699e-02
6.20000e+01,1.12864e-02
6.30000e+01,1.12743e-02
6.40000e+01,1.11982e-02
6.50000e+01,1.10820e-02
6.60000e+01,1.10242e-02
6.70000e+01,1.10455e-02
6.80000e+01,1.10941e-02
6.90000e+01,1.11025e-02
7.00000e+01,1.10846e-02
7.10000e+01,1.10761e-02
7.20000e+01,1.10808e-02
7.30000e+01,1.10694e-02
7.40000e+01,1.10078e-02
7.50000e+01,1.10256e-02
7.60000e+01,1.10791e-02
7.70000e+01,1.12081e-02
7.80000e+01,1.13067e-02
7.90000e+01,1.14031e-02
8.00000e+01,1.14500e-02
8.10000e+01,1.13754e-02
8.20000e+01,1.11805e-02
8.30000e+01,1.09393e-02
8.40000e+01,1.07901e-02
