Pixels #,Intensity (a.u.)
0.00000e+00,8.19095e-03
1.00000e+00,8.20295e-03
2.00000e+00,8.24295e-03
3.00000e+00,8.27217e-03
4.00000e+00,8.27378e-03
5.00000e+00,8.25425e-03
6.00000e+00,8.22230e-03
7.00000e+00,8.20834e-03
8.00000e+00,8.22155e-03
9.00000e+00,8.24353e-03
1.00000e+01,8.25104e-03
1.10000e+01,8.22769e-03
1.20000e+01,8.22922e-03
1.30000e+01,8.26151e-03
1.40000e+01,8.34339e-03
1.50000e+01,8.40702e-03
1.60000e+01,8.41507e-03
1.70000e+01,8.34567e-03
1.80000e+01,8.23576e-03
1.90000e+01,8.12586e-03
2.00000e+01,8.02298e-03
2.10000e+01,7.92604e-03
2.20000e+01,7.86607e-03
2.30000e+01,7.84575e-03
2.40000e+01,7.85241e-03
2.50000e+01,7.87337e-03
2.60000e+01,7.89299e-03
2.70000e+01,7.91015e-03
2.80000e+01,7.90685e-03
2.90000e+01,7.88891e-03
3.00000e+01,7.88538e-03
3.10000e+01,7.93115e-03
3.20000e+01,7.99521e-03
3.30000e+01,8.01519e-03
3.40000e+01,7.96932e-03
3.50000e+01,7.90211e-03
3.60000e+01,7.85751e-03
3.70000e+01,7.85331e-03
3.80000e+01,7.86538e-03
3.90000e+01,7.88692e-03
4.00000e+01,7.88774e-03
4.10000e+01,7.88763e-03
4.20000e+01,7.87981e-03
4.30000e+01,7.86694e-03
4.40000e+01,7.81867e-03
4.50000e+01,7.75699e-03
4.60000e+01,7.68855e-03
4.70000e+01,7.70203e-03
4.80000e+01,7.73282e-03
4.90000e+01,7.75999e-03
5.00000e+01,7.75226e-03
5.10000e+01,7.73323e-03
5.20000e+01,7.67804e-03
5.30000e+01,7.69633e-03
5.40000e+01,7.74001e-03
5.50000e+01,7.78846e-03
5.60000e+01,7.81882e-03
5.70000e+01,7.87182e-03
5.80000e+01,7.94976e-03
5.90000e+01,7.98746e-03
6.00000e+01,7.98598e-03
6.10000e+01,7.96659e-03
6.20000e+01,7.97280e-03
6.30000e+01,8.01127e-03
6.40000e+01,8.06297e-03
6.50000e+01,8.11849e-03
6.60000e+01,8.14256e-03
6.70000e+01,8.11009e-03
6.80000e+01,8.05535e-03
6.90000e+01,7.96746e-03
7.00000e+01,7.92183e-03
7.10000e+01,7.88012e-03
7.20000e+01,7.85930e-03
7.30000e+01,7.84233e-03
7.40000e+01,7.84583e-03
7.50000e+01,7.88463e-03
7.60000e+01,7.91672e-03
7.70000e+01,7.92838e-03
7.80000e+01,7.94343e-03
7.90000e+01,8.00843e-03
8.00000e+01,8.11325e-03
8.10000e+01,8.15616e-03
8.20000e+01,8.09162e-03
8.30000e+01,7.95067e-03
8.40000e+01,7.84937e-03
8.50000e+01,7.80646e-03
8.60000e+01,7.79925e-03
8.70000e+01,7.81131e-03
8.80000e+01,7.85002e-03
8.90000e+01,7.94787e-03
9.00000e+01,8.04840e-03
9.10000e+01,8.11311e-03
9.20000e+01,8.09491e-03
9.30000e+01,8.02345e-03
9.40000e+01,7.96723e-03
9.50000e+01,7.94511e-03
9.60000e+01,7.95721e-03
9.70000e+01,7.98539e-03
9.80000e+01,8.02636e-03
9.90000e+01,8.04672e-03
1.00000e+02,8.05200e-03
1.01000e+02,8.05202e-03
1.02000e+02,8.08005e-03
1.03000e+02,8.08338e-03
1.04000e+02,8.06255e-03
1.05000e+02,7.99366e-03
1.06000e+02,7.93900e-03
1.07000e+02,7.91671e-03
1.08000e+02,7.94392e-03
1.09000e+02,7.98377e-03
1.10000e+02,8.01510e-03
1.11000e+02,8.05311e-03
1.12000e+02,8.12513e-03
1.13000e+02,8.17739e-03
1.14000e+02,8.21261e-03
1.15000e+02,8.20793e-03
1.16000e+02,8.19740e-03
1.17000e+02,8.17315e-03
1.18000e+02,8.14011e-03
1.19000e+02,8.10634e-03
1.20000e+02,8.06402e-03
1.21000e+02,8.01998e-03
1.22000e+02,7.94521e-03
1.23000e+02,7.88442e-03
1.24000e+02,7.85246e-03
1.25000e+02,7.88327e-03
1.26000e+02,7.94864e-03
1.27000e+02,8.03143e-03
1.28000e+02,8.08753e-03
1.29000e+02,8.11390e-03
1.30000e+02,8.10523e-03
1.31000e+02,8.08529e-03
1.32000e+02,8.02363e-03
1.33000e+02,7.95173e-03
1.34000e+02,7.87609e-03
1.35000e+02,7.85635e-03
1.36000e+02,7.84712e-03
1.37000e+02,7.85799e-03
1.38000e+02,7.85013e-03
1.39000e+02,7.84795e-03
1.40000e+02,7.84622e-03
1.41000e+02,7.83262e-03
1.42000e+02,7.80493e-03
1.43000e+02,7.77214e-03
1.44000e+02,7.74799e-03
1.45000e+02,7.74714e-03
1.46000e+02,7.79303e-03
1.47000e+02,7.86456e-03
1.48000e+02,7.92911e-03
1.49000e+02,7.95647e-03
1.50000e+02,7.98724e-03
1.51000e+02,7.98452e-03
1.52000e+02,7.95925e-03
1.53000e+02,7.90704e-03
1.54000e+02,7.88276e-03
1.55000e+02,7.86570e-03
1.56000e+02,7.85568e-03
1.57000e+02,7.85253e-03
1.58000e+02,7.92650e-03
1.59000e+02,8.04333e-03
1.60000e+02,8.23768e-03
1.61000e+02,8.39760e-03
1.62000e+02,8.54295e-03
1.63000e+02,8.64237e-03
1.64000e+02,8.72919e-03
1.65000e+02,8.80046e-03
1.66000e+02,8.86592e-03
1.67000e+02,8.93397e-03
1.68000e+02,9.00839e-03
1.69000e+02,9.06122e-03
1.70000e+02,9.10067e-03
1.71000e+02,9.09587e-03
1.72000e+02,9.10868e-03
1.73000e+02,9.15380e-03
1.74000e+02,9.26329e-03
1.75000e+02,9.35446e-03
1.76000e+02,9.41769e-03
1.77000e+02,9.43147e-03
1.78000e+02,9.39270e-03
1.79000e+02,9.28991e-03
1.80000e+02,9.13608e-03
1.81000e+02,9.00815e-03
1.82000e+02,8.93939e-03
1.83000e+02,8.95877e-03
1.84000e+02,9.02797e-03
1.85000e+02,9.11478e-03
1.86000e+02,9.17373e-03
1.87000e+02,9.19378e-03
1.88000e+02,9.16192e-03
1.89000e+02,9.10917e-03
1.90000e+02,9.06112e-03
1.91000e+02,9.04399e-03
1.92000e+02,9.04318e-03
1.93000e+02,9.04975e-03
1.94000e+02,9.05353e-03
1.95000e+02,9.04628e-03
1.96000e+02,8.99458e-03
1.97000e+02,8.91109e-03
1.98000e+02,8.83798e-03
1.99000e+02,8.82058e-03
2.00000e+02,8.86374e-03
2.01000e+02,8.93359e-03
2.02000e+02,8.98883e-03
2.03000e+02,9.00138e-03
2.04000e+02,8.98605e-03
2.05000e+02,8.96774e-03
2.06000e+02,8.96780e-03
2.07000e+02,8.99260e-03
2.08000e+02,9.03431e-03
2.09000e+02,9.12126e-03
2.10000e+02,9.19599e-03
2.11000e+02,9.26816e-03
2.12000e+02,9.27965e-03
2.13000e+02,9.27972e-03
2.14000e+02,9.25317e-03
2.15000e+02,9.23888e-03
2.16000e+02,9.22088e-03
2.17000e+02,9.19380e-03
2.18000e+02,9.12414e-03
2.19000e+02,9.03935e-03
2.20000e+02,8.97631e-03
2.21000e+02,8.94926e-03
2.22000e+02,8.95182e-03
2.23000e+02,8.95696e-03
2.24000e+02,8.97521e-03
2.25000e+02,9.02153e-03
2.26000e+02,9.07287e-03
2.27000e+02,9.14094e-03
2.28000e+02,9.19343e-03
2.29000e+02,9.27303e-03
2.30000e+02,9.34181e-03
2.31000e+02,9.38560e-03
2.32000e+02,9.42188e-03
2.33000e+02,9.43950e-03
2.34000e+02,9.47307e-03
2.35000e+02,9.45455e-03
2.36000e+02,9.40139e-03
2.37000e+02,9.31815e-03
2.38000e+02,9.22763e-03
2.39000e+02,9.16841e-03
2.40000e+02,9.10668e-03
2.41000e+02,9.06875e-03
2.42000e+02,9.04841e-03
2.43000e+02,9.06016e-03
2.44000e+02,9.07494e-03
2.45000e+02,9.07118e-03
2.46000e+02,9.05214e-03
2.47000e+02,8.99002e-03
2.48000e+02,8.92604e-03
2.49000e+02,8.85139e-03
2.50000e+02,8.82006e-03
2.51000e+02,8.75628e-03
2.52000e+02,8.69449e-03
2.53000e+02,8.61007e-03
2.54000e+02,8.51232e-03
2.55000e+02,8.40168e-03
2.56000e+02,8.28080e-03
2.57000e+02,8.18388e-03
2.58000e+02,8.12478e-03
2.59000e+02,8.14132e-03
2.60000e+02,8.16989e-03
2.61000e+02,8.17750e-03
2.62000e+02,8.13658e-03
2.63000e+02,8.09312e-03
2.64000e+02,8.04792e-03
2.65000e+02,7.98822e-03
2.66000e+02,7.94591e-03
2.67000e+02,7.88412e-03
2.68000e+02,7.86869e-03
2.69000e+02,7.88163e-03
2.70000e+02,7.97744e-03
2.71000e+02,8.08413e-03
2.72000e+02,8.19564e-03
2.73000e+02,8.27474e-03
2.74000e+02,8.31719e-03
2.75000e+02,8.29914e-03
2.76000e+02,8.21720e-03
2.77000e+02,8.10833e-03
2.78000e+02,8.04344e-03
2.79000e+02,8.07178e-03
2.80000e+02,8.17255e-03
2.81000e+02,8.28534e-03
2.82000e+02,8.34511e-03
2.83000e+02,8.35843e-03
2.84000e+02,8.35043e-03
2.85000e+02,8.34739e-03
2.86000e+02,8.35007e-03
2.87000e+02,8.37729e-03
2.88000e+02,8.43471e-03
2.89000e+02,8.50648e-03
2.90000e+02,8.52651e-03
2.91000e+02,8.48115e-03
2.92000e+02,8.41547e-03
2.93000e+02,8.41673e-03
2.94000e+02,8.48535e-03
2.95000e+02,8.60497e-03
2.96000e+02,8.69677e-03
2.97000e+02,8.75463e-03
2.98000e+02,8.72804e-03
2.99000e+02,8.63719e-03
3.00000e+02,8.48126e-03
3.01000e+02,8.36228e-03
3.02000e+02,8.31536e-03
3.03000e+02,8.33700e-03
3.04000e+02,8.33562e-03
3.05000e+02,8.27197e-03
3.06000e+02,8.18833e-03
3.07000e+02,8.12901e-03
3.08000e+02,8.10663e-03
3.09000e+02,8.13241e-03
3.10000e+02,8.11395e-03
3.11000e+02,8.04135e-03
3.12000e+02,7.94562e-03
3.13000e+02,7.86046e-03
3.14000e+02,7.83409e-03
3.15000e+02,7.85611e-03
3.16000e+02,7.85189e-03
3.17000e+02,7.83084e-03
3.18000e+02,7.75202e-03
3.19000e+02,7.67701e-03
3.20000e+02,7.55488e-03
3.21000e+02,7.48315e-03
3.22000e+02,7.50401e-03
3.23000e+02,7.65097e-03
3.24000e+02,7.80335e-03
3.25000e+02,7.89236e-03
3.26000e+02,7.94291e-03
3.27000e+02,7.97697e-03
3.28000e+02,8.00954e-03
3.29000e+02,8.03269e-03
3.30000e+02,8.00007e-03
3.31000e+02,7.95799e-03
3.32000e+02,7.93178e-03
3.33000e+02,7.96257e-03
3.34000e+02,7.96923e-03
3.35000e+02,7.92643e-03
3.36000e+02,7.87121e-03
3.37000e+02,7.88090e-03
3.38000e+02,8.00595e-03
3.39000e+02,8.15403e-03
3.40000e+02,8.25735e-03
3.41000e+02,8.26888e-03
3.42000e+02,8.24557e-03
3.43000e+02,8.21073e-03
3.44000e+02,8.23066e-03
3.45000e+02,8.30454e-03
3.46000e+02,8.41883e-03
3.47000e+02,8.49496e-03
3.48000e+02,8.52449e-03
3.49000e+02,8.45639e-03
3.50000e+02,8.28971e-03
3.51000e+02,8.12234e-03
3.52000e+02,7.99522e-03
3.53000e+02,7.97208e-03
3.54000e+02,7.99321e-03
3.55000e+02,8.01085e-03
3.56000e+02,7.98226e-03
3.57000e+02,7.89195e-03
3.58000e+02,7.84428e-03
3.59000e+02,7.82492e-03
3.60000e+02,7.88158e-03
3.61000e+02,7.88779e-03
3.62000e+02,7.85992e-03
3.63000e+02,7.76592e-03
3.64000e+02,7.65348e-03
3.65000e+02,7.56092e-03
3.66000e+02,7.51133e-03
3.67000e+02,7.51514e-03
3.68000e+02,7.57483e-03
3.69000e+02,7.64336e-03
3.70000e+02,7.68859e-03
3.71000e+02,7.66408e-03
3.72000e+02,7.54910e-03
3.73000e+02,7.41098e-03
3.74000e+02,7.28885e-03
3.75000e+02,7.26707e-03
3.76000e+02,7.30468e-03
3.77000e+02,7.34941e-03
3.78000e+02,7.36206e-03
3.79000e+02,7.32760e-03
3.80000e+02,7.25622e-03
3.81000e+02,7.18850e-03
3.82000e+02,7.15085e-03
3.83000e+02,7.12804e-03
3.84000e+02,7.02842e-03
3.85000e+02,6.92427e-03
3.86000e+02,6.80121e-03
3.87000e+02,6.75534e-03
3.88000e+02,6.72998e-03
3.89000e+02,6.75176e-03
3.90000e+02,6.80634e-03
3.91000e+02,6.88960e-03
3.92000e+02,6.94359e-03
3.93000e+02,6.92448e-03
3.94000e+02,6.85148e-03
3.95000e+02,6.79362e-03
3.96000e+02,6.80208e-03
3.97000e+02,6.84651e-03
3.98000e+02,6.88713e-03
3.99000e+02,6.90448e-03
4.00000e+02,6.89600e-03
4.01000e+02,6.91555e-03
4.02000e+02,6.97131e-03
4.03000e+02,7.02034e-03
4.04000e+02,7.07233e-03
4.05000e+02,7.07810e-03
4.06000e+02,7.04483e-03
4.07000e+02,7.01634e-03
4.08000e+02,6.98618e-03
4.09000e+02,6.99213e-03
4.10000e+02,6.96232e-03
4.11000e+02,6.96232e-03
4.12000e+02,6.94274e-03
4.13000e+02,6.88961e-03
4.14000e+02,6.78201e-03
4.15000e+02,6.69598e-03
4.16000e+02,6.66751e-03
4.17000e+02,6.66730e-03
4.18000e+02,6.67138e-03
4.19000e+02,6.68547e-03
4.20000e+02,6.70399e-03
4.21000e+02,6.72986e-03
4.22000e+02,6.77348e-03
4.23000e+02,6.81350e-03
4.24000e+02,6.81511e-03
4.25000e+02,6.78994e-03
4.26000e+02,6.78932e-03
4.27000e+02,6.84175e-03
4.28000e+02,6.89911e-03
4.29000e+02,6.92363e-03
4.30000e+02,6.91546e-03
4.31000e+02,6.88634e-03
4.32000e+02,6.81094e-03
