Pixels #,Intensity (a.u.)
0.00000e+00,1.85032e-02
1.00000e+00,1.84550e-02
2.00000e+00,1.83994e-02
3.00000e+00,1.82847e-02
4.00000e+00,1.81246e-02
5.00000e+00,1.79234e-02
6.00000e+00,1.77117e-02
7.00000e+00,1.75254e-02
8.00000e+00,1.73597e-02
9.00000e+00,1.71523e-02
1.00000e+01,1.69232e-02
1.10000e+01,1.66636e-02
1.20000e+01,1.64647e-02
1.30000e+01,1.62859e-02
1.40000e+01,1.61375e-02
1.50000e+01,1.59918e-02
1.60000e+01,1.58313e-02
1.70000e+01,1.56401e-02
1.80000e+01,1.54051e-02
1.90000e+01,1.51414e-02
2.00000e+01,1.48764e-02
2.10000e+01,1.45913e-02
2.20000e+01,1.43389e-02
2.30000e+01,1.40954e-02
2.40000e+01,1.38725e-02
2.50000e+01,1.35867e-02
2.60000e+01,1.33002e-02
2.70000e+01,1.30137e-02
2.80000e+01,1.27477e-02
2.90000e+01,1.25358e-02
3.00000e+01,1.24228e-02
3.10000e+01,1.23974e-02
3.20000e+01,1.23838e-02
3.30000e+01,1.23042e-02
3.40000e+01,1.21790e-02
3.50000e+01,1.20407e-02
3.60000e+01,1.19599e-02
3.70000e+01,1.18216e-02
3.80000e+01,1.16617e-02
3.90000e+01,1.14111e-02
4.00000e+01,1.11371e-02
4.10000e+01,1.08506e-02
4.20000e+01,1.05839e-02
4.30000e+01,1.03820e-02
4.40000e+01,1.02052e-02
4.50000e+01,1.00298e-02
4.60000e+01,9.84270e-03
4.70000e+01,9.79826e-03
4.80000e+01,9.86699e-03
4.90000e+01,9.97030e-03
5.00000e+01,1.00051e-02
5.10000e+01,9.98648e-03
5.20000e+01,9.94479e-03
5.30000e+01,9.97394e-03
5.40000e+01,1.00171e-02
5.50000e+01,1.00269e-02
5.60000e+01,9.92937e-03
5.70000e+01,9.82740e-03
5.80000e+01,9.74788e-03
5.90000e+01,9.69252e-03
6.00000e+01,9.63111e-03
6.10000e+01,9.58297e-03
6.20000e+01,9.58020e-03
6.30000e+01,9.50726e-03
6.40000e+01,9.33955e-03
6.50000e+01,9.15094e-03
6.60000e+01,9.07495e-03
6.70000e+01,9.14880e-03
6.80000e+01,9.25314e-03
6.90000e+01,9.30043e-03
7.00000e+01,9.29023e-03
7.10000e+01,9.28738e-03
7.20000e+01,9.29877e-03
7.30000e+01,9.27812e-03
7.40000e+01,9.18960e-03
7.50000e+01,9.13664e-03
7.60000e+01,9.13902e-03
7.70000e+01,9.23739e-03
7.80000e+01,9.36043e-03
