Pixels #,Intensity (a.u.)
0.00000e+00,1.60265e-02
1.00000e+00,1.59077e-02
2.00000e+00,1.57978e-02
3.00000e+00,1.56644e-02
4.00000e+00,1.55131e-02
5.00000e+00,1.53071e-02
6.00000e+00,1.50879e-02
7.00000e+00,1.48961e-02
8.00000e+00,1.47344e-02
9.00000e+00,1.45784e-02
1.00000e+01,1.43918e-02
1.10000e+01,1.41860e-02
1.20000e+01,1.40174e-02
1.30000e+01,1.38905e-02
1.40000e+01,1.38148e-02
1.50000e+01,1.37403e-02
1.60000e+01,1.36008e-02
1.70000e+01,1.33637e-02
1.80000e+01,1.31134e-02
1.90000e+01,1.28631e-02
2.00000e+01,1.26286e-02
2.10000e+01,1.24163e-02
2.20000e+01,1.22448e-02
2.30000e+01,1.20986e-02
2.40000e+01,1.19430e-02
2.50000e+01,1.17630e-02
2.60000e+01,1.15614e-02
2.70000e+01,1.13713e-02
2.80000e+01,1.11991e-02
2.90000e+01,1.10506e-02
3.00000e+01,1.09220e-02
3.10000e+01,1.08246e-02
3.20000e+01,1.07403e-02
3.30000e+01,1.05923e-02
3.40000e+01,1.03782e-02
3.50000e+01,1.01279e-02
3.60000e+01,9.88914e-03
3.70000e+01,9.70411e-03
3.80000e+01,9.53673e-03
3.90000e+01,9.39433e-03
4.00000e+01,9.21040e-03
4.10000e+01,9.03371e-03
4.20000e+01,8.84105e-03
4.30000e+01,8.64457e-03
4.40000e+01,8.41145e-03
4.50000e+01,8.16410e-03
4.60000e+01,7.94092e-03
4.70000e+01,7.81276e-03
4.80000e+01,7.75728e-03
4.90000e+01,7.74314e-03
5.00000e+01,7.65459e-03
5.10000e+01,7.54251e-03
5.20000e+01,7.41787e-03
5.30000e+01,7.40696e-03
5.40000e+01,7.42207e-03
5.50000e+01,7.44457e-03
5.60000e+01,7.40967e-03
5.70000e+01,7.40967e-03
5.80000e+01,7.45455e-03
5.90000e+01,7.52293e-03
6.00000e+01,7.57117e-03
6.10000e+01,7.59273e-03
6.20000e+01,7.60388e-03
6.30000e+01,7.58634e-03
6.40000e+01,7.57351e-03
6.50000e+01,7.53888e-03
6.60000e+01,7.48298e-03
6.70000e+01,7.37542e-03
6.80000e+01,7.28688e-03
6.90000e+01,7.19872e-03
7.00000e+01,7.14739e-03
7.10000e+01,7.10437e-03
7.20000e+01,7.07547e-03
7.30000e+01,6.97667e-03
7.40000e+01,6.85577e-03
7.50000e+01,6.72765e-03
7.60000e+01,6.65716e-03
7.70000e+01,6.61200e-03
7.80000e+01,6.58281e-03
7.90000e+01,6.56345e-03
8.00000e+01,6.55970e-03
8.10000e+01,6.51366e-03
8.20000e+01,6.39744e-03
8.30000e+01,6.26187e-03
8.40000e+01,6.20772e-03
8.50000e+01,6.24810e-03
8.60000e+01,6.33156e-03
8.70000e+01,6.41719e-03
8.80000e+01,6.48001e-03
8.90000e+01,6.52412e-03
9.00000e+01,6.50927e-03
9.10000e+01,6.43854e-03
9.20000e+01,6.34603e-03
9.30000e+01,6.21711e-03
9.40000e+01,6.13478e-03
9.50000e+01,6.08395e-03
9.60000e+01,6.10204e-03
9.70000e+01,6.13587e-03
9.80000e+01,6.16324e-03
9.90000e+01,6.15863e-03
1.00000e+02,6.13708e-03
1.01000e+02,6.12929e-03
1.02000e+02,6.17173e-03
1.03000e+02,6.19560e-03
1.04000e+02,6.18607e-03
1.05000e+02,6.10423e-03
1.06000e+02,6.00373e-03
1.07000e+02,5.93910e-03
1.08000e+02,5.96279e-03
1.09000e+02,5.97961e-03
1.10000e+02,6.00480e-03
1.11000e+02,6.00589e-03
1.12000e+02,6.02534e-03
1.13000e+02,6.02297e-03
1.14000e+02,6.01488e-03
1.15000e+02,5.99276e-03
1.16000e+02,5.98829e-03
1.17000e+02,6.00477e-03
1.18000e+02,5.98447e-03
1.19000e+02,5.91736e-03
1.20000e+02,5.81550e-03
1.21000e+02,5.70629e-03
1.22000e+02,5.58343e-03
1.23000e+02,5.47920e-03
1.24000e+02,5.43704e-03
1.25000e+02,5.46264e-03
1.26000e+02,5.52924e-03
1.27000e+02,5.60085e-03
1.28000e+02,5.60844e-03
1.29000e+02,5.60998e-03
1.30000e+02,5.58875e-03
1.31000e+02,5.62196e-03
1.32000e+02,5.61727e-03
1.33000e+02,5.62313e-03
1.34000e+02,5.62102e-03
1.35000e+02,5.64738e-03
1.36000e+02,5.65654e-03
1.37000e+02,5.62941e-03
1.38000e+02,5.55454e-03
1.39000e+02,5.45344e-03
1.40000e+02,5.38520e-03
1.41000e+02,5.40920e-03
1.42000e+02,5.48604e-03
1.43000e+02,5.55397e-03
1.44000e+02,5.56706e-03
1.45000e+02,5.56298e-03
1.46000e+02,5.56619e-03
1.47000e+02,5.61062e-03
1.48000e+02,5.65229e-03
1.49000e+02,5.64814e-03
1.50000e+02,5.60221e-03
1.51000e+02,5.51034e-03
1.52000e+02,5.43858e-03
1.53000e+02,5.35869e-03
1.54000e+02,5.32121e-03
1.55000e+02,5.27621e-03
1.56000e+02,5.26613e-03
1.57000e+02,5.29430e-03
1.58000e+02,5.36668e-03
1.59000e+02,5.45403e-03
1.60000e+02,5.56814e-03
1.61000e+02,5.65946e-03
1.62000e+02,5.68289e-03
1.63000e+02,5.67755e-03
1.64000e+02,5.72543e-03
1.65000e+02,5.77480e-03
1.66000e+02,5.78940e-03
1.67000e+02,5.76307e-03
1.68000e+02,5.78461e-03
1.69000e+02,5.86531e-03
1.70000e+02,5.98278e-03
1.71000e+02,6.07163e-03
1.72000e+02,6.14573e-03
1.73000e+02,6.20340e-03
1.74000e+02,6.25202e-03
1.75000e+02,6.27136e-03
1.76000e+02,6.27997e-03
1.77000e+02,6.28261e-03
1.78000e+02,6.26504e-03
1.79000e+02,6.19685e-03
1.80000e+02,6.10423e-03
1.81000e+02,6.01592e-03
1.82000e+02,6.00361e-03
1.83000e+02,6.03212e-03
1.84000e+02,6.13355e-03
1.85000e+02,6.23533e-03
1.86000e+02,6.32361e-03
1.87000e+02,6.37259e-03
1.88000e+02,6.40384e-03
1.89000e+02,6.42888e-03
1.90000e+02,6.46767e-03
1.91000e+02,6.49516e-03
1.92000e+02,6.52125e-03
1.93000e+02,6.50540e-03
1.94000e+02,6.49824e-03
1.95000e+02,6.48033e-03
1.96000e+02,6.44724e-03
1.97000e+02,6.37195e-03
1.98000e+02,6.32577e-03
1.99000e+02,6.30082e-03
2.00000e+02,6.29894e-03
2.01000e+02,6.30373e-03
2.02000e+02,6.33378e-03
2.03000e+02,6.37722e-03
2.04000e+02,6.41216e-03
2.05000e+02,6.44497e-03
2.06000e+02,6.49413e-03
2.07000e+02,6.58978e-03
2.08000e+02,6.70689e-03
2.09000e+02,6.88885e-03
2.10000e+02,7.06545e-03
2.11000e+02,7.20300e-03
2.12000e+02,7.27083e-03
2.13000e+02,7.34547e-03
2.14000e+02,7.38003e-03
2.15000e+02,7.37252e-03
2.16000e+02,7.31067e-03
2.17000e+02,7.24407e-03
2.18000e+02,7.18260e-03
2.19000e+02,7.16448e-03
2.20000e+02,7.16025e-03
2.21000e+02,7.21129e-03
2.22000e+02,7.26748e-03
2.23000e+02,7.32637e-03
2.24000e+02,7.36540e-03
2.25000e+02,7.40666e-03
2.26000e+02,7.43342e-03
2.27000e+02,7.45563e-03
2.28000e+02,7.46614e-03
2.29000e+02,7.52992e-03
2.30000e+02,7.62350e-03
2.31000e+02,7.71315e-03
2.32000e+02,7.73825e-03
2.33000e+02,7.69192e-03
2.34000e+02,7.65326e-03
2.35000e+02,7.58903e-03
2.36000e+02,7.49727e-03
2.37000e+02,7.42250e-03
2.38000e+02,7.36967e-03
2.39000e+02,7.34570e-03
2.40000e+02,7.31298e-03
2.41000e+02,7.29028e-03
2.42000e+02,7.29028e-03
2.43000e+02,7.32369e-03
2.44000e+02,7.34363e-03
2.45000e+02,7.33311e-03
2.46000e+02,7.27663e-03
2.47000e+02,7.19041e-03
2.48000e+02,7.09029e-03
2.49000e+02,7.02199e-03
2.50000e+02,6.97511e-03
2.51000e+02,6.92010e-03
2.52000e+02,6.85576e-03
2.53000e+02,6.83320e-03
2.54000e+02,6.83632e-03
2.55000e+02,6.83054e-03
2.56000e+02,6.80046e-03
2.57000e+02,6.78779e-03
2.58000e+02,6.78790e-03
2.59000e+02,6.77832e-03
2.60000e+02,6.72962e-03
2.61000e+02,6.66544e-03
2.62000e+02,6.60360e-03
2.63000e+02,6.57885e-03
2.64000e+02,6.56745e-03
2.65000e+02,6.56047e-03
2.66000e+02,6.55256e-03
