Pixels #,Intensity (a.u.)
0.00000e+00,9.02905e-03
1.00000e+00,8.97933e-03
2.00000e+00,8.94588e-03
3.00000e+00,8.90367e-03
4.00000e+00,8.86072e-03
5.00000e+00,8.80888e-03
6.00000e+00,8.77074e-03
7.00000e+00,8.74435e-03
8.00000e+00,8.73153e-03
9.00000e+00,8.70476e-03
1.00000e+01,8.64352e-03
1.10000e+01,8.53943e-03
1.20000e+01,8.43502e-03
1.30000e+01,8.35108e-03
1.40000e+01,8.30913e-03
1.50000e+01,8.29379e-03
1.60000e+01,8.25910e-03
1.70000e+01,8.17238e-03
1.80000e+01,8.04205e-03
1.90000e+01,7.91171e-03
2.00000e+01,7.78609e-03
2.10000e+01,7.65945e-03
2.20000e+01,7.56423e-03
2.30000e+01,7.51084e-03
2.40000e+01,7.48674e-03
2.50000e+01,7.45638e-03
2.60000e+01,7.40092e-03
2.70000e+01,7.34379e-03
2.80000e+01,7.29445e-03
2.90000e+01,7.27042e-03
3.00000e+01,7.26672e-03
3.10000e+01,7.26961e-03
3.20000e+01,7.27532e-03
3.30000e+01,7.22307e-03
3.40000e+01,7.13207e-03
3.50000e+01,7.00433e-03
3.60000e+01,6.91651e-03
3.70000e+01,6.86414e-03
3.80000e+01,6.83195e-03
3.90000e+01,6.79927e-03
4.00000e+01,6.74804e-03
4.10000e+01,6.70116e-03
4.20000e+01,6.63963e-03
4.30000e+01,6.57228e-03
4.40000e+01,6.47389e-03
4.50000e+01,6.37872e-03
4.60000e+01,6.30303e-03
4.70000e+01,6.33286e-03
4.80000e+01,6.40975e-03
4.90000e+01,6.47488e-03
5.00000e+01,6.48522e-03
5.10000e+01,6.49397e-03
5.20000e+01,6.48114e-03
5.30000e+01,6.52072e-03
5.40000e+01,6.52207e-03
5.50000e+01,6.50210e-03
5.60000e+01,6.43579e-03
5.70000e+01,6.42382e-03
5.80000e+01,6.43774e-03
5.90000e+01,6.42909e-03
6.00000e+01,6.38411e-03
6.10000e+01,6.31512e-03
6.20000e+01,6.28056e-03
6.30000e+01,6.23995e-03
6.40000e+01,6.21014e-03
6.50000e+01,6.15990e-03
