Pixels #,Intensity (a.u.)
0.00000e+00,6.54395e-03
1.00000e+00,6.57195e-03
2.00000e+00,6.65137e-03
3.00000e+00,6.72595e-03
4.00000e+00,6.80387e-03
5.00000e+00,6.85878e-03
6.00000e+00,6.90939e-03
7.00000e+00,6.94606e-03
8.00000e+00,6.97420e-03
9.00000e+00,6.99473e-03
1.00000e+01,7.01504e-03
1.10000e+01,7.03970e-03
1.20000e+01,7.10532e-03
1.30000e+01,7.21137e-03
1.40000e+01,7.35015e-03
1.50000e+01,7.48516e-03
1.60000e+01,7.56728e-03
1.70000e+01,7.57728e-03
1.80000e+01,7.51183e-03
1.90000e+01,7.43738e-03
2.00000e+01,7.37497e-03
2.10000e+01,7.32080e-03
2.20000e+01,7.30822e-03
2.30000e+01,7.31084e-03
2.40000e+01,7.33415e-03
2.50000e+01,7.37246e-03
2.60000e+01,7.42437e-03
2.70000e+01,7.49679e-03
2.80000e+01,7.56671e-03
2.90000e+01,7.64635e-03
3.00000e+01,7.75440e-03
3.10000e+01,7.86511e-03
3.20000e+01,7.94875e-03
3.30000e+01,7.95627e-03
3.40000e+01,7.93775e-03
3.50000e+01,7.94019e-03
3.60000e+01,7.99641e-03
3.70000e+01,8.06751e-03
3.80000e+01,8.10756e-03
3.90000e+01,8.12986e-03
4.00000e+01,8.13814e-03
4.10000e+01,8.17421e-03
4.20000e+01,8.21168e-03
4.30000e+01,8.25041e-03
4.40000e+01,8.25837e-03
4.50000e+01,8.25675e-03
4.60000e+01,8.26527e-03
4.70000e+01,8.34677e-03
4.80000e+01,8.46590e-03
4.90000e+01,8.59257e-03
5.00000e+01,8.68455e-03
5.10000e+01,8.77470e-03
5.20000e+01,8.79514e-03
5.30000e+01,8.82134e-03
5.40000e+01,8.84014e-03
5.50000e+01,8.84724e-03
5.60000e+01,8.83151e-03
5.70000e+01,8.79125e-03
5.80000e+01,8.76714e-03
5.90000e+01,8.74703e-03
6.00000e+01,8.76782e-03
6.10000e+01,8.79451e-03
6.20000e+01,8.84143e-03
6.30000e+01,8.88995e-03
6.40000e+01,8.95709e-03
6.50000e+01,9.02853e-03
6.60000e+01,9.04347e-03
6.70000e+01,8.98803e-03
6.80000e+01,8.92333e-03
6.90000e+01,8.89029e-03
7.00000e+01,8.90883e-03
7.10000e+01,8.93947e-03
7.20000e+01,8.95073e-03
7.30000e+01,8.91234e-03
7.40000e+01,8.83720e-03
7.50000e+01,8.81818e-03
7.60000e+01,8.81817e-03
7.70000e+01,8.84534e-03
7.80000e+01,8.87231e-03
7.90000e+01,8.96042e-03
8.00000e+01,9.02947e-03
8.10000e+01,9.02397e-03
8.20000e+01,8.89435e-03
8.30000e+01,8.74859e-03
8.40000e+01,8.67950e-03
8.50000e+01,8.71165e-03
8.60000e+01,8.77337e-03
8.70000e+01,8.86029e-03
8.80000e+01,8.97357e-03
8.90000e+01,9.18334e-03
9.00000e+01,9.37726e-03
9.10000e+01,9.49811e-03
9.20000e+01,9.50531e-03
9.30000e+01,9.44723e-03
9.40000e+01,9.41644e-03
9.50000e+01,9.38537e-03
9.60000e+01,9.36071e-03
9.70000e+01,9.32796e-03
9.80000e+01,9.34951e-03
9.90000e+01,9.40526e-03
1.00000e+02,9.49911e-03
1.01000e+02,9.56773e-03
1.02000e+02,9.63920e-03
1.03000e+02,9.62718e-03
1.04000e+02,9.56540e-03
1.05000e+02,9.44371e-03
1.06000e+02,9.34281e-03
1.07000e+02,9.28830e-03
1.08000e+02,9.30139e-03
1.09000e+02,9.37795e-03
1.10000e+02,9.44110e-03
1.11000e+02,9.47537e-03
1.12000e+02,9.53133e-03
1.13000e+02,9.58903e-03
1.14000e+02,9.67433e-03
1.15000e+02,9.72522e-03
1.16000e+02,9.77253e-03
1.17000e+02,9.80236e-03
1.18000e+02,9.79702e-03
1.19000e+02,9.75660e-03
1.20000e+02,9.66593e-03
1.21000e+02,9.54608e-03
1.22000e+02,9.44309e-03
1.23000e+02,9.40195e-03
1.24000e+02,9.43029e-03
1.25000e+02,9.46079e-03
1.26000e+02,9.48399e-03
1.27000e+02,9.50173e-03
1.28000e+02,9.54718e-03
1.29000e+02,9.61976e-03
1.30000e+02,9.67168e-03
1.31000e+02,9.70495e-03
1.32000e+02,9.66059e-03
1.33000e+02,9.60889e-03
1.34000e+02,9.55149e-03
1.35000e+02,9.56204e-03
1.36000e+02,9.58418e-03
1.37000e+02,9.60005e-03
1.38000e+02,9.55629e-03
1.39000e+02,9.48556e-03
1.40000e+02,9.43567e-03
1.41000e+02,9.43707e-03
1.42000e+02,9.47803e-03
1.43000e+02,9.49974e-03
1.44000e+02,9.49280e-03
1.45000e+02,9.46301e-03
1.46000e+02,9.45904e-03
1.47000e+02,9.51653e-03
1.48000e+02,9.62122e-03
1.49000e+02,9.73167e-03
1.50000e+02,9.78320e-03
1.51000e+02,9.75179e-03
1.52000e+02,9.66092e-03
1.53000e+02,9.54586e-03
1.54000e+02,9.43427e-03
1.55000e+02,9.32440e-03
1.56000e+02,9.23450e-03
1.57000e+02,9.20903e-03
1.58000e+02,9.27740e-03
1.59000e+02,9.40335e-03
1.60000e+02,9.57295e-03
1.61000e+02,9.71265e-03
1.62000e+02,9.81637e-03
1.63000e+02,9.90006e-03
1.64000e+02,1.00409e-02
1.65000e+02,1.01776e-02
1.66000e+02,1.02435e-02
1.67000e+02,1.02448e-02
1.68000e+02,1.02595e-02
1.69000e+02,1.03326e-02
1.70000e+02,1.04180e-02
1.71000e+02,1.05025e-02
1.72000e+02,1.05746e-02
1.73000e+02,1.06791e-02
1.74000e+02,1.07964e-02
1.75000e+02,1.08822e-02
1.76000e+02,1.08926e-02
1.77000e+02,1.08449e-02
1.78000e+02,1.07491e-02
1.79000e+02,1.06416e-02
1.80000e+02,1.04997e-02
1.81000e+02,1.03952e-02
1.82000e+02,1.03677e-02
1.83000e+02,1.04354e-02
1.84000e+02,1.05385e-02
1.85000e+02,1.06382e-02
1.86000e+02,1.07255e-02
1.87000e+02,1.08143e-02
1.88000e+02,1.08420e-02
1.89000e+02,1.08052e-02
1.90000e+02,1.07373e-02
1.91000e+02,1.06746e-02
1.92000e+02,1.06476e-02
1.93000e+02,1.06344e-02
1.94000e+02,1.06808e-02
1.95000e+02,1.07253e-02
1.96000e+02,1.07644e-02
1.97000e+02,1.07326e-02
1.98000e+02,1.06871e-02
1.99000e+02,1.06474e-02
2.00000e+02,1.06307e-02
2.01000e+02,1.06680e-02
2.02000e+02,1.07440e-02
2.03000e+02,1.08016e-02
2.04000e+02,1.07900e-02
2.05000e+02,1.07214e-02
2.06000e+02,1.06795e-02
2.07000e+02,1.06619e-02
2.08000e+02,1.06797e-02
2.09000e+02,1.07448e-02
2.10000e+02,1.08224e-02
2.11000e+02,1.09001e-02
2.12000e+02,1.09321e-02
2.13000e+02,1.09521e-02
2.14000e+02,1.09539e-02
2.15000e+02,1.09804e-02
2.16000e+02,1.10522e-02
2.17000e+02,1.11217e-02
2.18000e+02,1.11415e-02
2.19000e+02,1.11092e-02
2.20000e+02,1.10767e-02
2.21000e+02,1.10885e-02
2.22000e+02,1.11092e-02
2.23000e+02,1.11314e-02
2.24000e+02,1.11292e-02
2.25000e+02,1.11550e-02
2.26000e+02,1.11723e-02
2.27000e+02,1.11929e-02
2.28000e+02,1.11924e-02
2.29000e+02,1.12262e-02
2.30000e+02,1.12861e-02
2.31000e+02,1.13240e-02
2.32000e+02,1.13316e-02
2.33000e+02,1.12995e-02
2.34000e+02,1.13121e-02
2.35000e+02,1.13363e-02
2.36000e+02,1.13462e-02
2.37000e+02,1.13139e-02
2.38000e+02,1.12380e-02
2.39000e+02,1.11982e-02
2.40000e+02,1.11821e-02
2.41000e+02,1.12224e-02
2.42000e+02,1.12817e-02
2.43000e+02,1.13812e-02
2.44000e+02,1.14965e-02
2.45000e+02,1.16063e-02
2.46000e+02,1.16664e-02
2.47000e+02,1.16850e-02
2.48000e+02,1.16811e-02
2.49000e+02,1.16829e-02
2.50000e+02,1.16737e-02
2.51000e+02,1.16288e-02
2.52000e+02,1.15868e-02
2.53000e+02,1.15596e-02
2.54000e+02,1.15326e-02
2.55000e+02,1.14497e-02
2.56000e+02,1.13613e-02
2.57000e+02,1.13170e-02
2.58000e+02,1.13411e-02
2.59000e+02,1.13830e-02
2.60000e+02,1.13341e-02
2.61000e+02,1.12434e-02
2.62000e+02,1.11158e-02
2.63000e+02,1.10662e-02
2.64000e+02,1.10205e-02
2.65000e+02,1.09873e-02
2.66000e+02,1.09805e-02
2.67000e+02,1.09915e-02
2.68000e+02,1.10742e-02
2.69000e+02,1.11716e-02
2.70000e+02,1.13075e-02
2.71000e+02,1.13894e-02
2.72000e+02,1.14335e-02
2.73000e+02,1.14598e-02
2.74000e+02,1.14891e-02
2.75000e+02,1.15213e-02
2.76000e+02,1.15072e-02
2.77000e+02,1.14524e-02
2.78000e+02,1.13959e-02
2.79000e+02,1.14147e-02
2.80000e+02,1.15113e-02
2.81000e+02,1.16203e-02
2.82000e+02,1.16639e-02
2.83000e+02,1.16398e-02
2.84000e+02,1.15907e-02
2.85000e+02,1.15411e-02
2.86000e+02,1.15378e-02
2.87000e+02,1.15622e-02
2.88000e+02,1.16353e-02
2.89000e+02,1.17170e-02
2.90000e+02,1.17862e-02
2.91000e+02,1.18322e-02
2.92000e+02,1.18514e-02
2.93000e+02,1.18551e-02
2.94000e+02,1.18856e-02
2.95000e+02,1.19606e-02
2.96000e+02,1.20686e-02
2.97000e+02,1.21316e-02
2.98000e+02,1.21276e-02
2.99000e+02,1.20367e-02
3.00000e+02,1.18847e-02
3.01000e+02,1.17456e-02
3.02000e+02,1.16885e-02
3.03000e+02,1.16785e-02
3.04000e+02,1.16426e-02
3.05000e+02,1.15431e-02
3.06000e+02,1.14272e-02
3.07000e+02,1.13057e-02
3.08000e+02,1.11962e-02
3.09000e+02,1.10945e-02
3.10000e+02,1.09671e-02
3.11000e+02,1.08126e-02
3.12000e+02,1.06521e-02
3.13000e+02,1.05247e-02
3.14000e+02,1.04567e-02
3.15000e+02,1.04796e-02
3.16000e+02,1.04873e-02
