Pixels #,Intensity (a.u.)
0.00000e+00,1.08959e-02
1.00000e+00,1.08178e-02
2.00000e+00,1.07670e-02
3.00000e+00,1.07277e-02
4.00000e+00,1.06888e-02
5.00000e+00,1.06492e-02
6.00000e+00,1.06069e-02
7.00000e+00,1.05631e-02
8.00000e+00,1.05107e-02
9.00000e+00,1.04369e-02
1.00000e+01,1.03327e-02
1.10000e+01,1.02080e-02
1.20000e+01,1.01294e-02
1.30000e+01,1.00937e-02
1.40000e+01,1.00925e-02
1.50000e+01,1.00956e-02
1.60000e+01,1.00725e-02
1.70000e+01,9.98695e-03
1.80000e+01,9.82776e-03
1.90000e+01,9.66728e-03
2.00000e+01,9.51577e-03
2.10000e+01,9.37920e-03
2.20000e+01,9.25672e-03
2.30000e+01,9.15130e-03
2.40000e+01,9.06366e-03
2.50000e+01,9.01507e-03
2.60000e+01,8.99255e-03
2.70000e+01,8.96610e-03
2.80000e+01,8.91623e-03
2.90000e+01,8.85094e-03
3.00000e+01,8.80993e-03
3.10000e+01,8.79960e-03
3.20000e+01,8.80386e-03
3.30000e+01,8.75926e-03
3.40000e+01,8.66743e-03
3.50000e+01,8.54031e-03
3.60000e+01,8.44017e-03
3.70000e+01,8.36036e-03
3.80000e+01,8.30289e-03
3.90000e+01,8.23391e-03
4.00000e+01,8.15654e-03
4.10000e+01,8.08512e-03
4.20000e+01,8.02346e-03
4.30000e+01,7.95879e-03
4.40000e+01,7.86823e-03
4.50000e+01,7.79540e-03
4.60000e+01,7.74060e-03
4.70000e+01,7.77991e-03
4.80000e+01,7.84795e-03
4.90000e+01,7.94335e-03
5.00000e+01,7.97399e-03
5.10000e+01,8.01085e-03
5.20000e+01,8.02611e-03
5.30000e+01,8.07494e-03
5.40000e+01,8.08462e-03
5.50000e+01,8.07452e-03
5.60000e+01,8.07452e-03
5.70000e+01,8.08994e-03
5.80000e+01,8.14415e-03
5.90000e+01,8.17928e-03
6.00000e+01,8.18861e-03
6.10000e+01,8.18353e-03
6.20000e+01,8.19753e-03
6.30000e+01,8.19491e-03
6.40000e+01,8.17966e-03
6.50000e+01,8.17181e-03
6.60000e+01,8.15477e-03
6.70000e+01,8.09605e-03
6.80000e+01,8.03247e-03
6.90000e+01,7.96959e-03
7.00000e+01,7.96973e-03
7.10000e+01,8.01473e-03
7.20000e+01,8.06178e-03
7.30000e+01,8.08855e-03
7.40000e+01,8.04425e-03
7.50000e+01,8.01404e-03
7.60000e+01,7.97443e-03
7.70000e+01,7.99180e-03
7.80000e+01,8.00869e-03
7.90000e+01,8.07390e-03
8.00000e+01,8.08498e-03
8.10000e+01,8.01996e-03
8.20000e+01,7.85624e-03
8.30000e+01,7.67820e-03
8.40000e+01,7.57619e-03
8.50000e+01,7.54405e-03
8.60000e+01,7.54631e-03
8.70000e+01,7.54801e-03
8.80000e+01,7.56429e-03
8.90000e+01,7.62672e-03
9.00000e+01,7.71249e-03
9.10000e+01,7.82097e-03
9.20000e+01,7.89480e-03
9.30000e+01,7.91985e-03
9.40000e+01,7.91522e-03
9.50000e+01,7.89445e-03
9.60000e+01,7.86783e-03
9.70000e+01,7.82974e-03
9.80000e+01,7.81428e-03
9.90000e+01,7.79602e-03
1.00000e+02,7.80285e-03
1.01000e+02,7.82118e-03
1.02000e+02,7.87883e-03
1.03000e+02,7.89648e-03
1.04000e+02,7.89737e-03
1.05000e+02,7.87378e-03
1.06000e+02,7.85307e-03
1.07000e+02,7.84357e-03
1.08000e+02,7.86550e-03
1.09000e+02,7.93399e-03
1.10000e+02,7.97506e-03
1.11000e+02,7.99428e-03
1.12000e+02,8.01413e-03
1.13000e+02,8.03673e-03
1.14000e+02,8.06089e-03
1.15000e+02,8.06533e-03
1.16000e+02,8.05987e-03
1.17000e+02,8.06191e-03
1.18000e+02,8.04870e-03
1.19000e+02,8.01125e-03
1.20000e+02,7.94544e-03
1.21000e+02,7.87035e-03
1.22000e+02,7.78926e-03
1.23000e+02,7.71625e-03
1.24000e+02,7.68652e-03
1.25000e+02,7.69982e-03
1.26000e+02,7.76009e-03
1.27000e+02,7.81164e-03
1.28000e+02,7.84219e-03
1.29000e+02,7.83129e-03
1.30000e+02,7.81004e-03
1.31000e+02,7.80827e-03
1.32000e+02,7.80169e-03
1.33000e+02,7.79814e-03
1.34000e+02,7.75939e-03
1.35000e+02,7.71673e-03
1.36000e+02,7.64044e-03
1.37000e+02,7.55524e-03
1.38000e+02,7.47603e-03
1.39000e+02,7.42064e-03
1.40000e+02,7.41161e-03
1.41000e+02,7.44305e-03
1.42000e+02,7.48921e-03
1.43000e+02,7.54061e-03
1.44000e+02,7.59879e-03
1.45000e+02,7.70039e-03
1.46000e+02,7.81417e-03
1.47000e+02,7.91426e-03
1.48000e+02,7.99413e-03
1.49000e+02,8.04362e-03
1.50000e+02,8.05874e-03
1.51000e+02,7.99339e-03
1.52000e+02,7.91074e-03
1.53000e+02,7.80166e-03
1.54000e+02,7.76719e-03
1.55000e+02,7.77728e-03
1.56000e+02,7.84903e-03
1.57000e+02,7.95623e-03
1.58000e+02,8.12043e-03
1.59000e+02,8.29596e-03
1.60000e+02,8.46445e-03
1.61000e+02,8.58354e-03
1.62000e+02,8.67989e-03
1.63000e+02,8.76881e-03
1.64000e+02,8.85940e-03
1.65000e+02,8.93054e-03
1.66000e+02,8.94616e-03
1.67000e+02,8.95136e-03
1.68000e+02,8.95100e-03
1.69000e+02,8.99548e-03
1.70000e+02,9.06534e-03
1.71000e+02,9.14044e-03
1.72000e+02,9.23929e-03
1.73000e+02,9.33891e-03
1.74000e+02,9.43486e-03
1.75000e+02,9.45208e-03
1.76000e+02,9.40966e-03
1.77000e+02,9.34824e-03
1.78000e+02,9.29569e-03
1.79000e+02,9.25967e-03
1.80000e+02,9.22194e-03
1.81000e+02,9.18930e-03
1.82000e+02,9.15878e-03
1.83000e+02,9.13592e-03
1.84000e+02,9.13419e-03
1.85000e+02,9.15106e-03
1.86000e+02,9.14578e-03
1.87000e+02,9.13788e-03
1.88000e+02,9.10366e-03
1.89000e+02,9.10020e-03
1.90000e+02,9.11250e-03
1.91000e+02,9.13386e-03
1.92000e+02,9.14364e-03
1.93000e+02,9.15611e-03
1.94000e+02,9.19481e-03
1.95000e+02,9.20240e-03
1.96000e+02,9.15779e-03
1.97000e+02,9.04628e-03
1.98000e+02,8.96016e-03
1.99000e+02,8.92384e-03
2.00000e+02,8.93383e-03
2.01000e+02,8.95652e-03
2.02000e+02,8.97651e-03
2.03000e+02,8.99610e-03
2.04000e+02,9.00411e-03
2.05000e+02,9.01451e-03
2.06000e+02,9.04411e-03
2.07000e+02,9.07059e-03
2.08000e+02,9.06716e-03
2.09000e+02,9.09223e-03
2.10000e+02,9.12255e-03
2.11000e+02,9.13934e-03
2.12000e+02,9.09496e-03
2.13000e+02,9.05963e-03
2.14000e+02,9.05307e-03
2.15000e+02,9.07447e-03
2.16000e+02,9.10752e-03
2.17000e+02,9.14918e-03
2.18000e+02,9.18416e-03
2.19000e+02,9.20809e-03
2.20000e+02,9.23560e-03
2.21000e+02,9.28013e-03
2.22000e+02,9.30299e-03
2.23000e+02,9.29800e-03
2.24000e+02,9.27119e-03
2.25000e+02,9.28947e-03
2.26000e+02,9.34260e-03
2.27000e+02,9.42117e-03
2.28000e+02,9.48396e-03
2.29000e+02,9.54824e-03
2.30000e+02,9.59707e-03
2.31000e+02,9.62704e-03
2.32000e+02,9.63576e-03
2.33000e+02,9.63811e-03
2.34000e+02,9.63939e-03
2.35000e+02,9.60743e-03
2.36000e+02,9.54885e-03
2.37000e+02,9.49287e-03
2.38000e+02,9.45735e-03
2.39000e+02,9.43183e-03
2.40000e+02,9.37761e-03
2.41000e+02,9.31294e-03
2.42000e+02,9.29703e-03
2.43000e+02,9.33035e-03
2.44000e+02,9.40240e-03
2.45000e+02,9.40577e-03
2.46000e+02,9.34971e-03
2.47000e+02,9.22264e-03
2.48000e+02,9.10200e-03
2.49000e+02,8.99208e-03
2.50000e+02,8.92855e-03
2.51000e+02,8.88735e-03
2.52000e+02,8.86247e-03
2.53000e+02,8.80354e-03
2.54000e+02,8.69974e-03
2.55000e+02,8.57142e-03
2.56000e+02,8.48242e-03
2.57000e+02,8.45973e-03
2.58000e+02,8.49893e-03
2.59000e+02,8.56428e-03
2.60000e+02,8.57619e-03
2.61000e+02,8.54693e-03
2.62000e+02,8.48471e-03
2.63000e+02,8.43341e-03
2.64000e+02,8.39837e-03
2.65000e+02,8.38311e-03
2.66000e+02,8.44174e-03
2.67000e+02,8.51868e-03
2.68000e+02,8.61597e-03
2.69000e+02,8.68949e-03
2.70000e+02,8.76969e-03
2.71000e+02,8.82898e-03
2.72000e+02,8.88529e-03
2.73000e+02,8.94890e-03
2.74000e+02,9.02874e-03
2.75000e+02,9.10281e-03
2.76000e+02,9.14972e-03
2.77000e+02,9.18894e-03
2.78000e+02,9.22433e-03
2.79000e+02,9.29499e-03
2.80000e+02,9.35993e-03
2.81000e+02,9.41949e-03
2.82000e+02,9.46134e-03
2.83000e+02,9.50801e-03
2.84000e+02,9.56415e-03
2.85000e+02,9.60891e-03
2.86000e+02,9.65338e-03
2.87000e+02,9.68751e-03
2.88000e+02,9.73708e-03
2.89000e+02,9.77328e-03
2.90000e+02,9.79241e-03
2.91000e+02,9.79973e-03
2.92000e+02,9.83826e-03
2.93000e+02,9.91998e-03
2.94000e+02,1.00214e-02
2.95000e+02,1.01237e-02
2.96000e+02,1.02070e-02
2.97000e+02,1.02471e-02
2.98000e+02,1.02259e-02
2.99000e+02,1.01486e-02
3.00000e+02,1.00255e-02
3.01000e+02,9.95103e-03
3.02000e+02,9.96861e-03
3.03000e+02,1.00431e-02
3.04000e+02,1.00467e-02
3.05000e+02,9.96235e-03
3.06000e+02,9.85526e-03
3.07000e+02,9.80733e-03
3.08000e+02,9.77830e-03
3.09000e+02,9.76406e-03
3.10000e+02,9.70658e-03
3.11000e+02,9.61750e-03
3.12000e+02,9.50271e-03
3.13000e+02,9.40272e-03
3.14000e+02,9.36706e-03
3.15000e+02,9.37299e-03
3.16000e+02,9.34635e-03
3.17000e+02,9.29741e-03
3.18000e+02,9.21701e-03
3.19000e+02,9.17358e-03
3.20000e+02,9.05874e-03
3.21000e+02,8.98672e-03
3.22000e+02,8.94425e-03
3.23000e+02,9.02033e-03
3.24000e+02,9.09617e-03
3.25000e+02,9.15223e-03
3.26000e+02,9.14775e-03
3.27000e+02,9.11785e-03
3.28000e+02,9.07207e-03
3.29000e+02,9.00750e-03
3.30000e+02,8.93773e-03
3.31000e+02,8.87592e-03
3.32000e+02,8.87913e-03
3.33000e+02,8.92161e-03
3.34000e+02,8.91681e-03
3.35000e+02,8.84213e-03
3.36000e+02,8.81035e-03
3.37000e+02,8.88031e-03
3.38000e+02,9.07551e-03
3.39000e+02,9.27722e-03
3.40000e+02,9.41450e-03
3.41000e+02,9.42860e-03
3.42000e+02,9.37589e-03
3.43000e+02,9.33091e-03
3.44000e+02,9.36756e-03
3.45000e+02,9.46039e-03
3.46000e+02,9.57429e-03
3.47000e+02,9.60862e-03
3.48000e+02,9.55808e-03
3.49000e+02,9.41130e-03
3.50000e+02,9.21556e-03
3.51000e+02,9.04303e-03
3.52000e+02,8.93114e-03
3.53000e+02,8.93668e-03
3.54000e+02,8.95224e-03
3.55000e+02,8.92793e-03
3.56000e+02,8.81092e-03
3.57000e+02,8.62971e-03
3.58000e+02,8.49112e-03
3.59000e+02,8.39021e-03
3.60000e+02,8.33930e-03
3.61000e+02,8.25457e-03
3.62000e+02,8.15345e-03
3.63000e+02,8.04775e-03
3.64000e+02,7.94352e-03
3.65000e+02,7.84678e-03
3.66000e+02,7.73660e-03
3.67000e+02,7.61141e-03
3.68000e+02,7.55889e-03
3.69000e+02,7.56114e-03
3.70000e+02,7.62256e-03
3.71000e+02,7.62382e-03
3.72000e+02,7.54543e-03
3.73000e+02,7.41213e-03
3.74000e+02,7.29794e-03
3.75000e+02,7.24738e-03
3.76000e+02,7.26308e-03
3.77000e+02,7.27975e-03
3.78000e+02,7.28586e-03
3.79000e+02,7.23414e-03
3.80000e+02,7.15625e-03
3.81000e+02,7.07654e-03
3.82000e+02,6.99778e-03
3.83000e+02,6.93056e-03
3.84000e+02,6.84632e-03
3.85000e+02,6.76703e-03
3.86000e+02,6.69763e-03
3.87000e+02,6.67376e-03
3.88000e+02,6.68255e-03
3.89000e+02,6.72042e-03
3.90000e+02,6.77111e-03
3.91000e+02,6.83198e-03
3.92000e+02,6.84066e-03
3.93000e+02,6.79190e-03
3.94000e+02,6.72524e-03
3.95000e+02,6.74220e-03
3.96000e+02,6.84161e-03
3.97000e+02,6.94803e-03
3.98000e+02,6.97950e-03
3.99000e+02,6.96032e-03
4.00000e+02,6.93324e-03
4.01000e+02,6.94485e-03
4.02000e+02,6.98910e-03
4.03000e+02,7.05051e-03
4.04000e+02,7.12618e-03
4.05000e+02,7.15425e-03
4.06000e+02,7.17094e-03
4.07000e+02,7.22715e-03
4.08000e+02,7.34720e-03
4.09000e+02,7.46695e-03
4.10000e+02,7.48894e-03
4.11000e+02,7.49599e-03
4.12000e+02,7.46969e-03
4.13000e+02,7.43921e-03
4.14000e+02,7.33212e-03
4.15000e+02,7.24783e-03
4.16000e+02,7.22053e-03
4.17000e+02,7.29628e-03
4.18000e+02,7.39535e-03
4.19000e+02,7.51731e-03
4.20000e+02,7.58688e-03
4.21000e+02,7.61647e-03
4.22000e+02,7.63082e-03
4.23000e+02,7.64635e-03
4.24000e+02,7.64481e-03
4.25000e+02,7.62735e-03
4.26000e+02,7.64956e-03
4.27000e+02,7.69153e-03
4.28000e+02,7.74070e-03
4.29000e+02,7.71300e-03
4.30000e+02,7.63151e-03
4.31000e+02,7.51757e-03
4.32000e+02,7.43377e-03
4.33000e+02,7.39761e-03
4.34000e+02,7.39840e-03
4.35000e+02,7.36038e-03
4.36000e+02,7.25208e-03
4.37000e+02,7.12609e-03
4.38000e+02,7.06181e-03
4.39000e+02,7.05068e-03
4.40000e+02,7.10321e-03
4.41000e+02,7.19892e-03
4.42000e+02,7.26601e-03
4.43000e+02,7.27966e-03
4.44000e+02,7.21557e-03
4.45000e+02,7.14402e-03
4.46000e+02,7.09571e-03
4.47000e+02,7.12832e-03
4.48000e+02,7.22022e-03
4.49000e+02,7.32276e-03
4.50000e+02,7.38407e-03
4.51000e+02,7.41183e-03
4.52000e+02,7.41807e-03
4.53000e+02,7.44371e-03
4.54000e+02,7.47613e-03
4.55000e+02,7.51416e-03
4.56000e+02,7.54840e-03
4.57000e+02,7.60303e-03
4.58000e+02,7.73159e-03
4.59000e+02,7.82785e-03
4.60000e+02,7.86721e-03
4.61000e+02,7.78124e-03
4.62000e+02,7.69027e-03
4.63000e+02,7.67560e-03
4.64000e+02,7.76249e-03
4.65000e+02,7.87047e-03
4.66000e+02,7.88699e-03
4.67000e+02,7.83048e-03
4.68000e+02,7.77274e-03
4.69000e+02,7.75842e-03
4.70000e+02,7.76648e-03
4.71000e+02,7.76648e-03
4.72000e+02,7.76648e-03
4.73000e+02,7.80838e-03
4.74000e+02,7.87478e-03
4.75000e+02,7.99671e-03
4.76000e+02,8.04212e-03
4.77000e+02,8.05668e-03
4.78000e+02,7.97255e-03
4.79000e+02,7.88162e-03
4.80000e+02,7.80581e-03
4.81000e+02,7.78461e-03
4.82000e+02,7.80485e-03
4.83000e+02,7.88225e-03
4.84000e+02,7.98260e-03
4.85000e+02,8.09651e-03
4.86000e+02,8.14649e-03
4.87000e+02,8.16205e-03
4.88000e+02,8.15551e-03
