Pixels #,Intensity (a.u.)
0.00000e+00,8.89410e-03
1.00000e+00,8.85573e-03
2.00000e+00,8.82164e-03
3.00000e+00,8.76791e-03
4.00000e+00,8.70824e-03
5.00000e+00,8.66886e-03
6.00000e+00,8.65978e-03
7.00000e+00,8.66496e-03
8.00000e+00,8.66989e-03
9.00000e+00,8.66478e-03
1.00000e+01,8.64155e-03
1.10000e+01,8.59436e-03
1.20000e+01,8.56593e-03
1.30000e+01,8.55563e-03
1.40000e+01,8.55305e-03
1.50000e+01,8.51264e-03
1.60000e+01,8.43877e-03
1.70000e+01,8.32452e-03
1.80000e+01,8.19943e-03
1.90000e+01,8.06456e-03
2.00000e+01,7.95924e-03
2.10000e+01,7.87165e-03
2.20000e+01,7.81720e-03
2.30000e+01,7.74187e-03
2.40000e+01,7.66318e-03
2.50000e+01,7.58850e-03
2.60000e+01,7.54277e-03
2.70000e+01,7.51909e-03
2.80000e+01,7.49139e-03
2.90000e+01,7.47093e-03
3.00000e+01,7.46054e-03
3.10000e+01,7.47461e-03
3.20000e+01,7.46809e-03
3.30000e+01,7.39936e-03
3.40000e+01,7.27152e-03
3.50000e+01,7.15364e-03
3.60000e+01,7.08853e-03
3.70000e+01,7.08643e-03
3.80000e+01,7.09624e-03
3.90000e+01,7.10640e-03
4.00000e+01,7.09105e-03
4.10000e+01,7.08690e-03
4.20000e+01,7.09475e-03
4.30000e+01,7.08577e-03
4.40000e+01,7.02943e-03
4.50000e+01,6.94326e-03
4.60000e+01,6.87264e-03
4.70000e+01,6.87334e-03
4.80000e+01,6.89887e-03
4.90000e+01,6.92960e-03
5.00000e+01,6.93182e-03
5.10000e+01,6.95305e-03
5.20000e+01,6.92508e-03
5.30000e+01,6.94972e-03
5.40000e+01,6.97271e-03
5.50000e+01,6.97863e-03
5.60000e+01,6.93901e-03
5.70000e+01,6.93189e-03
5.80000e+01,6.98182e-03
5.90000e+01,7.03968e-03
6.00000e+01,7.08119e-03
6.10000e+01,7.09879e-03
6.20000e+01,7.09634e-03
6.30000e+01,7.06913e-03
6.40000e+01,7.01082e-03
6.50000e+01,6.94774e-03
6.60000e+01,6.90273e-03
6.70000e+01,6.86312e-03
6.80000e+01,6.83464e-03
6.90000e+01,6.80853e-03
7.00000e+01,6.78424e-03
7.10000e+01,6.76492e-03
7.20000e+01,6.76348e-03
7.30000e+01,6.77445e-03
7.40000e+01,6.77962e-03
7.50000e+01,6.83538e-03
7.60000e+01,6.90436e-03
7.70000e+01,7.00697e-03
7.80000e+01,7.10276e-03
7.90000e+01,7.19675e-03
8.00000e+01,7.25873e-03
8.10000e+01,7.26085e-03
8.20000e+01,7.20915e-03
8.30000e+01,7.15474e-03
8.40000e+01,7.15633e-03
8.50000e+01,7.20157e-03
8.60000e+01,7.24945e-03
8.70000e+01,7.26767e-03
8.80000e+01,7.24980e-03
8.90000e+01,7.27843e-03
9.00000e+01,7.31484e-03
9.10000e+01,7.37604e-03
9.20000e+01,7.38197e-03
9.30000e+01,7.37482e-03
9.40000e+01,7.38946e-03
9.50000e+01,7.39699e-03
9.60000e+01,7.37865e-03
9.70000e+01,7.31355e-03
9.80000e+01,7.27628e-03
9.90000e+01,7.23859e-03
1.00000e+02,7.22973e-03
1.01000e+02,7.22212e-03
1.02000e+02,7.26212e-03
1.03000e+02,7.29232e-03
1.04000e+02,7.32923e-03
1.05000e+02,7.35204e-03
1.06000e+02,7.39103e-03
1.07000e+02,7.42081e-03
1.08000e+02,7.46254e-03
1.09000e+02,7.49162e-03
1.10000e+02,7.50952e-03
1.11000e+02,7.47996e-03
1.12000e+02,7.45567e-03
1.13000e+02,7.42543e-03
1.14000e+02,7.46547e-03
1.15000e+02,7.50806e-03
1.16000e+02,7.56324e-03
1.17000e+02,7.58676e-03
1.18000e+02,7.57466e-03
1.19000e+02,7.54153e-03
1.20000e+02,7.46682e-03
1.21000e+02,7.37984e-03
1.22000e+02,7.28222e-03
1.23000e+02,7.21419e-03
1.24000e+02,7.20158e-03
1.25000e+02,7.21145e-03
1.26000e+02,7.23155e-03
1.27000e+02,7.22827e-03
1.28000e+02,7.20567e-03
1.29000e+02,7.16373e-03
1.30000e+02,7.08312e-03
1.31000e+02,7.00611e-03
1.32000e+02,6.91450e-03
1.33000e+02,6.84040e-03
1.34000e+02,6.77363e-03
1.35000e+02,6.74025e-03
1.36000e+02,6.72225e-03
1.37000e+02,6.70891e-03
