Pixels #,Intensity (a.u.)
0.00000e+00,7.89783e-03
1.00000e+00,7.86351e-03
2.00000e+00,7.82137e-03
3.00000e+00,7.77014e-03
4.00000e+00,7.74208e-03
5.00000e+00,7.71882e-03
6.00000e+00,7.69924e-03
7.00000e+00,7.64889e-03
8.00000e+00,7.60395e-03
9.00000e+00,7.54144e-03
1.00000e+01,7.48797e-03
1.10000e+01,7.40784e-03
1.20000e+01,7.35760e-03
1.30000e+01,7.32053e-03
1.40000e+01,7.31036e-03
1.50000e+01,7.29750e-03
1.60000e+01,7.26099e-03
1.70000e+01,7.19713e-03
1.80000e+01,7.07949e-03
1.90000e+01,6.96186e-03
2.00000e+01,6.84422e-03
2.10000e+01,6.74211e-03
2.20000e+01,6.66955e-03
2.30000e+01,6.63357e-03
2.40000e+01,6.62793e-03
2.50000e+01,6.62253e-03
2.60000e+01,6.59888e-03
2.70000e+01,6.56018e-03
2.80000e+01,6.52530e-03
2.90000e+01,6.51502e-03
3.00000e+01,6.53878e-03
3.10000e+01,6.57007e-03
3.20000e+01,6.58593e-03
3.30000e+01,6.54104e-03
3.40000e+01,6.46154e-03
3.50000e+01,6.38391e-03
3.60000e+01,6.33934e-03
3.70000e+01,6.31735e-03
3.80000e+01,6.30137e-03
3.90000e+01,6.29431e-03
4.00000e+01,6.28521e-03
4.10000e+01,6.28789e-03
4.20000e+01,6.28686e-03
4.30000e+01,6.28648e-03
4.40000e+01,6.23649e-03
4.50000e+01,6.16483e-03
4.60000e+01,6.08777e-03
4.70000e+01,6.11334e-03
4.80000e+01,6.17352e-03
4.90000e+01,6.24486e-03
5.00000e+01,6.23668e-03
5.10000e+01,6.23811e-03
5.20000e+01,6.21542e-03
5.30000e+01,6.26587e-03
5.40000e+01,6.31144e-03
5.50000e+01,6.34798e-03
5.60000e+01,6.36878e-03
5.70000e+01,6.39604e-03
5.80000e+01,6.46787e-03
5.90000e+01,6.50734e-03
6.00000e+01,6.51337e-03
6.10000e+01,6.50298e-03
6.20000e+01,6.53085e-03
6.30000e+01,6.58612e-03
6.40000e+01,6.63824e-03
6.50000e+01,6.65937e-03
6.60000e+01,6.63552e-03
6.70000e+01,6.57869e-03
6.80000e+01,6.53305e-03
6.90000e+01,6.50725e-03
