Mean,SD,SE,LowerCI,UpperCI,WaveNumber,Significant,times_selected
1.45509675201347,17.8860004214266,0.252946243725924,0.959211160285299,1.95098234374163,0,Yes,138
0.000607833670683156,1.67428419438316,0.0236779541496358,-0.0458113427181425,0.0470270100595088,1,No,12
0.0383679341907747,1.09165815244766,0.0154383776466663,0.00810194201049456,0.0686339263710548,2,Yes,39
0.316710414301162,5.92984667232191,0.0838606958679061,0.15230666518579,0.481114163416533,3,Yes,50
0.15717808238782,4.09777536210959,0.057951294926537,0.0435681241897569,0.270788040585883,4,Yes,15
0.0711888726253846,2.22743125528383,0.0315006349047612,0.00943381056371573,0.132943934687054,5,Yes,9
0.0318015455450934,2.04911009724927,0.0289787929032556,-0.0250095999960496,0.0886126910862365,6,No,3
0.0906926307626661,7.35208559398687,0.103974191587441,-0.113142392680742,0.294527654206075,7,No,15
0.0705095491775196,3.34452548372725,0.0472987329878952,-0.0222167149100744,0.163235813265114,8,No,9
0.201962813838681,5.58500249058071,0.0789838626806676,0.0471197969768934,0.356805830700469,9,Yes,9
0.0622245161042178,3.32025119318271,0.0469554426788444,-0.0298287483944887,0.154277780602924,10,No,8
0.00499941403644697,0.353511956713086,0.00499941403644697,-0.00480163045126575,0.0148004585241597,11,No,2
0.0104195213887417,0.653822786735448,0.00924645052389843,-0.00770757756275251,0.0285466203402358,12,No,4
0,0,0,0,0,13,No,0
2.82480020519549e-17,1.20014730548439e-15,1.69726459626155e-17,-5.02582902926028e-18,6.152183313317e-17,14,No,3
0.0116863287008877,0.537005595429313,0.00759440596126374,-0.00320203824401039,0.0265746956457858,15,No,4
1.23937552872183e-17,6.19633567522069e-16,8.76294194891335e-18,-4.78545476788293e-18,2.95729653423194e-17,16,No,2
0,0,0,0,0,17,No,0
3.18233339297287e-17,1.00611957858859e-15,1.42286795340909e-17,3.92888068013493e-18,5.97177871793224e-17,18,Yes,5
0.0188185514985649,1.33067253767435,0.0188185514985649,-0.0180740641334119,0.0557111671305417,19,No,1
0,0,0,0,0,20,No,0
0,0,0,0,0,21,No,0
0,0,0,0,0,22,No,0
0.0086622968441006,0.447735025095079,0.00633192944838919,-0.00375106235445575,0.0210756560426569,23,No,3
-0.0696666630253245,3.19457712507074,0.0451781429632189,-0.158235640474818,0.0189023144241692,24,No,7
-0.389743539306267,7.39020826236576,0.104513327533994,-0.594635505695102,-0.184851572917432,25,Yes,23
-0.0934323701107144,2.10999399094446,0.0298398211851939,-0.151931508771638,-0.0349332314497911,26,Yes,12
-0.00362334714415654,1.03320921181752,0.0146117848012115,-0.0322688547651531,0.02502216047684,27,No,6
-0.0119534866728845,0.785322761244888,0.0111061409979281,-0.0337263947004947,0.00981942135472569,28,No,9
-0.00538640528535999,0.380876370349711,0.00538640528535999,-0.0159461223733616,0.00517331180264163,29,No,1
-0.00745005018968693,0.526798100930775,0.00745005018968693,-0.0220554165011172,0.00715531612174334,30,No,1
-0.0316739086272811,1.51468315762992,0.0214208546421834,-0.0736681799123364,0.0103203626577741,31,No,3
-0.0359964210236969,1.37917436048316,0.0195044708547253,-0.0742337394699837,0.00224089742258998,32,No,6
-0.0398147435622939,1.50702547660599,0.0213125586785797,-0.081596707255023,0.00196722013043513,33,No,6
-0.142881216748926,3.83363691446127,0.0542158131764528,-0.249167992160225,-0.0365944413376267,34,Yes,13
-0.00780910996422565,0.327778018103498,0.00463548118649741,-0.0168966864281076,0.0012784664996563,35,No,3
0,0,0,0,0,36,No,0
-0.00479949283692783,0.339375393124793,0.00479949283692783,-0.0142086040788163,0.00460961840496065,37,No,1
-0.0274651713192435,1.39752731328242,0.0197640208023083,-0.0662113215135111,0.011280978875024,38,No,2
-0.278037836301279,5.66762682811181,0.0801523472678533,-0.435171595505814,-0.120904077096744,39,Yes,22
-0.0793651843282345,3.06107259641275,0.0432901038125553,-0.164232776860357,0.00550240820388824,40,No,9
-0.397353622251418,9.04183083508155,0.127870797956556,-0.648036476344898,-0.146670768157939,41,Yes,20
0,0,0,0,0,42,No,0
0,0,0,0,0,43,No,0
0,0,0,0,0,44,No,0
-0.0363848203517545,1.59098516781386,0.022499928018568,-0.0804945487864576,0.00772490808294857,45,No,5
-0.341489814772858,8.41607438161407,0.119021265324194,-0.574823703088963,-0.108155926456754,46,Yes,13
-0.733493746414851,12.6108822473497,0.17834480707692,-1.08312779863984,-0.383859694189862,47,Yes,31
-0.259447331951109,6.60974118659196,0.0934758562985438,-0.442701013168553,-0.0761936507336644,48,Yes,15
-0.0827972207492717,3.28044195392727,0.0463924550182163,-0.173746782480489,0.008152340981946,49,No,4
0,0,0,0,0,50,No,0
0.00503879508659212,0.356296617473874,0.00503879508659212,-0.00483945353377127,0.0149170437069555,51,No,1
0,0,0,0,0,52,No,0
0,0,0,0,0,53,No,0
0,0,0,0,0,54,No,0
0,0,0,0,0,55,No,0
0,0,0,0,0,56,No,0
0,0,0,0,0,57,No,0
0,0,0,0,0,58,No,0
0,0,0,0,0,59,No,0
0,0,0,0,0,60,No,0
-0.0186488189984006,1.09690566677879,0.0155125887060246,-0.0490602974074563,0.0117626594106551,61,No,2
0,0,0,0,0,62,No,0
-0.00525427729908784,0.371533510841955,0.00525427729908784,-0.015554965576496,0.00504641097832029,63,No,1
0,0,0,0,0,64,No,0
0,0,0,0,0,65,No,0
0,0,0,0,0,66,No,0
0,0,0,0,0,67,No,0
0,0,0,0,0,68,No,0
0,0,0,0,0,69,No,0
0,0,0,0,0,70,No,0
0,0,0,0,0,71,No,0
0,0,0,0,0,72,No,0
0,0,0,0,0,73,No,0
0,0,0,0,0,74,No,0
0,0,0,0,0,75,No,0
0,0,0,0,0,76,No,0
-0.00172711343956261,0.122125362499314,0.00172711343956261,-0.00511301337364966,0.00165878649452444,77,No,1
-0.0309055851961643,2.18491788291999,0.0308994050269696,-0.0914819729698829,0.0296708025775544,78,No,2
-0.0959959383343148,4.31036937998352,0.060957828360104,-0.215500020868023,0.023508144199393,79,No,4
-0.0651927484991408,2.17687549678702,0.0307856685115388,-0.125546162812472,-0.00483933418580947,80,Yes,7
-0.113306097751996,5.49878187785049,0.0777645190818755,-0.265758666299152,0.0391464707951607,81,No,4
-0.000800767350634171,0.0566228023786208,0.000800767350634171,-0.00237062261180216,0.000769087910533818,82,No,1
-0.000371794281358022,0.0262898257554637,0.000371794281358022,-0.00110067415914004,0.000357085596423992,83,No,1
0,0,0,0,0,84,No,0
0,0,0,0,0,85,No,0
0,0,0,0,0,86,No,0
0,0,0,0,0,87,No,0
0,0,0,0,0,88,No,0
0,0,0,0,0,89,No,0
0.0045313588887443,0.320415459822103,0.0045313588887443,-0.00435209219864324,0.0134148099761318,90,No,1
