id,Intensity,MedianWaveNumber,scoville_median
Anah,0,0.0118593,1500
Anah,1,0.011757,1500
Anah,2,0.0116847,1500
Anah,3,0.0115881,1500
Anah,4,0.0114669,1500
Anah,5,0.0113197,1500
Anah,6,0.0111553,1500
Anah,7,0.0109926,1500
Anah,8,0.0108325,1500
Anah,9,0.0106765,1500
Anah,10,0.0104861,1500
Anah,11,0.0102825,1500
Anah,12,0.0101156,1500
Anah,13,0.0100097,1500
Anah,14,0.0099527,1500
Anah,15,0.00990075,1500
Anah,16,0.00982074,1500
Anah,17,0.00967406,1500
Anah,18,0.00947042,1500
Anah,19,0.00926678,1500
Anah,20,0.00907217,1500
Anah,21,0.00888414,1500
Anah,22,0.00871522,1500
Anah,23,0.00856943,1500
Anah,24,0.00843576,1500
Anah,25,0.00828995,1500
Anah,26,0.00812233,1500
Anah,27,0.00794868,1500
Anah,28,0.00777918,1500
Anah,29,0.00762095,1500
Anah,30,0.00748791,1500
Anah,31,0.00740151,1500
Anah,32,0.00733123,1500
Anah,33,0.00721623,1500
Anah,34,0.00704026,1500
Anah,35,0.00685013,1500
Anah,36,0.00668666,1500
Anah,37,0.00656662,1500
Anah,38,0.00644758,1500
Anah,39,0.00634686,1500
Anah,40,0.00622088,1500
Anah,41,0.00611513,1500
Anah,42,0.00598567,1500
Anah,43,0.0058548,1500
Anah,44,0.00567831,1500
Anah,45,0.00549233,1500
Anah,46,0.00537396,1500
Anah,47,0.00535997,1500
Anah,48,0.00536594,1500
Anah,49,0.0053748,1500
Anah,50,0.00533471,1500
Anah,51,0.00531074,1500
Anah,52,0.00529601,1500
Anah,53,0.00535539,1500
Anah,54,0.00538182,1500
Anah,55,0.0053765,1500
Anah,56,0.00533151,1500
Anah,57,0.00532011,1500
Anah,58,0.00534811,1500
Anah,59,0.00535259,1500
Anah,60,0.00533897,1500
Anah,61,0.00531617,1500
Anah,62,0.00532459,1500
Anah,63,0.00535724,1500
Anah,64,0.00537889,1500
Anah,65,0.00538393,1500
Anah,66,0.00534493,1500
Anah,67,0.00530698,1500
Anah,68,0.00529695,1500
Anah,69,0.00531073,1500
Anah,70,0.00536653,1500
Anah,71,0.00542002,1500
Anah,72,0.00546388,1500
Anah,73,0.00548104,1500
Anah,74,0.00543659,1500
Anah,75,0.0053915,1500
Anah,76,0.00534011,1500
Anah,77,0.00531652,1500
Anah,78,0.00528082,1500
Anah,79,0.00528131,1500
Anah,80,0.00527009,1500
Anah,81,0.00519661,1500
Anah,82,0.00505549,1500
Anah,83,0.00489226,1500
Anah,84,0.00479384,1500
Anah,85,0.00477167,1500
Anah,86,0.00480521,1500
Anah,87,0.0049327,1500
Anah,88,0.00504833,1500
Anah,89,0.00519157,1500
Anah,90,0.00532158,1500
Anah,91,0.00539677,1500
Anah,92,0.00536193,1500
Anah,93,0.00526497,1500
Anah,94,0.0052185,1500
Anah,95,0.00516615,1500
Anah,96,0.0051687,1500
Anah,97,0.00519121,1500
Anah,98,0.00525659,1500
Anah,99,0.00533539,1500
Anah,100,0.00541424,1500
Anah,101,0.00549431,1500
Anah,102,0.00558611,1500
Anah,103,0.00563655,1500
Anah,104,0.00564124,1500
Anah,105,0.00558999,1500
Anah,106,0.00555728,1500
Anah,107,0.00560591,1500
Anah,108,0.00570276,1500
Anah,109,0.00576501,1500
Anah,110,0.00577859,1500
Anah,111,0.00576925,1500
Anah,112,0.0057625,1500
Anah,113,0.0057662,1500
Anah,114,0.0057855,1500
Anah,115,0.00576166,1500
Anah,116,0.00573464,1500
Anah,117,0.00569498,1500
Anah,118,0.00569977,1500
Anah,119,0.00566564,1500
Anah,120,0.00562023,1500
Anah,121,0.00556321,1500
Anah,122,0.00550187,1500
Anah,123,0.00543021,1500
Anah,124,0.00539355,1500
Anah,125,0.00540919,1500
Anah,126,0.00546606,1500
Anah,127,0.00552903,1500
Anah,128,0.00558209,1500
Anah,129,0.00561636,1500
Anah,130,0.00561577,1500
Anah,131,0.00559133,1500
Anah,132,0.00551659,1500
Anah,133,0.00543349,1500
Anah,134,0.00533822,1500
Anah,135,0.00530693,1500
Anah,136,0.00531053,1500
Anah,137,0.00533732,1500
Anah,138,0.00532739,1500
Anah,139,0.00532285,1500
Anah,140,0.00536314,1500
Anah,141,0.00547484,1500
Anah,142,0.00557568,1500
Anah,143,0.0055873,1500
Anah,144,0.0055682,1500
Anah,145,0.00557639,1500
Anah,146,0.00559561,1500
Anah,147,0.00562804,1500
Anah,148,0.00567984,1500
Anah,149,0.00572962,1500
Anah,150,0.00573939,1500
Anah,151,0.0057016,1500
Anah,152,0.00566101,1500
Anah,153,0.00558833,1500
Anah,154,0.00554639,1500
Anah,155,0.00558728,1500
Anah,156,0.00570294,1500
Anah,157,0.00576511,1500
Anah,158,0.00580902,1500
Anah,159,0.0058585,1500
Anah,160,0.00596317,1500
Anah,161,0.00606642,1500
Anah,162,0.00614371,1500
Anah,163,0.00618531,1500
Anah,164,0.00623749,1500
Anah,165,0.00628948,1500
Anah,166,0.00631043,1500
Anah,167,0.00631684,1500
Anah,168,0.00633732,1500
Anah,169,0.00636735,1500
Anah,170,0.00640188,1500
Anah,171,0.00639854,1500
Anah,172,0.00643264,1500
Anah,173,0.00648654,1500
Anah,174,0.0065723,1500
Anah,175,0.00658291,1500
Anah,176,0.0065769,1500
Anah,177,0.00649673,1500
Anah,178,0.00641031,1500
Anah,179,0.00634726,1500
Anah,180,0.00629434,1500
Anah,181,0.00620379,1500
Anah,182,0.00612176,1500
Anah,183,0.0060945,1500
Anah,184,0.00615245,1500
Anah,185,0.00623342,1500
Anah,186,0.00628938,1500
Anah,187,0.00627033,1500
Anah,188,0.0062406,1500
Anah,189,0.00618976,1500
Anah,190,0.0061591,1500
Anah,191,0.00613478,1500
Anah,192,0.00612776,1500
Anah,193,0.00612114,1500
Anah,194,0.00614302,1500
Anah,195,0.00615054,1500
Anah,196,0.00610516,1500
Anah,197,0.00600552,1500
Anah,198,0.00594343,1500
Anah,199,0.00592339,1500
Anah,200,0.00596045,1500
Anah,201,0.00603444,1500
Anah,202,0.00609805,1500
Anah,203,0.00614437,1500
Anah,204,0.00614371,1500
Anah,205,0.00613713,1500
Anah,206,0.00615705,1500
Anah,207,0.00616388,1500
Anah,208,0.00619589,1500
Anah,209,0.00629637,1500
Anah,210,0.00644865,1500
Anah,211,0.00653081,1500
Anah,212,0.00652721,1500
Anah,213,0.00652098,1500
Anah,214,0.00650606,1500
Anah,215,0.00649423,1500
Anah,216,0.00650606,1500
Anah,217,0.0065446,1500
Anah,218,0.00658244,1500
Anah,219,0.00659336,1500
Anah,220,0.00660381,1500
Anah,221,0.00662709,1500
Anah,222,0.00664861,1500
Anah,223,0.00665036,1500
Anah,224,0.00663371,1500
Anah,225,0.00662405,1500
Anah,226,0.00661462,1500
Anah,227,0.00664422,1500
Anah,228,0.00669033,1500
Anah,229,0.00678211,1500
Anah,230,0.00688434,1500
Anah,231,0.00696352,1500
Anah,232,0.00699257,1500
Anah,233,0.00697874,1500
Anah,234,0.00696717,1500
Anah,235,0.006933,1500
Anah,236,0.00686759,1500
Anah,237,0.00678032,1500
Anah,238,0.00668071,1500
Anah,239,0.00659389,1500
Anah,240,0.00652987,1500
Anah,241,0.00651542,1500
Anah,242,0.00652702,1500
Anah,243,0.00656673,1500
Anah,244,0.00660461,1500
Anah,245,0.00665248,1500
Anah,246,0.00666579,1500
Anah,247,0.00664348,1500
Anah,248,0.00660426,1500
Anah,249,0.00656601,1500
Anah,250,0.00653969,1500
Anah,251,0.00648143,1500
Anah,252,0.00643631,1500
Anah,253,0.00639923,1500
Anah,254,0.00637188,1500
Anah,255,0.0063184,1500
Anah,256,0.00623987,1500
Anah,257,0.0061522,1500
Anah,258,0.00606513,1500
Anah,259,0.00598552,1500
Anah,260,0.00591494,1500
Anah,261,0.00588233,1500
Anah,262,0.00587745,1500
Anah,263,0.00590981,1500
Anah,264,0.00592905,1500
Anah,265,0.00591202,1500
Anah,266,0.00585919,1500
Anah,267,0.0057628,1500
Anah,268,0.00570304,1500
Anah,269,0.00569505,1500
Anah,270,0.00574442,1500
Anah,271,0.00578526,1500
Anah,272,0.00583847,1500
Anah,273,0.00591152,1500
Anah,274,0.00598591,1500
Anah,275,0.00601306,1500
Anah,276,0.00599708,1500
Anah,277,0.005953,1500
Anah,278,0.00594008,1500
Anah,279,0.00596604,1500
Anah,280,0.00602614,1500
Anah,281,0.00610462,1500
Anah,282,0.00618185,1500
Anah,283,0.00627708,1500
Anah,284,0.00637428,1500
Anah,285,0.00643587,1500
Anah,286,0.00645667,1500
Anah,287,0.00645863,1500
Anah,288,0.00652435,1500
Anah,289,0.00662741,1500
Anah,290,0.00674177,1500
Anah,291,0.0068444,1500
Anah,292,0.00692327,1500
Anah,293,0.00700497,1500
Anah,294,0.00709172,1500
Anah,295,0.00719757,1500
Anah,296,0.00726348,1500
Anah,297,0.00727585,1500
Anah,298,0.00718859,1500
Anah,299,0.00705743,1500
Anah,300,0.00690836,1500
Anah,301,0.00681399,1500
Anah,302,0.00679977,1500
Anah,303,0.00681166,1500
Anah,304,0.00677996,1500
Anah,305,0.00668004,1500
Anah,306,0.00656662,1500
Anah,307,0.00647602,1500
Anah,308,0.00639485,1500
Anah,309,0.00631329,1500
Anah,310,0.0062293,1500
Anah,311,0.00613011,1500
Anah,312,0.00603097,1500
Anah,313,0.00596445,1500
Anah,314,0.00599406,1500
Anah,315,0.00605287,1500
Anah,316,0.00608096,1500
Anah,317,0.00608708,1500
Anah,318,0.00602921,1500
Anah,319,0.005967,1500
Anah,320,0.00586864,1500
Anah,321,0.00577978,1500
Anah,322,0.00571902,1500
Anah,323,0.0057962,1500
Anah,324,0.00589393,1500
Anah,325,0.00596186,1500
Anah,326,0.00597951,1500
Anah,327,0.00600563,1500
Anah,328,0.006049,1500
Anah,329,0.00607035,1500
Anah,330,0.00603046,1500
Anah,331,0.00595498,1500
Anah,332,0.00590782,1500
Anah,333,0.00590655,1500
Anah,334,0.00590848,1500
Anah,335,0.00586886,1500
Anah,336,0.0058211,1500
Anah,337,0.00582118,1500
Anah,338,0.00591328,1500
Anah,339,0.00603744,1500
Anah,340,0.00615393,1500
Anah,341,0.00621999,1500
Anah,342,0.0062417,1500
Anah,343,0.00623885,1500
Anah,344,0.0062573,1500
Anah,345,0.00628726,1500
Anah,346,0.00636601,1500
Anah,347,0.00642748,1500
Anah,348,0.00649345,1500
Anah,349,0.00648703,1500
Anah,350,0.00642254,1500
Anah,351,0.00632934,1500
Anah,352,0.00625315,1500
Anah,353,0.00626356,1500
Anah,354,0.00630793,1500
Anah,355,0.00633913,1500
Anah,356,0.00631315,1500
Anah,357,0.00622324,1500
Anah,358,0.00615326,1500
Anah,359,0.00609788,1500
Anah,360,0.00608129,1500
Anah,361,0.00600692,1500
Anah,362,0.00590391,1500
Anah,363,0.00580634,1500
Anah,364,0.00573147,1500
Anah,365,0.00570607,1500
Anah,366,0.00574383,1500
Anah,367,0.00582931,1500
Anah,368,0.00592612,1500
Anah,369,0.006026,1500
Anah,370,0.00611365,1500
Anah,371,0.00616779,1500
Anah,372,0.00615623,1500
Anah,373,0.0061291,1500
Anah,374,0.00608652,1500
Anah,375,0.00609588,1500
Anah,376,0.00615419,1500
Anah,377,0.00620391,1500
Anah,378,0.00623808,1500
Anah,379,0.00620575,1500
Anah,380,0.00613156,1500
Anah,381,0.0060452,1500
Anah,382,0.00596202,1500
Anah,383,0.00591369,1500
Anah,384,0.00585639,1500
Anah,385,0.00579269,1500
Anah,386,0.00577014,1500
Anah,387,0.00580737,1500
Anah,388,0.0059086,1500
Anah,389,0.006034,1500
Anah,390,0.00615452,1500
Anah,391,0.0062152,1500
Anah,392,0.00623646,1500
Anah,393,0.00622676,1500
Anah,394,0.00622466,1500
Anah,395,0.00625472,1500
Anah,396,0.00634338,1500
Anah,397,0.00643587,1500
Anah,398,0.00649918,1500
Anah,399,0.00651652,1500
Anah,400,0.00655576,1500
Anah,401,0.00661709,1500
Anah,402,0.00670912,1500
Anah,403,0.00676802,1500
Anah,404,0.00681387,1500
Anah,405,0.00679845,1500
Anah,406,0.00675285,1500
Anah,407,0.00672287,1500
Anah,408,0.00672649,1500
Anah,409,0.00675133,1500
Anah,410,0.00672766,1500
Anah,411,0.00672766,1500
Anah,412,0.00672652,1500
Anah,413,0.00675972,1500
Anah,414,0.00674138,1500
Anah,415,0.00673059,1500
Anah,416,0.00674086,1500
Anah,417,0.0067826,1500
Anah,418,0.0068446,1500
Anah,419,0.00691816,1500
Anah,420,0.00699668,1500
Anah,421,0.00704243,1500
Anah,422,0.00708172,1500
Anah,423,0.00711911,1500
Anah,424,0.00717625,1500
